NM，一共就十几分钟，还隔几分钟一个广告，几分钟一个广告...
女帝扮女人时妩媚性感，扮男人时又帅气清秀！
角色设计语音配的非常完美。真是一部完美动漫。点赞支持。画质和人物设计都好。。
姬如雪一死后面的都不好看了，同意的赞上去，不想让姬如雪死的点赞
自己好像越来越喜欢黑白无常了
等了一年 第三季什么时候才出
姬如雪有点丑，同意点赞。
推荐大家可以去看墓王之王……比这还好看。哈哈
看了下，画江湖新动漫不断，但全太监了，不能好好更一部吗
"蚩梦要是娶来当小妾还是不错的，可爱又直率也懂事，也不会跟姬如雪争风吃醋！
"
我喜欢女帝&#039;，超喜欢&#039;，同意的点赞
同意第三季给女帝加戏的举手
瞬间讨厌白毛。害死自己父亲，女人，现在要害死兄弟吗？
姬如雪不要了，咱还是来谈谈女帝吧
一年看一部，太慢了，看到后面都忘记前面的剧情了
真希望女帝能和李星云在一起
不是说7.15出第三季吗？导演你得给个交代吧！
我想问李星云后面是跟女帝在一起啦?
好可怜[可怜][可怜][可怜][可怜][可怜][可怜]
倾国倾城过关那么容易吗hhhhhhhhhhhhhhh
可惜了，画江湖每部动漫拍一半导演就死了。唉，竟然没有一部是完整结局的，可怜可恶有可恨的导演啊！
女帝才是真性情，萌萌哒
我比较喜欢蚩梦嘿嘿
一天是不良人 一辈子都是不良人 一天追不良人 一年都要追不良人 
第三季出预告了才知道有第二季
女主角就这么死了？我去有点太那个啥了吧
"第三季什么时候出阿！好期待呜呜
复活姬如雪！"
导演可能不行了，大家准备后事吧，没有第三季了
死谁不好。就一定要死星云女人。
差评，广告一万个，我看了所有的，其实杯莫停好看
哈哈哈，蚩梦到最后肯定是为了男主牺牲了，一般都是这个剧情。
若森动漫超越中国99.9%动漫电视剧动漫
老李的女人，多多益善！ 蚩梦当小妾！
姬雪如最后复活了为什么不出来
不知道为什么就喜欢黑无常
姬如雪死了吗？求答案
导演。我现在很期待《不良人3》可以出版吗。我很期待
不良人找宝藏，杯莫停找父亲，灵主找老婆，换世门生找大腿。没谁了
你们追了三年的剧，我三天看完了
推荐大家可以去看墓王之王……比这还好看。哈哈
我可以说我从2016年就开始看了，一转眼都2018了再过半年就2019了，还没完估计要等到2020了，那个时候我都20岁了
我就想问倾国倾城去哪了？？
这女帝真幽默，感觉萌萌哒。
还有没有第三季？求关老板给个痛快话呗？
十二叔死的真可惜同意点赞
第3季今年6月出，终于可以看到我的雪儿了
老九死了，老十死了，十二死了，通文馆还有好人吗？
没有第三了、就这么完了这就是国产动画
高手啊，这剧情不得不出第三季啊
鬼王看到了什么为什么跳江身亡
喜欢李存孝的顶起
李星云好丑，，，张子凡帅帅哒
希望第三季快点出来？
烂尾...两季白看！熬夜两天你给我看这个？
辣鸡就是辣鸡！ 没尾的结局！还学这吊胃口！ 艹
画江湖系列我已经不想看了，除了灵主出完了还有其他完结的吗？什么杯莫停，换世门生，不良人都出半半拉拉的，然后又出个侠岚，我看你个棒棒锤侠岚
我还想知道，雪儿能不能复活，这样死太可惜了
张子凡正常的时候挺萌的，喜欢
第三季啥时候出啊，真的是，慢死了
为什么电视里的苗疆人都得说四川话呢？
鬼王打开盒子一看，啊，是导演发的盒饭啊！
第一季里 面的人都死了。怎么又出现了？
快出第三季吧！我会一直等
第三季为何还不出现，连个预告都没有，今年有希望播出吗？
一个张子凡一个林轩把这部动漫搞垃圾了。
第二部好烦，一会写死这个一会写死那个，把喜欢都写死了
没第三季了吗有人希望有第三季吗
每周那么点，我都联想不起来剧情了，同意的点赞
第三季什么时候出 ，等了2年多了
不行我还要看弟三季亿万人还等着看呢，姬如复活的第三季，还等着看呢。
我想砍主编 有一起的吗
有多少人是真心喜欢看这个的？
感觉师妹就是一搅屎棍，多余
刚开始超喜欢姬如雪，后来也喜欢盗圣，贼高冷
不良人尽然还有第二季，太惊喜了~~~~~~~赞赞赞赞赞赞赞赞赞赞赞赞
乱七八糟的一大堆，正真内容不到八分钟
不良人什么时候出第三季呀
女帝怎么一会胸大，一会胸小
唉，敢把雪儿写死。作者是不怕观众姥爷们提刀去你们剧组么？
坐等第三季
姫如雪死还没复活这么片就完了
珍爱生命！别看画江湖系列了 所有动画在有生之年都是看不到结局的～～
第三部应该有的，第二部还没有结束，期待期待
星云被女帝喜欢了.……
画江湖的作品从来没有结局的，龙头蛇尾，垃圾
现在的张子凡越来越烦了！
什么时候第三季出，都等了一年多了
导演我就问你一句 你抗不抗揍
黑无常喜欢粉 不然为什么一天舔白无常的脸
我很喜欢部动画片儿里的陆林轩和姬如雪还有痴梦
喜欢女帝女帝女帝女帝女帝女帝女帝女帝女帝女帝女帝女
女帝是喜欢李星云。说对的点个赞
呃，古代不是只有一个女皇帝吗？（武则天），怎么又冒出来一个女帝。
十二叔好可怜，感觉只有他和十叔才是真的对张子凡好
喜欢星云的点个赞呕，谢谢
我想知道鬼王看的那盒子上写的什么 让他投江自吻
我也想看第三季，快点放呀！
女帝好美，武功还好，大爱女帝
没有结局？还不拍续集？脑子瓦特了？？
我觉得姬如雪没亮点，女帝和星云会不会有段感情戏？
