有没有和我一样是看到瞳洸这个封面才进来看的举个手
请尊重中国所有动漫，尊重所有做中国动漫人，国漫已经越来越好，请不要说水，想想別人团队付出多少辛酸。
"秦时升明月，天行颂九歌，武庚逆天起，执剑待天谕！
玄机四娃"
还是《武赓纪》最好看、没有之一
就没见过这么丑的主角，典型洗剪吹
快进了一下到了这里
喜欢，感觉只有玄机的动画才能引起我的兴趣了！
天谕这游戏的主线剧情跟天下2玄冥教剧情超级像
嘿嘿
真搞不懂，为什么动漫里面的女生，一定要把一大半的胸露在外面，恶心
玄机动漫的高清程度，啧啧，真是像很多人说的，随便截个画面都能当壁纸。可是哥不想要这么高清，只求你能更新快点啊，斗罗大陆，有生之年都不知能不能看到结局。还有秦时明月第六部何时出来啊。。。
最后那个人感觉比黑帝神器还牛逼！
你们觉得好看吗？好看就点个赞。
我就没看懂，有多少没看懂的，点赞。
这是我看过动漫中男主角最像配角的动漫
几只羊引起的千年怨念。
不错啊，这部电视剧好看我好喜欢你面很多好看的画面我超级喜欢
这部动漫就是在侮辱我的智商
双枪红毛是主角？也大菜了点吧！还是说根本没主角
不好看，没斗罗大陆好看。
鉴定完毕，发现漂亮妹子一枚
他 妈 到 底 谁 是 男 主 角
后边的短片差评，有这功夫还不如演点正经剧情
第二季什么时候出！！！
看到封面的妹子合我胃口就进来了！希望不是一个坑！
如果女主角是潼冥多好
国漫的广告比正片都长都不知道怎么办通过的
我现在连个主角就不知道是谁。
现在的国漫，跟好多年前最终幻想比，哎，还是支持
不管好坏，都不要太贬低了！毕竟都是中国的！
有想见童光〔天愈〕的请点击 
六神装的王昭君开大了。
对不起我可能走错片场了，看完以后，只想给男主找个攻……
还是没斗罗大陆和斗破苍穹好
有这时间 赶快出秦时明月第六季 一天更新一集多好
我从来没见过这么丑的主角。我看动漫5多年了，就是没有看见过这么这么这么这么丑的主角。
兄弟们有没有好看的动漫，介绍下谢谢
天谕第二部什么时候开始
没看懂哪个是主角
我知道更新很慢，所以，我不看，我怕像秦时一样20年都看不完！！！
妹的，不止动作像劲舞团，名字更像劲舞团，旋流之天葬？爱葬家族的？
我来说两句 这个是根据网游 天谕拍的 动漫
小洛是炎帝转世呀
觉的潮歌的歌声好听的点个赞
我想问一下这剧情主角是谁
那么片子没一个完结的，有钱做其他的，没钱把一部做完?，谈什么没钱?
男主是谁啊？谁能不能说一说
画质特别赞
速更新，很期待第二部
我擦嘞，我说什么大仇让守护者闹了一千年，就特么几只羊
鱼竟然能被淹死 我服
斗破苍穹特别篇，全职，一人，秦时，天行，狐妖，超神前3部，斗罗！大爱！
对于这七八分钟的片尾，我是真tm服！
潼洸长大果真好看～～～
巴啦啦小魔仙吗，这是
瞳光长大美的不要不要的！
蛋蛋是挺可爱的！……萌宠！
这部动画不好看，觉得我说的对的点赞
现在的国漫要想看到更新完，起码要TM三代人
人物画面都很美很喜欢这段背景音
这个片有第二季吗？可以说一下吗？
两分半的开头，中间还有半分钟的广告，6分钟的结尾，看什么？
从裂缝出来的是谁？好厉害。
好散的剧情，人物设计和特效还可以。
秦时明月的既视感，玄机现在是不是做啥都是秦时了？
极其，敷衍的，睡前小故事
只有十分钟吗……别做动漫了，准备一年，出成电影版的多好
觉得好看顶我上去谢谢
应该是国内最高的动画制作集团了吧
妈的，多久了没更新，导演死了吗
国漫就会把女生的胸整的超大别的都不会国漫就是垃圾垃圾垃圾
男主是玄极，玄极，玄极，那个拿洛书的
辣鸡剧情 人物设定不错 剧情全是乱编
放屁如打雷惊天动地罗三炮
那个蛋蛋应该是个厉害东西……
我看了好几遍了！可我还是没看明白这部片到底讲的什么?
主角呢，主角一点用多没有，好像就没有主角
都不知道第二季什么时候出啊
光说快出啊真事快出第二季
这个内容太假了，还是斗罗大陆好看
游戏玩着挺有感觉的，动漫还行吧
一共23分钟，广告10分钟。这就是国产
小洛是主角光环最弱的角色了，镜头很少
等各系列更新完毕，得孙子辈烧纸告诉剧情了
在一条船上海啸来了有人喊快跑，我想问你跑哪里去？
"汐祁好帅，
衣服太肥，
身高可以，
造型美观"
童洸太漂亮了，为什么看了第一眼就❤动了，有壁纸就爽了啊
希望导游可以看到。我们希望童溟能活过来。不想让妹妹继承玄水祭司
其开始还说人家是妖女，最后一集爆发了，说是黑帝。
希望男主角不带枪，用剑，第二季要用剑哟！
"好蠢好假！真是可笑，身为一族大祭司，竟然因小家而悖大义，她有什么资格！
也真是可笑，一个魔作乱世间，口口声声遭受背叛，他有什么资格以此为由血洗世间生灵？！
说再多也不过几个字：幼稚又毁三观，这样的人不应拥有如此强大的力量，为祸世间。"
想知道小洛和瞳光最后是什么关系
战意决，血绽决，千刃散浮华
最后的预告是不是在暗示那个小洛也是五帝力量继续者
从裂缝里面出来的应该是祖龙，估计又是另一个魔王
那个在最后拿走黑帝神器的应该就是祖龙吧？
希望更新速度快点
千年的等待，千年的悲伤
"下面的你说错了,蛋蛋是海神"
男主是谁？女主又是谁？拜托表明点好不
