占个位置，我是第12个评论的，美吱吱，我竟然来的这么早
真好，真的很好看。好喜欢这个动漫，可惜只有仅仅的12集。好喜欢这几个人设，但是小光的戏却不是很多，这是很遗憾的。
没人评论吗，占个一楼咯
伙伴们，躁起来，把这部动漫顶上去
第13。。。不吉利的数字。
我没有看过，但是有过一句好看。
"这个动漫非常好看，很搞笑，特别是
最后一集，让人特别的感动。😭😭😂😂"
我来占个评论…………
大家骚起来😂😂😂顶上旁一！！！！！！！！！
什么时候出第二？？？
这动漫在b站火得很，再看看这里的播放量真是…老马都亏出翔了（滑稽）
看有所感，感有所悟，悟有所想，想有所做。
火之前我来过，哈哈哈୧(๑•̀⌄•́๑)૭
国漫好篇，感伤不停 力荐！！！第一次评论。虽然不像修仙动漫火，但看完以后感觉比斗罗大陆，斗破苍穹等好多了。有深度，看完引人深思，这样的良心动漫不多了。拍成电影就好了！其实开头看不懂，甚至有些中二，但看完以后就知道了这是为后面做铺垫的。以回忆慢慢写出事情的真相，非常感人。把那个世界的自己，以及现实生活中的自己，还有父亲那一代的人，都关联在一起。那一点点小的回忆，非常感动。又有一点点小回忆构成最后一个大结局，让人情不自禁落泪不已。难得的国漫佳剧。
我发现那个叫梁心的一点儿良心都没有
好看吧？好看好看。66666
才出来的动漫吗？我也占个位子。。
谁喜欢看我喜欢看这个
借楼，，，，呸站楼咳咳。
牛逼搞笑，我肚子疼。😂😂😂😂😂😂
98k的呀，这么有钱！！！！！！！！😱😱😱😱😱😱
天王盖地虎。。哈哈段子来的，先占个位置。
额O(∩_∩)O哈哈~
我也是服了┗┃・ ■ ・┃┛还好还好哈哈哈哈
应该拍个电影，叫“现实”，肯定火
为什么主角不是男生？
一定是梦.........
最后的人心险恶，也有良知的人生
好好看，里面的人物都好漂亮，尤其是西门吹雪好帅啊😊
年近花甲聚会哈哈今晚
有没有男主角——-——-
占个位置，我是第13个评论的，美吱吱，我竟然来的这么早
看的人怎么这么少啊！
别吵吵~我最好看^ω^
挺好看的动漫占楼👻
琓美
坚持看下去，会发现很好看的
"在每个人生命中，都有害怕的东西。不敢面对现实，总想着逃避。但这是最好的结果吗？不，这反而是最坏的。我们不应该逃避现实，我们要接受现实，不管它多么残酷。因为，这是接进成功的一部分。这才是正真的人生。经历过风雨，才能长大。不是我说，
这部动漫很值得我们去看。这也许没有我们想像而又刺激的场景，但是它却有我们值得学习观看的经历。希望更多的人找到一盏光明的灯。也许有些人看到我的发言会觉得可笑，但这些我不会去在意的。因为，自己知道就行了。"
额，真是够搞笑 无厘头
佳剧啊，怎么没人看呀！
真的很治愈吗 我看看
女主听起来有点像关晓彤的声音
我还没开始看…这个有圣光护体么？？？
刚刚过来，占个楼，哈哈哈哈哈哈
不错啊怎么看的人那么少！
看了这个漫画不知道哭了多少遍了
真是太好看了。好看的不得了
🤔🤨✌️😃😓😓😩😫😱😰😥😓🤔😦😧😮😲
结局很好但内容却虐的我撕心裂肺
这个，我好无语啊😓
这个真的很喜欢！！！我看完了，没看的赶紧看哦，不看后悔系列
有没有那种好看的虐的动漫推荐
坚持看下去，后面挺好看的
"这是我至今看过最冶愈的国漫
期待作者更加努力
好看"
趁现在占个评论😂😂
看不下去，太尬了，😓😓😓😓
西门吹雪😂😂666
然后除了这个还有其它好看的吗？分享分享
真的好好看，为什么没有火，真的好喜欢这个动漫，最心疼小光，，啊啊啊看的好难受
我看到了什么😓😓😓
无聊，不好看。。。。。
最后的结局不就是告诉我们，我们每个人都被自己的幻想所保护着蒙蔽着，结局就已经说明了不是吗？在那个世界里为什么内裤是生命的最后枷锁，衣服越多就越强？值得我们深思！
哈，很有创意的剧情，前部分搞笑，后部分真的笑不出来啊
这部电视好看吗？你们看归吗？
这个！真的看到心里了，看完后会懂很多事
这个播放量怎么这么低？我觉得还可以啊
有基佬开我裤链😂😂😂
真好看，就是有点儿慢
第二版的出来了没有？
什么时候出全职高手2
第二季凸变英雄BABA吗
如此精彩！
搞笑了，还有98k裤
滴 滴滴有段友没
558888+++风扇风扇
刚开始 另一部也很好看啊🤔🤔
有太多电视都要钱都看不起
好看吗？你们说一说好吗？
有什么好看的动漫吗?
好像和镇魂街差不多呀，嘻嘻
什么鬼设定，打架还要脱衣服
脑洞大开啊！哈哈哈😂
好好逗啊！！！！！！
98k黄金内裤。。。
此剧该火 。
楼哦提了企鹅 可牛了 哭了咯拒绝了就结束吕布了付 坷垃刻苦UK
说实话第一集震撼到我了，我96年，看日漫十多年了，我真地觉得这个动漫很不错，那种节奏感，故事情节，人物塑造很棒，国漫加油
世界之大无所不有，斗罗大陆、全职法师、妖神记、爱神巧克力、灵碶、我的逆天神器、还有很多说不清。
"哈哈哈呵呵哈哈哈呵呵哈哈哈哈
有点搞笑
但我们不保护环境真的就像他们这样"
比较搞笑〜(￣▽￣〜)
我也都看过飞仔呀《斗破苍穹》要神记画江湖系列的我都看了
占个位置，我是第13个评论的，美吱吱，我竟然来的这么早
原本以为剧情有点老套，但直到这集的反转，，，作者666
希望我们永远都不会忘记那些在我们生命最重要的人
刘主任的配音是个伪娘吧。。。那声音。😂
看不懂你们看的懂吗无语，这是什么鬼啊！
有什么好看的动漫呢，请大家给我说几个吧
真催泪啊！好几次眼泪都会流出来😭😭
金山寺里都是我自己都不知道什么啊！
很有感悟啊，很厉害的，看吧，坚持看
