看过第一集的点赞谢谢！
我他妈就不明白了，前九级哪去了？啊？是不是本你们吃了？
为什么没有十一集直接跳到了三十五集 
我哥喜欢看动漫，我也跟着他看，我跟我哥看这部动漫时好像15岁，现在17快18了，第三季还不出，挖坑不填，我恨
我喜欢啊！搞笑，为了女朋友敢冒险赞一个
我去，删这么多集看个鸡毛
尸兄不会再更新了的丶被禁了丶你们不知道？
估计，2B胡撸娃，会活很久，然后进化，在然后，不用说你懂的~~~(=^_^=)
有些集数被禁了吗。为什么有些集没有呢
删的都不想看了，和禁播没啥区别了
跳集，，，，，，，差评
尼玛……这警察她妈是上个世纪的吧！亲嘴怀孕？我去
一到五级去哪了，中间还少那么多级？ 差评
话说被封的只剩这几集了吗？不管怎么说我是从这不动漫才开始认真追看国漫的
为什么看只能跳集看，不能一集集的看呢？
谁有电话，打电话问下，老子从未成年等到成年还不更新。
怎么少了这么多？？回顾一下就看见只剩几集了？是被禁了吗
为什么好看的电视都要断更
"就是回忆第一集,"
编剧人是不是挂掉了？从初中等到大学，整整等了6年了还没出40集。
国漫明明就不比日本差 真的 就是不会更新
等我死了一定叫我儿子把结局烧给我..................
终极捡漏王，葫芦娃
我勒个去，这还怎么看(눈_눈)……
这是动漫又不是动画片有必要跳级吗？
大家给我来个赞，让小飞继续开始第三季
卧槽今天本来想重温一下尸兄结果emmm好几集被禁了
制作公司是不是倒闭了，这么多年了还是39不知道怎么说，要么别做出来，要么给个结果，能不能别这么半途而废
这广告 不是逼人开会员吗 一瞬间想到了什么
怎么说呢 我马上就要结婚了 39集还是没变……
那个跳集看是因为，有些被禁播了，，因为恐怖吧
为什么不见1――9话啊？？？？
第一季就八集真搞笑，，
不恐怖，跳什么集，恶心
什么情况？没头没尾怎么看
师兄真的很好看，你看过吗？
没了，我等了2年了都没更新，被禁了。妈的，还有人等了3年，妈的。还有人举报。那么好看。
这都是什么啊，删成这样！
混蛋！官方真TM的，禁个毛线，外国的都不禁，禁TM国内的，官方你是外国派来的奸细吧，还把师兄前10集禁了，TM怎么看啊。幸好我家有师兄的光碟，要不然我也看不了
这电视不更新了吗都没够呢
额，为什么是从第十集开始看呢，第一次看。。
全部删减了搞什么啊
唉……有生之年估计看不到了
垃圾跳集，什么鬼。。。
尸兄太2了，怎么打都打的过
有一天，上帝对我说：“孩子”我能实现你的一个愿望，你想要什么？我说:能毁灭地球吗？上帝说:”“孩子，先考虑一下其他的吧！我说：“能不让我上学吗？”上帝说：“孩子，再考虑一下其他的吧！”我说:“那能让我不让我接受教育吗？”上帝说：“孩子，我们还是考虑一下毁灭地球吧！” 支持的同志赞个！！！
为什么都是跳集，开始就是10集。
听说这个漫画挺好，结果。。。什么鬼，从第十集开始？
葫，，，葫芦娃？？还是七娃？这什么鬼？第一次看，有人解释一下吗？
什么第一部被禁了很多集
"我觉得好好看
我很喜欢看
重复看好几遍"
还好我全部看过了，但是也过了5年了
哇！太厉害了如果小飞也会王小二的神鬼七杀令的话尸兄…
Yeah diameter show my hot flashes so shouldn’t like to talk to you later bye selfie hello show my emailfgdhhfg12
怎么没有第一集啊……
你认为大禹三过家门而不入真的什么都没干吗？ 不要忘了，他媳妇后来变成望夫石了，而孙悟空是石头里蹦出来的， 关键是，大禹的定海神针还听孙悟空的话， 你认为孙悟空当年定住了七仙女，什么都没有干吗？ 想想葫芦娃，正好七个，合在一起能变成石头...石头....
好几年了！ 怎么还没更新啊！
为什么过了这么久还不更新
为什么不是按顺序的第一集第二集 总是跳跃
一到九集被你吃了吗？
唉？这动漫的第一集呢？
为什么没有前面9集啊
什么时候再出新的好想看
3年了，从小学我以为白小飞救完人了，直到上了初中，他也没有救完人。
还留几集干啥呢，都杀掉呗，，就像吃饭吃一半，干脆不吃还不会难受
谁能告诉我为什么少了好多级
什么动画片的角色都来了 .................................
飞动我心，如飞随行
很吓人，但搞笑，很好看。
2019了还是没更新以前看过的尸兄早知道下载了现在不好找了这个尸兄刚出来就一直追后面有几年没追了想等他大结局结果回来一看给禁了后悔啊早知道下载了以前
尸兄第三部什么时候出，
什么时候有下一季啊，好久了啊
第一季剩下这么几集了？
一点也不恐怖
什么鬼呀 前面几集呢
尸王帅的自觉点赞
哇，删的就剩9集了，这怎么看，删成这样看毛线啊。喵了个咪的。
听说没禁了，不知道有没有可能救回来。多好的动漫，唉╯﹏╰
再也没有那个为了小薇而奋不顾身的那个人了
这尼玛爬的也太快了吧
没了这么多集还看个毛，国漫没希望了
两年前就看完了，没想道到现在还没更新出后续
敢不敢 弄全点
看尸兄时好害怕啊，但是，也不会做噩梦，晚上也不害怕，奇怪了
搞个动漫，乱七八糟的！都是乱放，也没说捋顺了！
好好的动漫废了啊。。。
为什么不更了？。。。。
我去，从前看的现在来瞄瞄都看不了吗，
这是啥呀 接不上
你们就禁吧，到时候中国只剩下烂片没人会喜欢看，也没有人会花那几毛钱看一部烂片，大不了我们都看国外动漫
小飞好力害呀。
一集7分钟。。。。。
说好的有79集呢，怎么都几年了，还没更新，现在还是39集，国产都是骗人的
能更新？我特么孩子都要长大了，还没更新！
这个集数怎么这么乱
现在的国漫怎么回事，说禁就禁，没胆就别看啊，耽美片禁了也就算了，恐怖片禁了算什么啊，是那些所谓的人想太多了吧
这是想要直接或间接的控制国家人民的思想吗？为什么不让更新还删了一些
超级牛逼但是好恐怖大面真的是咋回事儿呀
好多水军，这样都能看得下去，厉害了我的歌，简直就是牛头不对马嘴。
女人的身体属阴寒，结合一下就能中和了
