可以呀，这部片子不错，比现在的追剧好多了，最起码是良心作品，
好难看，真的好难看，难看
看了那么多评论，中国喷子尤其多，都不看后在发言，素质堪忧。
个人觉得比很多真人版好看，剧情很好，背景音乐很好听
十几年前的动漫总有人在那BB特效，画质什么的，真是一群脑子有屎的玩意儿
这配音浓浓的中华小当家既视感
能否告诉我龙骑士的镜头在多少集多少分钟？？？
这个是什么时候制作的呢
没陈晓演的真人版好看
老以前在姑姑家看过，多老的片子了
我只想说真的狠难看！
不好看对不对的请诚实的点个赞
"为什么开场曲要用日语？
也是没谁了……"
我喜欢小龙女喜欢点赞
这个真是觉得时间久远啊，还是刚上一年级时候看得
点开一看 满满的日本风， 评论完秒退
比黄晓明版好看多了！
小龙女被强奸是哪一集
这画面这配音 小龙女18岁画的跟28岁一样
我就搞不懂了，为啥配个日文歌，我没听错吧，就是日文歌
怎么有种中华小当家的感觉？
没看过动漫版，来看看
我勒个去，什么玩意……无语O__O&quot;…
请问尹志平和小龙女是哪一集
才知道还有动漫版的
有一种特殊的感觉。跟真人版的。不太一样。
垃圾，真的很垃圾，为什么要侮辱神雕侠侣呢
哪个垃圾改的，侮辱啊
和中华小当家的配音和图画都很相似
唉，这动漫的制作，无语了，第一集都没有勇气看完
没觉得有什么不好，至于什么还不如真人的说法更是无聊
日本就日本吗日本人在坏难道我们中国里就没坏吗我们应该要学会原谅
jhyh
好讨厌有日本风的感觉，那么好的剧给那么丑的动画人物，太丑了
zz一样的，不知道金庸看了会咋样
杨过的造型，我有种七龙珠的感觉，小龙女，也没有了特别的仙气了！
"又看一次，又想起那些往事,动漫版百看不厌"
来看看
还行吧！我还是觉得真人版的好看
这是日本鬼子做的吧
小龙女好像艳母，大致一样
后面一根辫子几个意思
听见这种配音就不想看了。开头还是日语歌。不看不看
好怀念 这不动画是真的好看 大赞
小龙女好像艳母里面的艳母
跟七龙珠透视感一样。
很像小学语文课本上的配图
好恶心，难看死了。这是恶心金庸的心血。
这不是我的杨过！！！
当年的日本动漫中文版都是港台配音有点怀念
好怀恋的画风，儿时追过番啊，剧情很好看
这配音真的很不好听，
"大家都举报
这种东西不能有"
小龙女：过儿，你真厉害！
这画面艹泥马难看……
真没看过动漫的神雕侠侣
月球引力在地球出现，成超人了
小时候租过盘看过，现在来回味一下！
这部动漫我14年前看的第一部动漫，赞
郭襄！好喜欢郭襄！！！
这上面的小龙女好丑，木有真人好看
日本的作品吗？ 为什么声音跟柯南里面声音一样 还有好多 声音都一样
""
一看就是日本出的哎！
只为了完成小时候的心愿
哈哈哈哈哈哈哈还好还好
有时凭良心说。。谁小时候看的动漫不是小日本的。
动画版感觉还可以，超喜欢里面的小龙女，要是真人该多好啊
这啥时候出的
小动漫人物有点小脾气
我觉得动画片完全看不懂
儿时的回忆啊…………
毕竟十几年前的，别拿现在的眼光来看，乱评论什么。
这本来就是日本和香港合作出的，所以用日语歌
什么呀 这个动漫很早就出了。很怀念 喜欢
那个老人真厉害给一个赞
太日杂 难看死。。？？
好好的一部小说，拍成这样！
神马玩意啊啊啊啊啊，凌乱，
我小时候看很经典啊，别用现在的眼光看啊，零几年很牛逼了
满怀期待打开看看了一下就退出了，这配音难受
垃圾配音
这声音怎么和小当家一样
SB是不会懂得，真理在少数人手里。
好看嘛
毁童年.........
这是我看过特效不如电视剧的 唯一一部动漫
和以前看日本动画片样，格格不入的感觉
不爱看别看 这是香港和日本拍的 不喜欢听日文歌就去看粤语版 
配音很不错！^_^ *^_^*
什么鬼，第一集看不成他娘的，第一集看不成
辣眼睛 毁我菲菲的龙女啊
当我没看过中华小当家？
其实杨过是伤的最深那个，可怜的过儿。
我草，真不知道把日本名著拿来拍中国风动漫，他们会高兴
没觉得有多差，在那个年份来说真的很不错。。。
古剑奇谭动漫剧的李易峰我无言以对
为什么跟中华小当家一个配乐？画风也一样？
怎么不是全屏的 看着不过瘾
怎么有一种 中华小当家在切菜的感觉 是不是盗版？
