小时候在卡酷老看这个
特别喜欢刘宝瑞的相声，慢工出细活干净总想往下听，经典，超赞
此郭德纲的相声强多了，这才叫相声嘛！
现在的相声，一言难尽，毫无笑点
小时候在卡酷上看到就爱上了～～经典～
09年~18年，听了9年了，听的台词都背下来了……
这不是以前电视经常放的相声剧吗？
我也听了十几年了，真心不错，现在出不来这样的经典了
最喜吹的一位，有画面感，身临其境
向老一辈的艺术家致敬。
喜欢这种形式的相声。。。
快乐驿站，好好看
还是老段子经典。这也是文化的传承。
北方相声以我看马三立侯宝林刘宝瑞为代表仼何人不能替代
有没有喜欢相声的朋友啊
可惜老先生千古了听不到更多的经典这部遗作也没有完成
永远的大师！！中国人是不会忘记他的！永远的经典！！
虽然不懂什么是相声，感觉就是说书的。但是特别好听。
小时候拉灯了用匣子听
经典！
睡不着听听就睡着了，很灵
""
相声以我看马三立侯宝林刘宝瑞为代表仼何人不能替代
刘宝瑞相声没事就听听
现在特别喜欢看经典的老 动画片但是太少了
这才是真正的相生，没有肮脏下流的东西，比现在最出名的那些相生师徒强多了，天天靠卖萌耍宝，完全失去了相生的内涵与意义
单口大王刘宝瑞，大师中的大师
到底是大师级别的，喜欢！
不好听，声音没吸引力
最好听的相声！ 最好的相声演员！
听不厌的艺术
好看，好看，好看，为什么评分没上九分
童年的记忆啊，小时候天天在电视年前等着电视播
很喜欢，还是以前的动画片好看
小时侯在卡酷看的，特喜欢
听刘大师的相声心静
刘宝瑞的相声，无事就听，有时上班也听，反复听，一月听几遍。
好看的。。觉得看完很有意义。现在好多泡沫剧情都看完没感觉
比郭德纲岳云鹏强太多太多了
。一
真心不错 刘宝瑞 真是大师
刘宝瑞真是大师。
没人能说这么好了 关键声音也好听啊
怪了，现在也是这样的情况，有钱能做官，有势也能做官！时代变了，文化没变！
就喜欢他的相声！经典
三戏九王后来的呢
我好喜欢他
好视频啊…今天才看到可惜了，以后要我儿子也看看
刘宝瑞相声经典无人超越
我也是经常听着睡觉
[色]以前小时候当成动画看，很喜欢。
一代相声大师 可传世
不错不错，挺好
刘老师我顶您，艺术大家。
单口王名不虚传
永恒经典
看的时候，就想起了家，想起了过年
刘宝瑞相声集
我每天都听睡觉 已经快三年了 每一部都听几十次甚至几百次了[发呆][发呆]
良心之作，听了不下十遍了
最喜欢听，老一辈的才子
老相声听了有劲
超喜欢，不像郭德纲相声前后那么多逻辑罗嗦的东西
不错，真正的语言艺术，打小看，老北京都爱这口
这才是大师级别的相声。
真心喜欢
天意该他做大官.这就是命
我的整个童年，那个时候一放学就赶紧回家看
有才能的人容易要别人恨，同行是仇人，可以了
真心喜欢，现在这么好的作品已不多了！
有趣
老艺术家，真的好听，逻辑性很强
我喜欢马三立和刘宝瑞的相声
真是美好的回忆，够经典
小时候就喜欢看没想到现在还可以看666
经典
00年代打卡
嗷，小时候看过。我一直不知道是什么，有趣的
没事听听，真挺开心得。
刘宝瑞相声 连升三级 刘宝瑞相声作品
经典啊国粹。以后没有这么好看呢。
经典 关注了 小时候的感觉
老段子有文化底蕴 百听不厌 现在的相声还带表演 如果只听不看就完全不知道笑点在哪里 而且听个两三遍就索然无味了 还是以前的经典
国粹，国宝！
安爱听
真心喜欢听相声
吾是降龙十八掌
喜欢传统
好笑
每天中午放学 最后一点 就是这个动漫
好听
不错
这么好的东西为什么才7点多分
很好看[强]
大家，好听
逢先生必听
有在的吗？娱乐不错.！
经典经典经典经典经典
很喜欢，觉得很好听。
""
