要是王者荣耀也出这么萌的动画片就好了
酷跑玩了五年感觉最初的一些乐趣现在都变成了你们珉财的工具了
哇！超能少年好帅好酷呀。喜欢的人就点个赞呢？
现在什么游戏不用钱呀！那不是扯蛋吗？
玩酷跑长大的，现在随便冲点钱就比我们这些老玩家厉害了。唉
好看啊啊啊啊啊啊啊啊快出来第二部。。。
谁玩过天天酷跑，玩过的点一个小爱心
我觉得我们老玩家太可怜了新手充值一下直接被超
小帅是正义勇敢，刀妹是冷漠，小飞是聪明，小萌是欢乐，觉得说的对点赞
什么时候才找到他爸呢，同感的点个赞吧
小帅什么时候才能和刀妹亲吻一个
刀锋宝贝的丝袜怎么一会见一会不见的
5年老玩家奖池没抽到过一次头奖 老马你跟我开玩笑呢
觉得有第二季的请点个赞
我讨厌海川学院，喜欢天星学院，你们喜欢那个学院？
天美厉害了，刚更新完峡谷重案组又有新的动画了[发呆]
尼玛，还有橘子洲，溁湾镇站，那不是长沙地铁的嘛
下次是不是要出穿越火线的呀。。。。
谁同意这个电视演的不错的点赞
对了，你们在玩迷你世界吗？最近我在直播，有兴趣的可以玩迷你世界哦
😂😂😂😂
支持有第二季的，点个赞吧！
小帅真是英雄救美
边江大大配音 好好听😌
太好看了，希望赶紧出来第二季，同意的点赞。
同意出第二部的点赞。
感觉我又要下一遍天天酷跑了
这个粉头发的是…花木兰？
酷跑英雄有第二季点赞
你们觉得哪个和小帅更配？
我喜欢刀妹，你们呢？
喜欢这集点右边，还有最爱看酷跑英雄
这个集数太少了，对不对哈？
天美好厉害，王者完结了。来了天天酷跑。而且这些我都玩过。天美6666
呵呵，看见大姐拔刀不说话了
同意小飞很厉害的举手!
我喜欢伯爵，为什么没人支持伯爵，伯爵比审判强
以前我也玩。可后来换了个苹果手机就什么都没有了！所以我就卸载了
"你们觉得好看吗
？？？？"
再慢一点儿，更的慢死了。（同意的点赞）
你们那你呢吧 奶奶 女女们你们那你呢你
离开这里……除了吸血伯爵写的还能有谁……不过小帅不走是他自己的事情
"作者求你了 ,快出第二季，我都快疯了"
cool
希望作者可以把第二季变长点谢谢
小帅和刀妹是不是很配？觉得配的点个赞
小帅小帅我喜欢你
小帅很帅，刀妹很美。
游戏里面萝莉好像没这么胆小🤔
点个赞因为太好看了吧
什么时候出下一季太好看了。
希望还有第二季，因为感觉这个结局很草率。
可能有第二集吧，希望可以演。
这个……有木有……第……二季呀！
以前玩最久的游戏就是天天酷跑，现在都是玩王者
七月份出，太好了，七月刚好我们也是放暑假
希望出第2季希望出的顶我上去
我觉得刀妹喜欢小师！
刀妹好帅呀，我觉得小帅喜欢刀妹
哼，要不是小帅，枚大叔也不会赢，他真不憧感恩！
你喜欢这部动画片吗？
必须得有第二季，明明这么好看，如果没有第二季，那就白费了。
没有第二季，老子连酷跑都不玩了。哼！
有几个人知道酷跑是枪神纪的后改
"好好看呀！
希望有第二季"
"小帅的衣服是特定的，和刀妹一样色。
娜娜和卡牌情侣
伯爵与拉曼情侣"
如果同意有续集的请点赞
伯爵会吓死人，还记得小帅第一次见伯爵吗？
小帅很帅，但为什么小飞不会飞呢？
喜欢校长的点赞哦！哈哈
大好看了，你们绝得怎么样？
这么样
好看
更新，更新，快点更新。同意的点赞。
这个主题曲好好听呀
"林小帅，双枪小帅，尤里枪神
个人还是比较喜欢林小帅，真的是帅吊了"
那个到世界尽头的人应该是小帅父亲吧
以前的天天酷跑游戏现在就成了动漫了
"谁说海川是最好的学院，我们要和刀妹一样说
(点赞)"
我觉得小帅和刀妹是夫妻
我喜欢小萌，刀妹，小飞，小帅。
小帅是刀妹的老公吧！
喜欢这个动画片的。请点赞
很明显，小帅和刀妹有一腿
快出第二季，求你了，作者。
好帅
真希望快出第二季啊。
小帅的虎牙超萌，人也萌萌哒
给我弄个第二部，作者快点弄个第二部
一定有第二季但里面有什么?小帅的爸爸为什么要写离开这里
双枪小帅和金枪小帅是同一个人吗？
更新好慢，不能快点更新吗
我觉得刀妹和小帅是绝配，天生一对。
看完第一季都想看第二季
小帅哭了
小帅不顾危险就去救刀妺。这说明了什么？答案是小帅❤刀妹。
我敢保证会有第2季，小帅的父亲还没有找到，刀妹的哥哥也没找到。
有人能告诉我天天酷跑中什么是酷跑英雄传
有第二季吗，谁知道，没第二季太可惜了
吸血鬼伯爵也太搞笑了吧？😜
