这不更新第二季，从整编第一季有什么用！
真烦，动漫第二季不出来，就连小说都断更了！
兄弟们，有没有好看的动漫，推荐几部
放尼玛的、你这投资商是没钱吧、没钱就不要拍啊、吊胃口、
说你是王八蛋。
我每周回来都要看妖神记终于等到你了！
我有第二季40集，第三季10集，需要的来
第二季还不出已经快到半年了，给回复呀
妖神记成好看
要看第二季啊啊啊啊啊啊啊，还有能不能更新快点啊
被骗进来了 还以为是第二季。不过这是我看第三遍了。第二季什么时候出？
孙子敢不敢先把小说写完再搞动漫，居然烂尾卧槽！！！
赞同凝儿和聂离在一起的，投我一票
如果有第三季的话那就好了大家说对不对啊
第三季在2019年，1月1日不用谢，点赞就行
出第二季啦，在芒果
有没有不知道第二季，在哪里放的，扣我，我告诉他
诶，等更新等得我都疯了[抓狂][抓狂]
好慢更新能不能快一点
呵呵，我肯定加长版肯定不到10集就全部搞定他40集的7分钟
快更新啊！好好看，找不到动漫看了！！！
越来越接近小说了，剧情丰富就是感觉声音怪怪的
好不好了(●°u°●)​ 」🙂️🙃️😙️😙️☺️🙃️😙️😙️😚️😚️😙️😙️😚️🙃️😙️😙️😙️😚️🙃️😙️😙️😙️😚️😚️🙃️😙️😚️😚️🙃️🙃️😙️😚️😚️🙃️😙️😙️😚️😚️🙃️😙️😙️😙️😚️🙃️🙂️😙️😚️🙃️🙂️😙️😙️😚️😚️🙂️🙂️😙️😙️😚️🙃️🙂️😙️😚️😚️😙️😙️😚️😚️🙃️😙️😙️😚️😚️😙️😙️😚️🙃️🙂️😙️😚️🙂️😙️😚️😚️😙️😙️😚️😛️😌️😋️😝️😛️😌️😌️😋️😛️😛️😛️😌️😋️😛️😛️😛️😌️😛️😛️😛️😛️:-C:-O::~zZ😘️🙂️😗️😃️😗️
为什么肖凝儿不理叶紫芸?
聂离好厉害能取得这么多的女人心，佩服，叶紫云好漂亮啊！。。。
第二季怎么还不出来？我们等了这么久了，那我们白等吗？快点出来呀。
什么时候出第二季
原来这么多人不知道第二季在哪看
什么时候更新第二季
更新。。。。更新。。。。
这第三季什么时候出，至少要看到结局吧。
可以可以😊
出第二季啊 等了那么久了
何时更新第二季……
"第二季什么时候出来啊！
我都等不起了。
快更新，更新，更新。"
第二季已经出了，可以看
第二季什么时候会出在线等
国漫就是更新太慢。太吊胃口
有第二季吗？如果有在哪里看
妖神记第三季什么时候出。
请问什么时候出第二季？或者说没有。
这牛B动慢
为什么不出第二季。好期待看第二季
还是这个长的好，喜欢顶我
真行
什么时候更新啊求解啊赞
说实话我觉得沈秀挺漂亮的如果他不是神圣世家的人该有多好啊
叶紫云非常漂亮以后会是宗主
等二部什么时候出来
不更新😭😭😭😭😭😭😭
都等了半年了还不更新
后面那个人好抢镜头呀！一扭一扭的！好风骚呀！
大爷的，我都看了七八遍还不更新，更新的好快点啊，都等好几个月了
已有第二季在电视上观看。
神圣世家，是个败类家族，狗眼看人低。你们说是不是？
第二季快……………快………………快
真心好看啊，真的太好看了。必须推荐，值得一看。很棒。
已经好久好久没更新了！我怀疑作者该不会死了吧？
一直在好想看，第二件事怎么样呢？
第二季快出来啊。第二季第二季
为何还不更新，为何，为何，
国产动漫能不有个完整的，你妈全看得恼火
有第二季的吗？
第二部什么时候播啊
不知道等我老死能不能看见下一部
没有第二季？ 好想看第二季
要是你更新太慢了为什么不更新快点儿啊，那么慢。
什么时候更新第二部呀？
非常好看，期待第二季更加精彩
第二部都出来了8 9集了
我，
凝儿，绝对的贤妻良母呀。
其实可以看漫画！！！！
很好 期待第二季的出现啊😀😀😀
你们真傻第三季都出了还不知道
"合集都不弄成180分钟的剧场版 也是无语了, 你们是有多喜欢分集剧情,"
希望有第二季出来，请大家点赞
第二季准备出了一个礼拜一集准备等着吧😄
妖神记第三季什么时候出啊
第二季第二季，坐等第二季，加油加油加油
凝儿和聂离在一起么么哒
怎么还不出呢？等了那么久了……
第2部来了你们不知道
对啊，感觉，应该还行，小说改版的么?
没有第二季吗？跟不上节奏啊……
第二季什么时候出来
这个也太短了，很快就会看玩的😓😓😓
第二季什么时候出啊？
第一季都看完了还弄个加长版，脱裤子放屁多此一举。
第二季完全跟漫画不一样
我喜欢紫芸和滢儿😍😍😍😍😍😍😍😍😍😍😍😍😍😍❤️❤️❤️❤️❤️💕💕💕💕💕💕💕❤️❤️❤️❤️❤️😍😘😘😘😘😘😘😘😘😘
谁知道二在哪看，谢谢各位大佬
第二季什么时候出来啊
总有女姐姐好看视一频在天愿作比翼鸟、W么事件件件件件件件件百一圣诞节快乐大本营气候车厅么事么事元旦快乐大本营气候车站在家二楼顶不住了的笑器机X😱😖😘😭“
别期待第二季了 剧情完全跑偏了
我老婆凝儿，。。。。。
时长是硬伤啊几分的内容还要去掉片头 片尾曲………伤不起
就是嘛。吊胃口？？？赶紧第二第三季了赶紧
第二季什么时候出来啊
啥时候能出第二季呢，麻烦给回个话
