这动漫挺好看的。怎么才这么点人啊。多多宣传啊。
什么时候更第二季的我竟然不知道知😓
除了镇魂街 这个动漫在我心中排第二名
花道常到底男的女的，男女通吃啊？😂😂😂
为啥不做推广，我都不知道第二季出来了
好喜欢他两在一块
时间可以，赞，剧情可以，赞，画质逼真，赞，同意的右上角，谢谢，
九公主不像热吧。。。九公主就是阿九
等待中…期待段九发糖哦
吗的 都更新4级了 才看到 怎么没上推荐？？？
好看好看，画风我喜欢。更新自己开提醒就好啦。
什么时候出第三季啊 等了好久好久了
第三季啊，快出。。。。。
第一季，公主刚出场时，是不是正在看戚将军的画像？
终于等到你 多做做推广 第一季都上忆播放了
作者能不能给段云和九公主多些戏份啊！！！！！！强烈要求给他俩加戏！！！！😒😒😒😒😒
少年锦衣卫第二季花道节亲小享子
还有点希望小亭子和戚将军呢😍
喜欢九公主和段云，希望多点他们的镜头
那个石尧山一看就是警犬大队的，
慢工出细活。希望可以做的更好。加油加油
觉得段云和啊九有戏的赞一个。
emmmm本来是段九迷妹，，，但是这一刻我要站小光！
谁喜欢花姐？喜欢的点赞
戚将军，诱人，这才是男主标配，比男主诱人多了
第三季什么时候出来啊，我等的头发都白啦！
国家欠我十个段云
快出第三季，贼喜欢看他们秀恩爱
喜欢九公主和段云，希望多点他们的镜头
这一集也太短了。去了片头就看两分钟醉了，
好喜欢公主啊，只可惜不是主角的
啊啊啊…我的段云 真是太…太太帅了… 老夫的少女心啊🦄
第一次看到这么垃圾的动漫主角
"九公主💍白衣公子段云
袁小棠💍小亭子
花💍石"
如果段云跟九公主出个番外篇就好了，我感觉他俩更有看头
喜欢云九夫妇，导演好可爱啊，脑袋上的小花花特效😂😂😂
曾经的段云很菜现在的段云还是很菜
我看的第一季是我们体育老师放给我们看的，第二季出来了我们都不知道
什么时候出第三季啊？？？？
我怎么发现袁小棠老婆要被别人泡走了🙈
给段云专门出部剧吧！好喜欢💕
强烈要求把指导武术的人换掉，这打的啥啊，动作僵硬
"我只希望小亭子和小棠在一起,但半路杀出来个戚继光是什么鬼？"
要是女主爱上男二就杀了导演！
喜欢云大哥跟九公主这组CP
斗罗大陆上的人呢，侠岚上的人呢，画江湖不良人呢，
喜欢段九
第三季不用等了，导演死了。
这部片子让我看到国漫有希望了
为什么还没有第三季。
什么时候出第三部
永远支持云九，云九永远在一起永不分离
等的花儿都谢了。 强烈要求第三四部！
啥时候第三季，让他们都在一起吧
看第二遍了，太喜欢段云和九九～第三季什么时候出，能给个答复吗？
是不是又停更啦？怎么没动静儿啦！我可是准时来的呀
这么好的动漫 不宣传 不行啊
好看，支持，尽快出新集
表白云九cp❤❤❤❤❤
将军帅还酷酷的，上得厅堂下得厨房，居家必备男人
牛逼
第三季什么时候 等的好着急
段云是真帅气，可是这配音一开口。。。尼玛感觉阴阳怪气的······
有第三季吗 这个挺好的还想看 但是宣传太低调了
段云帅、好喜欢他
九公主好可爱，不管是在做什么
石大哥，你就是来搞笑的
明明是来看袁小棠的，被段云和九公主殿下圈了粉。
啊 第三季快出来啊😜坐等段云
怎么越看小亭子和小光越配了 感觉主角要戴绿帽子了🙈
什么时候第三季啊，坐等坐等
求导演给季鹰加戏2333
道爷
被将军实力圈粉，收下老夫的少女心
看这个胸就知道是个女的
我好喜欢花道常啊。段云和九公主挺配的
第三季快来啊啊啊啊啊啊
第三部快出，，快出，，快出
超好看第三部什么时候出
下一季，什么时候出啊
期待第三：还不错，支持国漫！
剧情真是狗屎，啊，女主鼻尖能不能画大点，热门国漫最丑画风啊
第一季速度太快吓得我以为没有得看咯
怎么不更新了？好烦啊
九公主的模型真心不错，为国漫点赞
希望下一季多一点云九的戏
我估计等我毕业了第三季都出不来
눈_눈剧组没钱了？？
打卡
三季什么时候更？？？
徐灿流氓土匪无耻败类
第三季什么时候出😊
今天都周五了才更新哼，迟了一天呢
弟第三季什么时候出啊
这剧情怎么来的，九公主都要回宫了，又被和尚抓了。还有里面武功战斗力，看不出高低来。季鹰，花道常，袁晓棠武功按道理都低，几下就把四鬼和鬼王解决了。
真心好看 不管是人物刻画 还是细节 都很到位 其实我是看抖音来看的 真的好好看 可是看到第二季就没了 真的很抓狂 😫 看了其他动漫 唯独这部独爱 太少了太少了 一集真正的就几分钟 能不能快点出 真的等得想骂人的感觉😂
会做饭的将军好帅气啊
"刚看完第二季
第三季什么时候播？超期待"
少爷，眼神好评
希望有下一季的时候，花姐的戏份能多点
