国漫就像一棵树，需要我们耕耘，不要浇开水。
跟中国惊奇先生差不多 就不能有点创新
开头就来一记断子绝孙脚，吓得一哆嗦
就这样没了，案情都还很复杂呢，而且这么几年了，也没出下一部啊！
三年了，等待三年了，累了，第二季要出不出
我们都期待第二部，别让我们支持你们的人失望啊，大家说说是不是
红颜祸水
是啊 第二季更新快点 不然某些人又要说国漫不行了
这辈子不知道能不能看到第二季
╭━━━━━━━━━━━━━╮ ┃╱╱╱╱╱╱╱╱┏┓╱╱╱┃ ┃╱╱╱┏┓╱╱┏╯┃╱╱╱┃ ┃╱╱┏┛┗┓╱┗┓┃╱╱╱┃ ┃╱╱┗┓┏┛╱╱┃┃╱╱╱┃ ┃╱╱╱┗┛╱╱╱┃┃╱╱╱┃ ┃╱╱╱╱╱╱╱╱┗┛╱╱╱┃ ╰━━点赞吧╭━━━━━━━━━━━━━╮ ┃╱╱╱╱╱╱╱╱┏┓╱╱╱┃ ┃╱╱╱┏┓╱╱┏╯┃╱╱╱┃ ┃╱╱┏┛┗┓╱┗┓┃╱╱╱┃ ┃╱╱┗┓┏┛╱╱┃┃╱╱╱┃ ┃╱╱╱┗┛╱╱╱┃┃╱╱╱┃ ┃╱╱╱╱╱╱╱╱┗┛╱╱╱┃ ╰━━点赞吧╭━━━━━━━━━━━━━╮ ┃╱╱╱╱╱╱╱╱┏┓╱╱╱┃ ┃╱╱╱┏┓╱╱┏╯┃╱╱╱┃ ┃╱╱┏┛┗┓╱┗┓┃╱╱╱┃ ┃╱╱┗┓┏┛╱╱┃┃╱╱╱┃ ┃╱╱╱┗┛╱╱╱┃┃╱╱╱┃ ┃╱╱╱╱╱╱╱╱┗┛╱╱╱┃ ╰━━点赞吧╭━━━━━━━━━━━━━╮ ┃╱╱╱╱╱╱╱╱┏┓╱╱╱┃ ┃╱╱╱┏┓╱╱┏╯┃╱╱╱┃ ┃╱╱┏┛┗┓╱┗┓┃╱╱╱┃ ┃╱╱┗┓┏┛╱╱┃┃╱╱╱┃ ┃╱╱╱┗┛╱╱╱┃┃╱╱╱┃ ┃╱╱╱╱╱╱╱╱┗┛╱╱╱┃ ╰━━点赞吧
快出第二季否则我就举报了
第二季快点更新吧，啊啊啊啊
第二季快点更新，别告诉我没有，要不然
初始3分半！一共11分钟时间，真是一个动漫比一个厉害？？
很好看希望出第二部
只看国漫只看国漫只看国漫
导演怎么不更新了？我刚看的正入神一下子就没了
有是有上文没下文 都等了好长时间了还不出第二季
好看了，是不看枪战人鬼
什么时候有第二季啊？
虐主系列教学。看了一次，这可能是最惨的主角了
不是我说你们，这么喜欢日本，就滚到日本去，没见过骂自己祖国的
你们都看什么动漫啊给我说说呗
牛逼
通职者怎么还不更新的
好看，可惜剧集太少了
国漫已经很努力了
别的不想说，就想问句“完结没？”别又演一半没了，需要等第二部。。。
那个小姐真是太好看了
希望看点出第二季，我们已经迫不及待了
有第二部吗 太好看
我很期待，通职者第二部，支持国漫。
什么时候出第二季呀！急死我了
好看666521333
死漫
第二季什么时候出……
快点更新，不要跟我说不更新哦。
还有吗？能能不能出第二部？
国漫万岁
第二季了吗？导演。你没第二季你就是坏导演
我觉得动漫好好看啊。。
快更第二季吧！！！等很久了！！！！！！
谁用我剧透 ，，，，
觉得爱上动漫了
史上最渣女主前男友，无语
刚看，还不知道好不好看，不过画面真的很清晰，很好
楠木
男主太可怜了，所谓天涯何处无芳草，何必单恋一枝花
我也想看看第二季 是
g剧情本身比较黑暗 但主角和几个配角都很正能量 算是良心的作品
孤孤孤孤孤孤孤孤孤孤孤孤孤孤孤孤孤孤孤孤孤孤孤孤孤孤孤孤孤孤孤孤孤孤孤孤孤孤孤孤孤孤孤孤
这招撩阴腿使得出神入化 浑然天成 不枉“我”二十几年的艰苦学习
什么时候有二
第二季啥时候播，有没有知道的
没看懂了没事吧嘛意思意思
等到猴年马月了为什么不出第二季
国漫的垃圾之处就是十分钟掐头去尾能剩四分半！要不就是好几年不更新！真不知道你们咋想的！
非常变态太黄了
看得我好揪心啊……………………
我希望第二部早点出来
建议大家去看漫画，，那个更新到了后面
男主角除了挨打，能不能开挂？
这男的是傻吗？？没准备就蹲点在那？
第二季多久出来，等了几年了
有第二季不？我想看后面的
我觉得看完，才有意思了， 看漫画没意思
还可以，不错挺好看的
天美牛逼
哇，这胸，tm太大了吧
国漫很多不出第二季，比如说星游记，恨西游
为什么不更了作者快更
等了几年了，第二部还没出来。
快一点更新越快越好快一点行不
赶紧更新，天天出来新动漫，这些没有完结的你们赶紧完结啊
不出了吗？都好久了唉！
出2季阿，都出好久没更新了
都好变态
换个配音吧 ！通职者漫画我一直有跟
什么时候更新
&#039;&#039;一下，，，，，，，，一一个小时了吧
一集总共没有多少分钟 没集开头和结尾就到了5分钟
这尼玛准备什么拍第二部
很好看吗？为什么你们一定很期待下一季？
大结局都没看到，为什么都没有大结局？
我最近看的中国动漫都很多错啊，
支持，希望越来越好，中国动漫加油。
可怜打击了啦拉锯来咯噢耶太累了
第六集好看，搞笑，，，，，
其实我觉得国漫挺好看的 ，比日漫好！
请问一下还有第二季吗？
交出你的内内哈哈
恶心太恶心
第二季有吗？……………
看了就知道了。
你要是真心真意爱他，你就去答应他。不管遇到什么困难他都克服过去…
好看，求速度更新
更新啊[抓狂][抓狂][抓狂]
第2部不出吗
觉得爱上动漫了
还可以
