不希望你表白成功哈，还是希望你们男男在一起哈哈哈哈哈哈哈哈哈哈哈哈……
不会是因为我，第一集才没有的吧！我记得我刚刚发完关于第一集的漫画之后，我的贴子被封了，第一集也没有了。罪过啊！
以前看的漫画，出动漫了很开心，鼻血，我的小心脏啊，太好看好看啦
别追红筱了，还不如和四个男神在一起 呵呵哈哈哈
不好意思，腐眼看人基，我……我觉得这应该是纯爱动漫？
明明是男主被四个极品男子，看上了！觉得同意的请点个赞吧！😊
"一开始还觉得这动漫有点眼熟，一看简介，这不是我，曾经看过的漫画吗？
名字叫这个男友太会撩。是这个名字吧。没错吧"
小雏楠怎么看都像是身下受，还总是遇上人间极品，还不如从了他们
虽然漫画里面好看，但动画效果不行啊！，。，！？，还是不要毁人家漫画啊啊啊
啊啊啊，这剧要歪，把持不了老夫的少（腐）女心
这孩子根本就是个小受好嘛，四大男神就是小受的攻啊
全程姨母笑，不需要再追红筱了，你已经在弯的路上一去不复返了😂😂
项楠啊，天然呆啊，看不出来人家是在撩你吗[流汗]
第一集去哪了？😶️😶️
……好可爱的男主，对于追那个女生来说，他感觉好青涩，哈哈哈，果然啊，别其他人撩
😂😂男男的灵契也不错
是我手机坏掉了吗？第一集是被谁吃掉了吗？
好看，男主呆呆的好可爱
我感觉他们是gey😖😖😖
简直了，真的是太逗了，抬头了，受气满满啊小楠楠
老天说孩子我能实现你一个愿望，我说要毁灭地球，老天说还是换一个吧。我说快点更新吧，老天说还是考虑毁灭地球吧
我也非常好奇，第一集呢，被谁吃了，还好，第一集我看了第二集没看，结果直接奔到第三集看。改天补上。
好看好看！这个男孩子太迟钝了真是的不过还是很好看啊！
好污呀~但是好喜欢怎么办o&gt;_&lt;o
追女主？不存在的，男神都是为了追男主诞生的😂
给大家透露一下 其实夜椋喜欢的是姓邱的 最后表白了 然后被姓邱的拒绝了 夜椋没有追项楠的
"是滴是滴
第一话呢？
怎么回事
是不是被吃了
🤔"
男角好像女的呀！真奇怪！！
占楼～～～我喜欢的类型
啊啊啊啊～受受可爱、单纯、容易害羞，攻们虽性格各异，但和受受好配啊。我太兴奋了
哈哈哈哈，这越看越不像是追妹子啊！
好好看～人物都很好看，画质也很好，值得追，就是一集太短
才四分钟，不够看，呜呜呜呜
为什么没有第一集？我的心里思想不太高
好像的四个男的都喜欢上项南的吧
有没有好心人说这是bl还是bg啊
老夫的少女心泛滥成灾～～
我看过这个漫画，刚开始我还以为受是女的呢！
看这个第一眼的时候我觉得他的师傅好帅呀而且挺会撩女生的而且又那么帅哎呀好喜欢他的师傅❤❤❤☺☺☺😚😚😚😚😚💕💕💕💕💕
很抱歉大家，刚才尝了一下第一集，不好吃🤪
我为什么看不到第一集咦？
等到他还没追到女神，就被其他男主吃光了
全程姨母笑啊~受不了受不了~
这是腐剧啊啊啊，姨妈笑，受不了了
把男主扳弯了吧，哈哈哈哈哈哈哈哈
夏新阳超帅的，被封了大概是因为内容吧
真是“辣眼睛”，nice，这身材，我喜欢💕
第一集是有什么不可描述的东西吗……鼻血
师傅喜欢徒弟。。。呀呀呀，被我知道了
谁能告诉我第一集去哪了😐
第1集呢？怎么没有第一集？⊙_⊙？
我觉得4个大帅哥可以凑一凑，奈斯！！
第.一集呢？怎么一来就第二集？？
第一集怎么回事，被偷了？
我就知道cv是端木和敬华😂兰陵和明月真是……形影不离
第一集呢？是我眼睛出问题了吗？
在寻找第一集中一去不返
233333，全程姨妈笑
gay😒😒
