估计让现在的小孩看，看不懂，在座的各位恐怕很多都是8090
想起了我学生时代，有种想哭的感觉，三分动画，十分贴心！
觉得王强和刘若琳长大喽，会结婚了，点个赞
这集好好笑！！ 特别是最后那个啥玩意糊了 笑死人了
王强是真的喜欢刘若琳吗？
喜欢看茶啊二中举手，
如果你们的学校变成这样，你们愿意上吗？
屁股可真大
觉得茶啊r二中好看的点赞
不是不火，因为每集的时间太短了，不够看
祝刘若琳和王强从教室到礼堂
王强好帅啊！
只有我一个人喜欢沈思琪吗
茶啊二中真好看啊，这好看的请点赞
支持国产动画，茶啊二中，青春无限美好。
我是倒着看的，支持你们，很喜欢茶啊二中
你们别看了，我妈都不让看。你们能不能小声点说？摁一下那个。
这咋了？
永远支持，茶啊二中，也挺
就想知道是那路神仙给石老师配的音
支持茶啊二中，支持强哥
喜欢王强，挺仗义的，还有些责任感，这样的男生挺好的
哇去，石妙娜真厉害，把贾淳摔的杠杠的，还早恋
我五年级转学，现在六年级，要毕业了，不管是那个学校我都不知道以怎样的感情来对待，因为有我太多的回忆，复杂的心情也许只属于青春期……如果时间可以倒流我也会让自己品尝这一个地方到另一个地方的孤独感，因为这可能是一生只能有的感情，我期末考考得不好大部分都是因为反感老师，但看了茶啊二中我也许会一点点理解老师的苦心，毕竟我转过两次学，对于我来说老师其实并不是什么重要的角色，但我却会永永远远记住！
剧集太短了，而且搞笑
""
舒克舒克舒克舒克开飞机的舒克
这味儿真是绝了
真的有茶啊二中吗？求告诉
老师虽然脾气不好，但是迫不得已
好搞笑 给我以前上学的时候一模一样
好好笑
茶啊二中 出第四季了！✌️
离开学校再来看这个，很肯定特别伤感
我们期带第三集，第三季一点火
歌名叫(那一天) （回到过去）
我读三年级了。你们呢
很好看就是太短如果长一点那就很好了
好看，喜欢这部动画，超喜欢，一看就喜欢了
没什么说的，好看！！！
现在初中貌似没有这么纯洁的男生了……
我太喜欢了，因为他们都很快乐
每一季我都看哭了，好怀念当年上学的时光，匆匆那年
永远支持，茶啊二中挺
好怀念的初中生活，从第一季每集不落看了一遍，很赞
真的好看哦，反映了校园生活，希望一直播下去，加油＾０＾~
我喜欢看荼啊二中很好看
相信你们会火的会的。
不要气馁，永远支持茶啊二中，永远永远。
永远支持茶阿二中，愿茶阿二中一直更新下去！
放个屁这也太有才了吧
出第5部不
VIP路过
茶啊二中 让我怀念我初中 加油茶啊二中 能够出第四季
今年初三了，时间过得很快，看完很想哭
我们的校园要是像这样的该多好
青春就应该发奋图强。对吧！
很好很赞，让我们回忆了中学时代的生活，加油，工作者们，谢谢你们。
回忆起了初中的三年的时光
很好很好，初中基本就是这样过来的，
挺好看的，就是短了一点
其实这个片子太短，连起来，长一点
这个故事应该是真实的吧，挺有纪念意义的
火了，我还想看第四季呢！
阿我现在初二快完了，初三也快毕业了，舍不得初三的男神呐
这正步走的真溜。
怎么突然变成治愈系了？
初三要毕业了， 顶。
王强真仗义，是条汉子
在初中 本以为离开了监狱 殊不知离开的确实天堂
满满的怀念，泪流满面
感觉就是自己初中时候，很多真的就是在学校发生的
嗯好看非常好。给五星好评。
"什么时候能演第五级
第五集应该更好看。"
我也是三班的
哈哈，初中生活，也许就是这样，不算完美，但，独一无二
贾淳人物设计太逗了 班级好像邪教
太好看了
必须火
永远支持你们一直做下去。
食堂是哪一集，谁知道？
一集好短，总共也就几分钟，又
广告太长了，动画还可以
厉害，放了屁还不承认。
希望王强和刘若希在一起
这就是传说中的恶魔之p[吐]
我们学校音乐老师动不动不上了还有体育和美术
砸食堂是那一集啊？谢谢
茶啊二中，不错，我会继续支持的
好搞笑呀。同意搞笑点赞
毕业了，我们一无所有
我竟然喜欢上王强了，不？？！！！！！！！
如果能让我回到初二，我会好好珍惜这个时光，珍惜同学，但我发现，老师，您很讨厌，但也很喜欢您！当我不会的时候你会告诉我该怎么做，您还帮我补习，在我们没来的时候就在黑板上写满了所有的知识点，老师，我想您，您 还好吗？
好看，我很喜欢，你们喜欢吗？
非常好看的一部动画片
让我陷入了回忆，真的好想回到过去
加油加油！！！正在看第3季！！！
觉得好看的点赞
主题曲那一天那一年不用谢我
就别看了啊，王强，挺帅的。
