能出动漫就出，不能出别出，出个会会动的漫画就叫动漫，确定不是在搞笑？
我还以为是《我的男票锦衣卫》来！😒
谁知道吗？😭我忘了
画风都很美，然后感觉嗯也很好看，但是就是太慢了。就一集看的，真受不了。
狐妖小红娘是89还是98我看的为什么只有89啊，知道的告诉我啊， 谢谢啦。
我知道是刀剑神域后呵呵哈哈哈我又去看了一遍好看啊，上次图片没甩完现在接着甩。哈哈。
我想问润之是男的还是女的，😂特么有点看不懂
好看好看，只是看的人太少了
原著党来也，是原著党的举爪爪😝😝😝
有个漫画叫爱我把苏东坡跟这个剧情一模一样。
这里面很多人的名字都稍稍改动了一些，比如说，苏轼，王安石，司马光等等，应该是版权问题吧。
导演看到这部动漫，我仿佛就看到了导演你的人。短小精辟，
顶我，有分红！！！！！！！！
"这动漫长短，快赶上别的动漫的预告了。
不过还是挺好看的"
我也占个位置……亲们帮忙顶上去
好喜欢!!!工作人员都是神仙!!大家快去看啊!!
呵呵，这不叫动漫这叫会动的漫画
男主角穿越到古代变成女的了？对吗？
我还以为是苏苏，狐妖小红娘
为什么人这么少……？？？？？？推荐去网易看漫画……总更……
看过漫画版[尴尬][尴尬]
太短了，，魔道又没更新。。
润之，如果你真是女孩就好了，苏大人一定爱上你，如果苏世发现你其实是个男的…
为什么现在动漫好多都是四五分钟一级
画风很不错 配音也好听 就是四分钟是认真的吗 太短了
好好看，就是太短了，跟预告片的时间有得一比，有漫画吗？
说到底还是这个公司资金太少，没那没钱去做视频时间，本来资金就少万一效益太少岂不亏死。哪位土豪捐个千把百万的，我代替所以人谢谢你^O^
漫画叫！爱我吧！苏东坡！
真是短的有点吓人。。。
有没有去眉山看苏公的朋友？我就问问，嗯(´-ω-`)
漫画好看一点，主角的名字一改就有种想笑的感觉😂
这 是动漫 漫画 额呃呃呃
国漫的悲哀。动漫已经和漫画的混搭，该有的团结呢
真的是太短了，求长一点
我是看画风不错点进来的
作者大大，这个太好看了，根本看不够，要求更新多点！
谁知道根本看不懂😂😂😂
这是我见过最短的动漫片😂两集变一集就好了
很好看啊！！还很搞笑！就是看的人好少。
配音赞啊233333333
一集也太短了。不够不够。
更新好慢哦，同意点赞。
看起来挺搞笑的，这篇片子不错，但是时间太短了
剧情太少了。全加起来连普通电视剧的一集都不到
发现好笼统诶（少了好多情节。。。。）
太短了如果长一点就好了
一只鹅的战斗力等于1.5个成年人的战斗力，跟鹅斗，呵
我只想问问各位 好看么
改的好奇怪啊，从后面就开始了
好看，超级捧，呵呵呵呵
一脸懵的进来看了六分钟的主角还是一脸懵
为什么说王闰之是苏公前妻啊
这剧集短的，，，，，，，，，，，
爱大大 铁粉来报道 苏大人加油！
好短四分钟多，感觉感觉男主好2
好少，一集少，更新更的慢！哎~烦！
男主变成女生笑死我了哈哈哈
短的可怕(๑ó﹏ò๑)
我到现在都没看懂这是什么意思……
好看是好看，但也太短了吧？
bhcgcvhcgxfcd
一下子就完了没有了，太少了
男主的声音有点怪诶……
原作漫画很好看，强推。
甘肃省兰州市城关区公安局交警支队大队民警在一起的时候就被叫起来了，
没看够 漫画一直追 ☺
完的太快了吧，看到没看够。
我就不明白那个小雪是什么被抓到的，他不是大蟒蛇吗？
推荐：我在皇冠当巨巨
emmmm😐稍微有些微，，，妙？优秀，安排。
怎么评论这么少，先占个位置。
图片解说没看错吧这也叫动漫。。。。
这也太短了吧！【😂】
片头好长(✪▽✪)啊啊啊啊啊……
动漫时间好短，来个20分钟的~~O(∩_∩)O~~
动漫和漫画的一点区别呢
人的却不多emmmmmmmm……
抢头位
星潮是你吗？😂😂😂
你们好，我是刚刚看这个的。
名字改的好奇怪啊哈哈哈哈
靠，这剪得超乎我的想像呀，
叫《爱我吧苏大人》，上面就有啊
他俩不是情侣服吗
封面感觉像羡羡和汪叽
所以剧情前面是跳过了吗。。。
我觉得这是他胡乱想出来的
挤一挤 麻烦都让一让
我还以为是苏苏，涂山苏苏
为什么只有六集呀？不开心了
太短了我的天66666666666
这……是不是太短了？？？4分钟都不到……
评论好少啊！！！！！
委实不知道还说些什么，声优不行，剧情不行，果然还是得回去看熊出没
这就没了，看个大头鬼呀
爱我吧，司马光！！！！
原漫画迷飘过😒😒
请问第六集里在第3分钟时里面是什么歌？知道求告知。
现在动漫就不叫动漫了吗？
又是一个短的，。。。。。
