这么好看才这点分？斗破那么糊弄缺评分那么高？呵呵
(⊙o⊙)… 为什么主角是锦衣卫 我想看白衣盗侠的故事 喜欢九公主 好可爱
基于历史的创作 天工开物 锦衣卫 飞鱼服 绣春刀 都是真实存在的 人物的造型也不是过分夸张 衣服配饰也符合当时的那个时代 难得的好作品 期待后续
同意好看的，点过赞，我看看有多少人
只有我喜欢阿九和段云吗……
我段云帅气了！！！
因为九公主乱来三个宫女死了
不公平，前两个通缉画那么丑，怎么到了段云就好看了
好喜欢花爷啊，女装太漂亮了有木有，千万不要让花爷领便当啊
就喜欢花道常和石校尉这一对哈哈！
段云和九公主有结局吗？
为什么段云和九公主不是主角呢
段云好帅呀！我好喜欢呀！
喜欢九公主和段云在一起！
超喜欢这一对！
《妖怪名单》苏九儿 叫你吃了
作为声控还是挺喜欢段云和九公主的配音的
花兄到底是男的女的？？？
什么时候第三部来？不是说今年的7月份吗？
为什么云九不是主角，好桑心！
12集被吃了？？？？
消失的第12集，难道是什么恐怖内容？
什么逼玩儿，十二集呢？
超级喜欢九公主。。。。。
突然间好想看斗罗大陆，但是更新的太满了！
段云和九公主天生一对。
现在国漫越来越好看啦！刚刚刷完了换世门生，来刷少年锦衣卫。
这花道常是怎么把胸一会变大一会变小的
片头片尾时间太长了，真正有营养的内容太少了
九公主好可爱 超喜欢你哦
武功展示应加强花式或者说内部应用高手
为什么没有12集你们有吗？
好想唐三小舞啊！推荐斗罗大陆
估计12集太血腥了把它屏蔽了， 怕吓倒小朋友
动漫制作很复杂的，不想看就别看，不要贬低这部剧
近年屈指可数的良心漫之一，画风精致，剧情也还不错。
如果段九不在一起的话！我就抄了主编，导演，总监的家。
只有我发现没有第12集吗？
最爱段云。。。啊啊啊啊啊
顶啊，很好的动漫。值得支持
我支持，导演你12级不见了。第二季什么时候出
第十二集那去了呢？?
很好看。就是这个打斗场面太慢了点。 
11集就到了13集？世上没有比这还坑的动漫
秦时明月后，我最喜欢的就是墓王之王了，真的超好看
好喜欢这部动漫，希望能快点出现第三季！
垃圾中的垃圾，篡改历史，画质也烂
感觉动作很自然，一点都不僵硬
好看啊，一定要追下去
难得的好作品
最爱秦时明月，这个看起来也还不错
难道是我眼花？怎么没有第12集？
我还是喜欢看小棠，率真！
看了天行九歌前几集再看这个，感觉锦衣卫的细节真的好太多
这是唯一一部我讨厌主角，喜欢配角的动漫。云九~~~~~~~
十二集被你们吃了吗。。。。。。
求5个赞
为没有12集啊啊啊啊啊啊啊啊
笑死我了
涂山红红配音和九公主配音是同一个人，都是刘校妤配的
小棠长孙无极萧平旌的配音是马正阳，喜欢
这个是拍成了电视剧吗
我第一次看，十六，感觉段云与九公主有情况
WTF，第十二集哪去了？搞什么鬼？啊啊啊啊啊
虽然细节处理很多不足。不过比现在的电视剧好看tai duo l w
配音的是不是马天宇啊
12集去哪了？。。。。。
小亭子挺好的，还会为男主求情包扎
这袁小棠是个傻子吧！和废物一样
第十二集呢，怎么找不到啊
如果段九主角戏份多点估计更好
锦衣卫也不能穿蟒袍啊
锦鲤们，《少锦》的事情不知道你们听说了没有，反正我会一直等待第三季，也希望柏言公司能够克服重重困难带给我们最期待的《少年锦衣卫》第三季
要搞动漫，能有点责任心不，吊儿郎当怎么回事？
段云好像挺帅的，第一次看，之前一直听别人说
12集了？被开发者吃了？
谁能告诉我。。。第十二集呢？
第十二集呢？你被导演组吃了，还是喂猪了？
画工精细，开篇就能吸引人继续追剧，这几年的国漫真的不错，加油
公主为什么不是主角的
忒短！加长点最好！动作有缺陷
有没有觉得段云像李白凤求凰
还不错。就是武打动作不行。还是天行九歌里卫庄帅呆了！[色][色]
这电视看的蛮好看的喜欢听看漫画的吗有的来看吧
看似27分钟，正片不到10分钟！短短短！开头用了10几分钟，结尾用十几分钟，正片剩几分钟？
12集不会被吃了
终于不再只追日漫了，国漫越来越不错
怎么没有第12集
就凭这20分钟就五星好评，
12集被啃了吗 什么情况
啊啊啊。。。好喜欢九公主啊，好漂亮好可爱。。。
为什么没有第12集。。。。。。。
好看不？，我现在才开始看
手机上怎么评分呢？？？？？看个好片想评个五星都不知道在哪平[撇嘴]
这个动漫在讲什么，没有主线，剧情也垃圾，没有一点讲述的垃圾商业片。
我想知道，12级呢！
花姐姐。也很不错。。妩媚动人
有没有人觉得公主像热巴，段云像高伟光
确认过眼神第十二集被导演吃了
都说九公主像小医仙，我觉得九公主比较好看，又可爱又温柔
