还不错看啊，好看，为啥⊙ω⊙看的人少呢
好喜欢小绿和小蓝啊。😘
口嫌体正直的一队，好有爱啊
我太喜欢了，而且也很感人
"看过漫画并爱的吱一声
吱"
星潮阿，星潮，尚卿那尚卿，爱你们，爱阿杰，星潮
好看什么时候更新呀， 快快快
怎么更到24集就没有了
可以可以。。。。。。。。
好短啊啊啊啊啊啊啊啊
小绿和小蓝都好师呀！
六十集就四集这个也太……
他俩是原价还是情侣呀？
因为他们不懂欣赏，嘿嘿，嘿嘿
他们刚才看的电影是…
"优秀o(*≧▽≦)ツ超喜欢小蓝和小绿炸毛的表情，，超可爱ヾ(≧∇≦*)ゝ
其实他们还是很在意彼此的"
😹😹😹😹😹😹😹😹😹😹😹💧🌫❄️好感动
好看(｡･ω･｡)ﾉ♡
好卡
爱👄蓝绿，跟我一样的点赞👍
真的是好看(｡･ω･｡)ﾉ♡
他们看的电影不是妖狐小红娘吗哈哈哈哈
好看什么时候更新呀么么么
这也太好看了我很喜欢
我很喜欢这动画，超级好看
太好看了!!!！
真的好喜欢小绿，小蓝。超好看
超喜欢
好看，好看，可以啊，6666
😂😂😂😂😂😂😂😂
好看的给我点赞，谢谢！👍👍
二楼
好看
