羡羡和江澄是湖北的，蓝忘机是苏州的，金陵是山东的，岐山温氏是西安的
有人和我一样被第十一二集舅舅家没了伤心欲绝，来看方言版缓一缓的吗
对不起，打扰了，我还是等普通话版本的吧😂
"哈哈哈哈哈哈哈太有毒了吧头都笑掉哈哈哈哈哈哈哈。
不要太认真嘛……这就是个鬼畜啊哈哈哈哈哈哈"
看不懂，真想骂人，啰哩啰嗦，重点不清楚，刚刚开始主角挺强，越后面越软弱
这部剧太煽情了，四川话感觉都不一样了
喜欢，忒棒，真的。特别是那个：敌军还有三秒到达战场！哈哈哈哈。还不错。大家不喜欢勿喷，谢谢。非常感谢。
突然想起了杰大配的那一段东北话的特别好。如果是杰大来配就好了。一定非常好听。
恕我直言 我还是喜欢原汁原味的魔道祖师配音 不是我歧视方言 我是总感觉把这部良心动漫的灵魂抹掉了 个人观点勿喷
原本以为会好好看的。只可惜台词乱改没了感觉。
挺好的，既有喜庆的意味，再某些气氛凝重的时候也把握的很好，还展示了，纵然是方言，也可以说出一方天地。（感觉自己有点中二嘎嘎嘎）
哎呀，笑死个人呢，为什么不配四川或者重庆话呀？
陕西话不行，好多方言词语太业务。比如让驴走不能说“走着”应该说“科利马擦”。不用说“好酒”要说一个“美”字就够了。中国各地方言博大精深
"hhh,不知道哪里的方言，但是我全部都能听懂，有毒有毒"
我，玩还没看。有，有些害怕。舅妈请告知，晚吟可需闭嘴？
其实我很想听汪叽说姑苏话
男主，陕西话，和武林外传的佟湘玉一个口音
好好笑，好多湖南话的，听了倍感亲切
人家幸苦配出来的 能别吐槽嘛 不爱看不爱听就默默退出来就好了 打击配音者得积极性
这陕西话说的是真的受不了，好些字的发音都不标准`!
我有点不习惯这个，不过听听感觉挺有趣的，就是把他们在我心目中的形象全毁了。
这个弄出来没人看了，不是方言的我也不看了，想想就害怕
可以提个小建议吗？能不能别改台词？什么主jio光环，出道，副导演，我都忘了原剧情了
新一集看完来着找笑容……
这个配音是想笑死我吗？😂😂现在我只觉得一句原句:在此恭候夷陵老祖魏无羡😂
看这个版本的能笑死，哈哈哈哈哈哈
这不是魏无羡，这是莫玄羽，因为献舍，魏无羡的口音就稍微有点变化
湖南话，，还有陕西话吗😂😂笑死了
真是太有意思了！喜欢，希望还有下一集
哈哈哈…笑死我了 永远都忘不了方言版
我竟然听懂了……从来没有听过方言的我听懂了……
唔，方言吗喜欢可怕的事情
请问这个魔鬼吗？能看吗？
没有四川话啊，我想要看四川话的
没想到还是对方言下手了
没有台词，根本听不懂哪跟哪，都自己说自己的
其实我当初看小说的时候，对江澄这个角色没什么感觉，现在看动漫我去，心疼死了
哦，湖南话。身为湖南人一定要看
确认过眼神，是佟掌柜的同乡。
刚才看完10集要哭死，现在要笑死了
我第一次看，但愿不会被笑死
这版配音简直魔性哈哈哈，好奇四川话版本是个啥子样的
笑疯了。想听汪叽的。绝对反差萌。想想就想笑
驴成精了，哈哈哈 笑死个人了
驴语。。。。满分，看的笑不停
该来的还是会来的，你们是魔鬼吗？
国产动漫时间太短，废话多，说几句话一集就快结束了，虽然支持国漫，但也希望播放的时间上有待改进
魏无羡不是湖北的吗？干嘛方言是湖南口音
请问可以看吗？我怕心脏承受不了
陕西话貌似不是魏婴的老家话
这音效怎么回事哈哈哈嘎嘎嘎嘎嘎嘎嘎嘎嘎
好魔性，不忍听!为毛感觉有点变味了！
我的肚子好疼，我的妈呀，笑死我了
有没有姑苏话的啊😁
我哈哈哈哈哈，羡羡是西安口音
好好一部煽情的剧，怎么突然变成搞笑的了😂
如果是四川话就好了，这完全听不懂
来点东北话，我想听东北话😂😂😂
哈哈哈哈哈，笑死了(ಡωಡ)hiahiahia
对不起……虽然我带了百万爱心来，但是还是打算看普通话版去了
相信我，如果是南京话会更加出彩，东北也行。🌝
敌军还有三秒到达战场哈哈哈哈嗝
云梦是孝感的，到这是孝感方言吗？？？
你们是恶魔吗！？？？？？？？？？
为什么只有五分多钟哈哈，好想笑
为啥我想笑呢，看出了喜感😂😂
我特别想骂你可以骂出来吗？
咳……哈哈哈，方言版猫和老鼠即视感😂😂
不如来四川方言多好听呀。
。。只能听懂小苹果的东北话。。。
笑死我了╯∀╰这集真的是
这陕西话，撩滴很么 瞬间出戏
如果有四川话版本就好了
这是什么操作？？？哈哈哈哈哈哈哈
这个台词太精辟了，还是看原著吧。对了如果普通话梦更新快点就好了。新的武林外传吧
我正想象汪叽的姑苏话😂
你们都是魔鬼吗？好可怕
打扰了，一开场就笑哭了😂😂😂方言的梗太厉害了，简直开口跪
沉默沉默沉默沉默，男人听了沉默女人听了流泪
对不起，容我缓缓（笑一笑）
这么觉得有点神经质🌚🌚🌚
为什么主角湖北人给配了个陕西话。。。武汉人表示非常不满
突然想起了武林外传的佟掌柜
这什么方言我怎么听不懂？
笑死，这版的不火天理难容😂😂
西安人表示羡羡的话听着好想笑。。。。
挺有意思的😊，和一人之下的宝儿一样。哈哈！
哈哈哈哈哈哈，刚刚看完11集哭的要死，现在笑的要死
听出了湖南话 陕西话！😄
横竖撇捺，曲横折勾。哈哈哈哈
噗…听到第一句的时候我懵了懵，最后听着要笑死
魏无羡配音是陕西方言红红火火恍恍惚惚。。。。哈哈哈哈哈哈
湖南长沙了解一下hhhhh
看到这个我莫名的想笑😂😂
看着好搞笑，很不错啦
不看字幕，听不太懂，挺搞笑的
"干的漂亮
我感觉这游戏开头还有点看法
后面的前尘篇完全没有看点"
"支持四川话
这个听求不懂 在说些啥子嘛"
这个声音，好好笑啊！
想看都不更新真是太烦了
