这是枪灵吗？明明是火麒麟。
变态！
猎狐应该是夏怡昕的妹妹吧，同意举
枪灵计划啥时候出第二季啊？
画风好僵硬～配音更无语。。。。差～～～～～
剧情垃圾，音乐不错。
好愚蠢的画面 好愚蠢的声音
这是穿越里生化地图
我看了下面几位的评论 你们不要骂他们了 他们已经很努力了 如果再被你们骂的话 或许能更新的信心都没了 虽然我刚看 请作者大大 加油哦
看了这个年轻了。感觉回到了小学时代
简直就是垃圾中垃圾，国漫中渣片，国漫都被他们拉差了。
从枪神纪穿越过来的举个爪
参事
看了12集，出了第十三集一开始很开心，没想到合集是什么鬼，同意的请点赞
毁灭啊毁灭啊毁灭啊 只有我一个人看出来了
他们应该有三级头98K八。按4164倍镜那叫爽。
这个画制比较单一
这是穿越火线游戏呀！
好看点赞不好看的算了
那把大炮是巴雷特——毁灭？？
辰希什么时候和怡欣结婚啊？
在不出我都等不级了都
除了卖肉和宣传一下穿越的枪牛逼之外还有什么？
我不是针对什么，用的都是五毛钱特效
差评结尾太长中间很短
靠，毁灭，极光
什么时候更新123354786
好烂的片应该有小学生喜欢看的吧
你大爷的什么东西
感觉好白痴。。。。。
主角是小美女
想到了火线传奇
黑武士巴雷特
这怎么都是穿越火线里的神器啊
把手指变成枪，好搞笑。
我去
这剧情好烂啊！！！不就是穿越火线垃圾版！
枪根穿越火线里面一模一样
对
这特效我也不说啥了，我的审美观啊
刚从枪神记回来。。。。。
坑
动漫版穿越火线啊，还可以变身，手拿神器，biu~biu、…
这些女的穿的也太暴露了吧！让我有些操不住了。☺️
看完这个以后CF的小学狗，就会越来越多咯
你用的武器竟然和穿越火线一样，都有修罗。雷神连加特林不！
不得不说弄的真好，我成功的小了
配音……没感情啊……
斧头还带瞄准镜最搞笑 
这个是穿越火线吧
配音差评
她们的胸可真大，我喜欢
渣渣中的大渣渣!!!
就是这个火线传奇的冒牌货 怎么都有刀锋灵狐
这这些都是穿越火线的枪怎么不用嘴拍电视
我150级贵族九
尼玛盘龙
垃圾电视
刚开始我把她当成了黄晓烟
被名字吸引，这画质这情节我也是醉了
有妹子吗加个微信或QQ
这编辑有脑子吗
这，色狼啊
666.火麒麟和毁灭，尼玛是给小学生看的吧。
玩过穿越的都知道，不就是英雄么老子有十把
无敌的配音，服了，要不要这么随意
谁有什么好看的，动漫推荐一下呗！
拿毁灭和极光的也是掌控枪灵吧
忽悠我智商呢？就这样子。
太卡了，才刚刚不卡，现在又卡了……
怎么把男生画的这么猥琐，刀锋太简单了，男主太丑，白狼太猥琐
好看点个赞
没有二季？
好几年没玩过CF了。
这个动漫真的是。。。。无语
这剧情 这画面 这声音我也是醉了，这是什么样的一个智障才能编成的剧本
千万别看，别闹了，这是动漫吗？这充其量算是一个劳累过后的产物。
玩cf哈哈哈哈哈
什么鬼
为什么不更新了。不是星期五嘛
讨厌广告
最后应该丢个全集
这广告我也是醉啦
好看点个赞
草垃圾动漫小朋友看的
好像是cf推播的 呵呵[呲牙]
穿越火线
支持一下～
火麒麟我去
还不如火线传奇，。。
可以一次看个爽
辰希和夏怡心都是主角
对同以赞成
那些房子真的不是cf上的吗？
呵呵
太假了点
这不是cf的图么
那女的挺性感
这个就是Cv
我觉得挺好的啊，配音也还好啊
