人都有错过的时候，既然还有机会那就请紧紧抓住[爱心]
真矫情这女的，你喜欢人家你还这样，活该这么多矛盾，气死了！
额，女主太么几了
看漫画动画的都这么揪心看熊梓淇的会更难受
有时候啊，我总觉得，当初乔安好和陆瑾年两个人直接给对方发短信说喜欢你，这样不就皆大欢喜了，从此男主和女主幸福快乐的生活在一起，我很喜欢这部电视，但也真的受不了这个磨磨唧唧的男女主（个人想法，勿喷。谢谢）
电视剧一点都不好看，你们说，是吧
演的感觉有点乱，漫画更好看
许嘉木和宋相思最后怎么样了
不知道为什么制作人要那么作就是不让他们在一起→_→难受╯﹏╰ 还有那个他弟弟的妈妈和安好姐姐
泡面番啊！面还没泡好一集都没了
动画片不好看，你们觉得了？
什么时候出第4季啊？？？？
为什么第三季换人演了，漫话也是，都和以前不一样，还是喜欢以前的
我去，越看越生气，男女主都是傻缺吗
"看到他们就差一点要表白的时候,却被各种原因破坏,我气的直接想杀人."
一一一
没其他话说，一直虐只会引起反感，至少我反感了
就这么，不停的错过吗……
太喜欢了，感动得各种哭
很好看
动漫不好看。 电视剧好看
我喜欢看国民老公要是有第二部就好了
电视剧版真叫难看，还是来回顾漫画版
韩如初好坏啊我看见交想打
有谁知道主题歌是什么？
好好看
两个人互相都很怂，不敢爱，不敢告白
希望快点大结局，圆满的大结局
剧情好乱
我晕，怎么改版成动画片了，看着没劲
虐哟 两个互相深爱却又互相伤害的人
第二季什么时候播好期待哦
要是赵丽颖和李易峰演电视剧的话，肯定风靡全球。
看了心里好难受，太虐心了，明明是相爱的，却一次次错过
他们两好恰巧的错过对方
女主的声音好像赵丽颖
看得我好揪结啊气死了
好揪心，明明彼此相爱为什么都不说开
哪一季都挺好看的呀？
两个人都相爱 但是都不说破 太累了
我看这部《国民老公带回家》改成《国民老公回忆录》更适合这些情节
乔安好的配音是赵丽颖吗
有点儿差，每一集貌似算是回忆。
第四季什么时候出来？
女主角太可怜了，太狗血。
第三季画风闪了我的眼 来看眼第二季缓缓
什么时候完结啊？这样真没意思。
更新好慢啊
"你若安好，便是晴天
乔安好&amp;陆瑾年 宋相思&amp;许嘉木"
不知道你们是怎么想的，我就觉得小说比动漫好看
看他们俩真是急死人了。。。。
这女主真是的这么笨！
我想问一下，相思最后和谁在一起的
无语，纠结死的剧情。。。。
我就不明白了就这个狗血剧情哇不就一句话啊？就那么难吗？
如果拍成电视剧肯定更火，杨洋和郑爽来演
想问动漫就这样，不更了？
正经的没多长
为什么要这样呢，哎彼此错过彼此
什么鬼？繁琐庸俗。。。
不过陆瑾年比许嘉木更适合乔乔
喜欢乔安好和陆瑾年的故事
“有你的瑾年才安好”好感人对不对？
前头又长了
好气哦，网真的特别特别特别卡
太磨叽了，看得都招急
看的我都伤心死了男的也太狠
第四季什么时候出呀，好期待啊
居然有动漫?！
"第一年，初相见，白色上衣蓝色裙子的校服，盈盈的秋风，粉色的单车，还有脸红的她。
第二年，最美的不是下雨天，而是与她一起躲过的屋檐。
第三年，为她空了半张数学卷子，只为做同班同学。
第四年，送了她第一份生日礼物，背后刻了一个不知道她有没有发现的字母：shmily。
第五年，放弃梦想中的荣海大学，放弃稳定平凡的人生规划，为她去了杭州。”
第六年，她一个不经意的靠近，我闻见了淡淡的发香，整整失眠了一夜。
第七年，为她拒绝了一个飞黄腾达的机会
第八年，和她共处一夜，第一次吻她，同年拿着第一份象征成功的奖品，连夜赶往北京，换来的是她与别人有婚约的消息。 第九年，为她学会了吸烟，吸了一整夜的烟，喝醉酒，一个人躲在房间里，为她哭了一夜。”第十年，偷偷地躲在角落里看过她很多次背影。第十一年，见过千千万万各色各样的女孩，会不自觉的把她们拿来和她作比较，她总是最好的那一个。”
第十二年，默默地一个人，难过她的难过，快乐她的快乐。第十三年，做了人生之中最不会后悔的一件事，与她重新相逢。她有一个很好听的名字。乔安好。大家都喊她小乔。”最后的最后，还有一句话：“乔乔，我爱你，我爱了你十三年。”"
没有漫画好看，不过尊重你们动漫
明明很在乎，却装做不在意
作者是咋想的，忒虐了，心伤
还是动漫好看，可是这什么时候第四季出来，什么时候才是大结局
应该怪这妹纸不主动吧
他们两个都爱的好卑微啊
真他吗滴，虐了个狗……
好看，我和同学都在看！
好惨啊，哎～看的好心酸
爱，存在，只是少了一份勇气
点赞超过一万我就不看了
有没有第二季就那样，结局心里有点遗憾，两个人有没有在一起？
什么时候更新唉。。。
好想打死作者，好狗血
6分20秒我一句，叫她阿！隔壁的同学都过来让我安静点
挺讨厌男主角的，胆小不敢表白，有误会不当面解决，听信别人的一面之词不相信女主，多少次千里追夫？还不接女主角电话n多遍，折磨女主多少年？心胸狭隘。 这样都算了……明明幸福已经来了嫁给了他也不懂得珍惜老恶言相向，装什么爱怀念过去 你有病啊？
看的想骂街了，真无语
明明很在乎她却又不告诉她[抓狂]
看完前面两集，后面两集更蒙了
我是不是看了一个假的国名老公～～～
这狗血的剧情 敢不敢再坑一点
几天更新一集啊
真好看！
看起好着急uuuuuuu
不喜欢漫画的
陆一定很心疼，伤心，唉
你男女住相爱为什么磨磨唧唧的 直接告白就好了 好虐心啊大爱男女主
可回忆太多了，看着像是没整理好似的。
马上这部剧就像拍成电视剧了，女主角是李丙烯
对方暗恋对方13年，真不容易。
