虽然看的有点无厘头，但是还是想看……
就是把漫画搬上去而已，然后动几下 ，无语，简陋
配音毁了好吧我以前猜的绝对不是这种声音
为什么为什么手指甲是黑色的🌚🌚🌚🌚😂😂😂😱😱
等了好久漫画还没有第二季，超爱头条
谢谢幽灵大大
有没有人和我一样最爱允诺？
当我看到尹深举报居然打110，脑回路新奇，当时我笑了很久啊😄😁
头条都是他竟然出动漫了？期望不要毁原著啊！
说的也对那还带什么炸弹呀！带手机就完了……
那么久就更了一集？还想不想混了？！
我还是睡觉觉吧，😄哈哈
原来的漫画就很好，这个配音也好好诶
幽灵大大耶喜欢也很喜欢快把我哥带走
允诺允诺！为允诺打call
边江大大？欸，开心。
天哪！！！幽灵大大的漫画火了啊！刚在看我哥，突然看到头条，太激动了！！！
真的好看，我站深诺cp
快看漫画里超喜欢看的
真的好看啊，我不是水军，漫画也超好看的
尹深“喂妖妖灵吗”那段笑的我捶床
这踏马跟漫画有何区别啊
这是有声漫画吧，不算动画吧……还有配音效果好尴尬……
想看伊深穿女装那段！
这漫画我上个月就看完了，但没想到还有动漫，好开心噢！
大爱幽灵的漫画，大爱《头条都是他》
这么棒的动漫作品真的太给力了，加油，期待赶快更新啊
尹深那么帅，配的的声音那么难听，我去，想吐槽
为什么只有这么一点啊
喜欢尹深，好逗啊！他
哇⊙∀⊙！被暖到了呢，我有一个朋友也是个忠粉，有段时间他喜欢的粉丝被骂了，他就和其他忠粉们给那些人道歉，当时我就觉得气不过，因为哪个明星火的时候没被骂过，而且他这么做没准他还看不到呢，不过，看完这个以后我就不这么认为了，当明星也不容易，像这种认为明星怎么做都不对的人，你就别看为什么要骂呀，所以说我会支持我的朋友的。（如果我有什么说的不对的地方请不要在意，我只是想表达一下我自己的想法而已）
王总可能要疯了。。。
嗷嗷嗷，出动漫了，漫画看了好几遍了
是不是快看上的漫画都要变成动漫了啊😂
心疼尹深
很好，不过还是漫画更好看些。
很喜欢！！翻到这个动漫很惊喜
哈哈，深深也太幽默太二了吧，不过我就喜欢这样的
很好看啊，真的很好看啊，很喜欢fly啊
我要告诉大家，这是有声漫画，不要拿来和动漫比，那些不懂的不要乱说，
"还不错，期待第二季快点出
还有时间可以加长点😊"
更新慢或者少，估计是经费不足了，祝国漫可以强大
超好看，超搞笑的，超喜欢尹深😍
这个真的挺搞笑的😂😂😂
《快看》漫画软件上的 头条都是他
哇撒，我之前看过漫画的，没想到现在有动漫的，哈哈哈很开心
超爱尹深，羡慕他，如果能重来我也要变成他
还想看~加油，很棒的。
尹深好可爱啊啊啊多更点
好看，为啥评分不高呢？
这个漫画现在也不更新了
"喜欢尹深,啊！尹深好可爱"
好喜欢这部漫画的说现在有了动漫就必须支持！
超级喜欢这个漫画，好像不更了
黄子韬吗这招黑体质😂
如果是真人版，我希望tfboys来演😜
允诺声音好好听，不愧是我边大^o^
为边江大大打call!
还好吧跟漫画的画风一样只不过是动态了
大爱尹深！好好看啊！快更！
快看党路过～啦啦啦啦啦
为什么我觉得他们这样有会像三小只
看过漫画版本的😘😘😘
深诺不分手，允深一起走。
中文下面的拼音是认真的吗？哈哈哈哈哈哈哈
手机评论里有快把我哥带走的里面的时分和时秒
谁有好看的国漫，，，
深诺好配呀！FLY真好
艺人真的不容易，在台下要付出艰辛的汗水，可能会有黑粉黑你，键盘君黑你，心疼
我从漫画追到电视之实在是太好看了
喜欢尹深，蠢蠢的好可爱
什么时候更新啊，女装啊~~~
超级好看，希望能快点更新😊
什么时候才更新啊？
跟想象中的完全不一样啊！！！！！好失望。。。
"超级稀饭FIY,啊啊啊啊"
超好看呀！支持，什么时候更新呢
居然除了动漫，，，好好好好激动
帅气
伊深很有做小品演员的天赋！！！
剧情好像还不错啊，有看下去的感觉
啊啊啊啊啊啊啊出动漫了！！我伊深啊！！
喜欢梵允诺💝
太好看了然后淘宝买《快把我哥带走》漫画居然看到了《头条都是他》居然有漫画而且都是幽灵大大的 太赞了瞬间成小迷妹啊 60几块钱😂没买 买了快哥 下次有钱再买吧 qaq
太喜欢尹深了！！！好可爱！！！！
这部动漫什么时候更新现在2018年10月这部动漫什么时候更新现在2018年11月5号，什么时候更新？这部动漫了11号，什么时候更新这部动漫了
终于知道为什么头条都是他，又贱又作
看了一集，觉得明星也好“惨&quot;，再也不做明星梦了！
感觉特别奇怪，如果出动画会火
漫画加了配音更有意思了
非常好看，希望更新快点
还是漫画好看！！！！！！！！！！！！！！
看完漫画很久了。emmm可喜欢里面男主了😂
我比较喜欢允诺，💓💛💝💜💗刀子嘴豆腐心。😊😊😊
尹深好可爱呀……就是有招黑体制
都是帅哥！不错，要是都组cp
虽然没看过漫画，但是动漫很好看，赞~
哈哈哈妈妈好可爱 为明星们心疼一会儿
允诺的声音好像白起啊啊啊啊啊啊
啊啊啊我站诺深啊啊啊！！！
