"第五季什么时候出？
😭😭😭"
动漫比电视剧还原好 七间和折袖这对也是很甜的 可电视剧里连折袖人都没有 徐有容其实为陈长生做了很多 电视里也没有体现出来 弄得都没有人喜欢 只是 更新实在太慢 一年一季 一季还这么少 照这速度 未来十年都要等了
小说里面，陈长生和徐有容终究是没能双宿双，。希望动漫能给一个圆满吧！
择天记，第一季追到现在，没有什么好说的，就是好看
动画基本全部还原了，电视剧改的面目全非的
我看弹幕有很多电视剧，我声明我喜欢看择天纪。我听说有电视剧我很开心，然后看到 某某明星演的我连看都不想看。所以不要说电视剧了，好好看我们的动漫。
现在满脑子都是真人版的画面。恶心死了。。。。
这一季不仅修改了小说原意，还胡乱加一些很尴尬的台词，和小说里的精神并不相符，这一季估计钱不到位，这些配音瞬间让人出戏，这剪辑，这背景音乐，，，哎，也是醉了，要是不出电视剧的话，估计动漫会好一些，看了电视剧掉了很多粉丝。
她知你是陈长生，你却不知她是徐有容
歌词变了，不过都很好，第一二季的片头更喜欢，这是怎么更新的，期待！一直在追这个动漫。好在没看电视剧版的，要不就破坏那感觉了
我说鹿晗没有这个动漫陈长生演技好，你们会不会打我
第四季还没看，先给五分好评加大赞。虽然很喜欢玄机，但是看了这么多觉得人物形象千篇一律，且时长令人厌恶，为什么就不能多加时间。知道他的制作过程非常麻烦但那不是一个超越自身理由，别人都可以做到。觉得石头熊的墓王也很不错，当然还有本剧组，希望超越玄机。
还好我没看过电视剧，我向来对这些翻牌真人版的东西不敢尝试，进击的巨人除外，国产还是在动漫领域上得了太，电视什么的还是再过几十年吧
择天记 那么好看 为什么人那么少
这个动漫做的非常好，只是宣传不够，应该与魔道，斗破，斗罗比肩，情节没有三者慷慨激昂，但绝对值得品味。
有容乃大，南客你要好好发育，别浪
哇，这个有容的画风我咋那么喜欢啊！😍
这徐有容咋一看我一为是男的，不过还不错，保留了原著，比电视剧好看
这部国漫真的太好看了，第四季很好看，淡淡的，慢慢的，感觉非常好，就是更新太慢了，我虽然没看过原著小说，但是更新太慢了，我都忍不住想去看小说了
我去 上一季徐有容不是送了书信过去 有徐有容的投影 落落还跟陈长生说那就是师娘 这季陈长生就不认识了😓
这部剧就是平平淡淡不甚起伏，但是恍然发觉都追到这里了。回味起来这部剧很有意义，看的很舒服自然。
比电视版好看，就这么简单
不知道为什么 知道鹿晗演了择天记 就不想看择天记了
终于找到更新了，果然还是动漫，更突出细节和画质，养眼。哈哈哈哈
一直都不知道，无意中看到了，居然有第四季
国漫崛起是魔道祖师好吧啦。
徐有容-有容（女）乃大，徐有容（女）乃大。 不知作者是否此意…… 哈哈
还是动漫好看😌😌😌电视剧看了几集没心常看……😒
我觉得动漫比电视剧好看。有些剧情电视演不出来，有些特效电视剧没有。一直都在等更新，真希望一周能够出两集
大兄弟你可别在继续出动漫了，多好的一本书先是电视剧然后又是动漫，就不能给我们就一点美好的遐想吗？？！
等到花儿都谢了，终于更新啦！阅文集团加油更新啊
这是按原版书写的， 原版几千多章节按这个速度更新下去，不知道要更新到什么时候
没看过小说，直接看的动画，从第一季第一集开始看，结果一宿没睡看到第四季更新的地方，期间还充了腾讯会员。
怎么发现第四季净是狗粮呢😂😂😂😂
老大你终于更新了啊，我现在高兴得哭了起来！我刚开始看的时候我才高中，我现在孩子都有了！
终于等到第4部了，不容易啊！这个动漫真的好看，希望能一直下去，等完结。
更新学学隔壁斗罗大陆啊
终于等到你了，还好我没放弃
斗破苍芎电视剧了解一下
可惜电视剧把一部经典的动漫给害了。哎，导演眼瞎啊。
《择天记》动漫一年更新一季12集，想要完结，照每季12集的剧情篇幅来看估计还需要八年左右啊!真是漫长啊。
这两个人。我也是醉了。我想知道他们知道自己身份有什么想法？😂😂
好想看好想看七间穿女孩子的衣服
好的小说都是真人版毁所有啊……
配音太勉强了，感觉是在念剧本
你们有没有想过动漫能不能演到陈长生去了圣光大陆之后发生的事，反正原著就只写到陈长生去了圣光大陆，然后就没了。
看了魔道祖师再来看择天记，感觉这个是给小朋友看的。
他妈的剧情全忘了还得再看一遍
很好的，希望可以把择天记全做出来。
太高兴了，等了这么久终于有重聚了。我赶紧刷了一遍评论，点了一遍赞👍，有你们在真好
大家多安利一下 不然第5季我们就看不到了
这是含鹿姑娘演的那个吗
好好看啊，还原度这么高的动漫，真的好喜欢，可是出的太慢了，能不能专心出一个动漫，完成一个完整的作品啊
从8分钟到20分钟国产真的不容易
从第一季到第四季我都熬了多长时间了我看的动漫多少一年两年两三年才更新这个也是每年暑假过后才会更新
挺好看的，比电视剧好看多了。但是我也不希望搞得后面像秦时明月一样，那么多人喜欢就离主题越远，秦时明月我已经放弃了，希望择天记不要补后尘。
小说里最喜欢就是剑池这段了，这集终于来了，好看，可是还没看够又要等下个星期了。
终于等到你，还好没忘记
剧情很丰满，画面看起来也很好，给99分，少给你一分，怕制作组骄傲乜。💪💪💪
小说改编动漫都没失望但是改版电视真的辣眼睛
没人？？这播放量不行啊。。。。。
终于来了，等待许久，哈哈
这季画质提高太多了 希望后面能留出下集预告来
待我七老八十再来慢慢看
书粉，看了动漫版的很满足，挺还原的有那种感觉，就是再后面的剧情太累人
还是动漫好看，希望有生之年能看完这部择天记
七间 好像是女生 你们说是不是？
其实这个动漫跟小说做的很像了
不看电视剧，简直没法看
估计是人忘记了还有这部剧。
以这速度，10季都演不完，估计得几年呀！
厉害了，这打斗不知道甩日漫多少条街（滑稽）
来了来了，为啥没弹幕，音乐不如第二季好听
看过鹿唅的电视剧版后就对这个剧名厌恶了。个人感觉太娘了
我看过零碎的一些小说，只能是说随便翻看过两眼在书店里，如果没猜错，这老头白海不是善茬，是觊觎天凤真血以助自己突破修为瓶颈的家伙吧。
终于等到第四季了，这种追漫的感觉好累，不知道什么时候能把全部看完😭
大神们这样更新太慢了，要死人的，要么拍成电影，要世界长些
看完动漫看小说何乐而不为呢？顶我上去小姐姐小哥哥们😏
等等，发现了一个问题陈长生与徐有容在第一季里面是见过面的，怎么现在不认识了？虽然画风不同《在第一季13集》实在是很喜欢，就从新开了一遍。发现了这个问题，嘻嘻
期待好久了，终于等到更新了，一个星期一级也很不错，(♡˙︶˙♡)顶顶顶顶顶顶顶顶顶顶ヽ(○^㉨^)ﾉ♪
择天记都第四季了我的荣耀连第二季的影子都没有
不亏是经典，鹿晗你还我们经典
对于这动漫，话不多说，一个字-赞
还是喜欢这里的泽天记 像是脑海里的样子 可惜懂你的人不多
能不能一次12集 这样的等多少个星期
挺好，就是更新太慢。😁
故事是好的，可惜制作出来就那样子…人物设计上我想吐槽一下，七间她爸，设计的根本认不出…和描写不一样…最后我要说的是，圣后死的太怨了，其实圣后本没有做什么针对主角的事，最后要不是为了救陈长生，谁都干不掉圣后…
有生之年怕是看不完了，就像秦时明月一样，看了十年……
哈哈哈，这一巴掌拍的好
等了一年了才更新？？？？
我期待着下一句呢
我等了很久，终于等到第四季了，确实很好看！！哈哈！！
最近心里空落落的，突然看到您更新了，好像一下子点燃我内心深处的什么，好是兴喜……不禁的泪花闪烁！
我发现那，玄幻小说还是拍成动漫比较合适
看他们发光嘛呵呵哒什么技能就这样嘛
精彩绝伦，我就喜欢这样的择天记，电视剧太狗血。
因为听的时间太长，我看第一季时候我还在上学现在都工作三年了还有被择天记电视剧毁了这部动漫
这是什么鬼？都是小孩喜欢看的？还是鹿晗演的择天记好看
终于，出来了 故事的后面会有怎么样的冒险，很期待哦！
阅文集团，加油更新，都等着呢！
