真的是毁了我心目中的路瑾年与乔安好，难看死了
希望拍成电视剧，主演就是杨洋和郑爽，支持的赞一个[调皮]
明天电视剧要上映了，听她们说有动漫，我就来看看...
中国动漫别的不说，特讨厌把女性胸部弄得特别大
唉，有多少人是像我一样，身为单身狗，却来看这虐心的动漫
陆瑾年，我爱了你十三年 可你却忘记对我说一声“我爱你！”
等不到电视剧更新。有没有一样来看的
国漫与日漫的区别在于，国漫是漫画，日漫是动漫
看了电视剧版，受不了结局就来看漫画版了，有和我一样的朋友吗？
感觉这女主也太墨迹了吧，要死不活，喜欢又不说，作
漫画版的比电视剧版虐，虐，虐，虐，太虐了，我的眼泪都快哭干了
我还是比较喜欢电视剧真人的
看过电视剧版的，李溪芮和熊梓棋演的都很好
那算什么破结局呀，那个坏女人真坏，还有那个管家
其实很好看，如果真人版的会更难看
我天，乔安好的声音怎么那么像赵丽颖，真恶心
小说超超超超超超超好看！
看了真人版之后受不了才来看动漫的，有一样的人儿吗，点个赞留个言吧
我喜欢这个剧中剧，好希望有一部这样的倾城时光
男主配音出戏，没有被吸引的感觉
看不起怎么办，我穷，，
看了电视剧才来追动漫的
男主声音好难听噢
画风我很喜欢，可以和日漫有一拼了
国漫和日漫就是不一样，瞳色都一样
男的配音好难听哇！……
能让以前的画风变回来么？对现在这画风很无语啊
还是习惯前面男主画风qwq
你们觉得动漫好看，还是李溪芮和熊梓淇演的好看？
我也看日漫也看国漫我去哪里生活
已经毁的差不多了
好虐
还是电视剧好看，熊梓琪好帅
真的是急死人了
为什么第三季跟前面的不一样，感觉第三季回忆都占了一半基本就没说点啥
好感人
国民老公带回家 第01集 虐！瑾年乔乔又误会！
陆瑾年的配音不好听
同意男主也喜欢女主的点赞
看没看过《大鱼海棠》特别好的一部国漫，感动
乔安夏是谁？？电视剧没有这一个人啊！！
动漫比电视剧好多了，电视剧里的女主简直就是毁三观啊！
不喜欢配音～尤其是男主的～好老气～
这根电视剧版的不一样啊，乔乔咋还有个姐姐
没有漫画画的好，怪怪的，乔乔脸像男的，配音也不好，醉了
期待熊老师演的陆瑾年
配的声音太难听了呀，画的到不错。
男主的大叔音是什么鬼
女主这么做作娇气的话，我觉得还是乔安夏看着舒服一点！
其实这是一部漫画，也叫国民老公带回家，结局他两结婚了，挺好看的
好看。第四季啥时候出
还是感觉动漫好看！！！
好直接呀 我喜欢 哈哈哈哈哈
我一个27岁的老阿姨 来看这个合适吗？
有你的瑾年才安好！！！！
我现在已经忍着不骂人了，还不出第四季。
安好不是粉毛吗，觉得配音不好听
男主声音不好听……喜欢杰大的声音
第四季希望他们不要在折磨自己了能够在一起
动漫版的不好看，还是真人版的好看
我是男的，看女的花痴好尴尬
与电视剧相比感觉这个好点，电视剧中男主性格完全变了
画的不好看，配音……
我看的漫画上面的人物可美了
你们不觉得女主的声音很像赵丽颖的声音吗？
看完这个太感人了，爱了十三年终于等到你！
还是比较喜欢漫画里乔安好粉色头发。
电视剧没用心思啊 剧情太俗 动漫的看起来还可以
好虐 看完心情很不好 拖拖拉拉的喜欢就说嘛 好让人生气
说实话………这男的声音我不喜欢
动漫人物太难看了，，，
我看过一个漫画，好像就是这个，女主一直喜欢男主，男主也喜欢女主，男主以为女主喜欢男配，以为女主把他当男配的替身，其实男主一直误会女主了
还是挺期待熊梓淇演的陆瑾年
开头曲听上去还行，就是人物配音。。。
女主好表，明知道姐姐喜欢还往上凑
只有三部呀 那有第四季啊。结局也没有。看的有头没尾的[白眼][白眼][白眼]
等电视剧啊！动漫好难看啊！
感觉电视剧笔动漫好看多了
男主的声音好难听，我想吐。
他们两个在修修
情不知所起却一往情深莫名喜欢你乔安好
我觉得这部漫画太烂啦，一直是回忆，就只会吊胃口，拖戏份，烂烂烂！
其实挺虐心的.明明互相喜欢却不能在一起.明明在一起却互相折磨
这个配音为啥是中年老年人的声音 一点也不嫩
能不能像双世宠妃一样剧情不拖拉～看得我好心累啊
听这个普通话配音……感觉好尴尬啊……
男主是王者诸葛亮的配音
有你的锦年，才安好。
基本全是快进，一集10分钟，7分钟回忆，
陆瑾年的声音让我受不了
很简单，说出来了就没故事扯淡了
许嘉木和宋相思在第几集出现的啊？只为他俩而来❤
这不动漫好虐恋，就不能换一个结局和情节吗
希望不要这么虐了，两人好好的不行吗？
好喜欢国民老公带回家，喜欢陆谨年，也喜欢许嘉木
看到这个我就想起来坂本
我个人就觉得声音不太好听
动漫比电视剧好看多了，电视剧里的情节衔接的都不自然
第三季我真无语了、看不懂
跟小说剧情完全不一样
