要我说，最好看的动漫应该是斗罗大陆
其实就一部电影的长度，砍成20集，然后赚点击率，赚了几千万软妹币。
看了这么多年的国漫最好看的应该是斗罗大陆了
国漫画的真好看 美美的比日漫好看多了 五官表情都很到位
看到第二部我终于弄清楚一件事！原来蒙面的都是无敌的！
小师妹好美
辰东的神墓有几个人记得呢。那个拍出来绝对火爆，同意的赞！
谁能给我解释一下第1 2 3季怎么分的，都不知道从哪里看起
全程笑点：千落：我也餓了 满风：幸亏我留了一只鸡
#参与活动#寒铁斗的画质依然吊炸天，打斗进步好多，赞！！！！
""
她做女主最美了，有和我一样的吗？
斗罗大陆更新太慢，是就点赞
#参与活动#希望我们的动画越来越强，做动漫届领先的佼佼者
国产动画做得越来越好了，要是墓里再复杂一些就完美了，不过还是赞许
还是喜欢看斗破，你们呢？
古代的少男少女都那么悠哉 请问他们生活费 从哪里来
自己做的，大爱楼满风
无可和尚才是最帅的。
国内精品，中国的文化不是小日本能攀比的。
千亦膤一出美艳压全场
自己去做什么。
导演，好久出第四季啦！
慕容焰一直利用公主的势力，他喜欢的是千落
什么东东。。。主角不帅 不像那些斗罗大陆 斗破苍穹 这些主角都帅
这集满风被揪耳朵时叫的好妖娆
慕容烨是不是喜欢千落呀？
喜欢千落，满风。颜值高，人也好！水瑶，时秋也喜欢，但我更喜欢这对。
小师妹一出场都把我眼亮瞎了
我比较喜欢楼满风，真人有嫩帅就行了
我觉得这是最好看的国漫了
笑死了
真好看，两天我要把三部一次看完！！！哈哈哈哈
支持国产动漫！太棒了
好感人
完美的画风 完美的人物刻画 完美的剧情场景 我已是国漫的忠实粉丝
找到这个曲了《愿情》。不用谢 点个赞就好☺
不错的动漫，剧情666，喜欢寒千落。。。
好看是好看，可是穷没钱开VIP。哎
不知道大家喜欢那一对呢？
不错，蛮喜欢他（她）们四个的。
虐狗
什么时候播出第四季期待，满风加油
看了半天倒是挺羡慕他们的感情
四个主角都重情重义，很感人啊～～
攻墓不盗，破享功成……攻墓人楼满风前来攻墓……
我比较喜欢水瑶和骆时秋这一对
特别喜欢满风 太帅了
小楼，帅我一脸
公主还没千落漂亮，最喜欢千落和满风
夜寒酒醉千杯落，(寒千落) 高楼独殇满城风。(楼满风) 遥林远忘水未瑶，(林水瑶) 唯骆相伴时至秋。(骆时秋)
这样的电视剧真是太赞了666666
小师妹和林雨琨是一对么！
喜欢水瑶，刁蛮可爱又性感
没VIP好想看
女的很漂亮
好看是好看，还好我是大王卡，不用充会员。哈哈哈
请问大家萧吹的是什么曲子有谁知道谢谢啦
国产动漫做的越来越好了。
好看，从第一部看到第三部，
能把所有角色不论男女都画出人妖的感觉，也是厉害
很喜欢时秋和水瑶cp
飘渺之旅制作成动漫.期待啊
还不错，起码有情侣！！！撒狗粮！
喜欢他们四个，兄弟情很深，爱情很暖心，结局很美好，爷爷超可爱有木有
我问问啊，墓塌了，宝藏怎么弄出来
好听
慕容显一滴眼泪流下来、我想说：动漫也有演技？神了
我觉得水瑶还是粉色衣服好看，
"不错啊！但是
寒千落变化的确实大！"
"麒麟决第一步
寒铁斗第二部
悬棺寺第三部"
寒千洛复活了。开心❤
公主好像张雨琦
还没看够给点个赞，下面还有吗
寒风满落cp♡ 骆水秋瑶cp♡ ♡♡♡ 自编的，不喜欢不勿喷
这电视好看，有剧情，剧情跌宕起伏
动漫人物也有演技？牛
那和尚绝对不简单，等着看吧
樱花公主的配音者乔诗语也是楚乔的配音者 怪不得这么像
看了第三部才追过来的 以前都不知道这部剧 一直喜欢国漫 ❤️
我也好饿！幸好我还留了一只
真好，最喜欢的国产动画
美炸了
非常喜欢
骆时秋造型挺帅，少城主也还行，但是楼满风是真丑眼线拉这么长，眼睛都变形了你们还觉得好看？现在人赏美都畸形了吗？男不男，女不女！
喜欢满风和千落！！！！
想你恋你陪你牵你宠你恋你爱你一世痴狂
今天是2月13，明天就是2月14了，又是一个情人节，可我还是单身狗
说得不错
中国动漫越来越好了，要是时间能长一点就更好了。
制作精良！机关部分还不够精彩，破起来有些容易。希望以后的惊喜！
希望国产动漫越来越好，期待下一季，不要让我等的太久太久……
觉得这部动画片可以点赞
不错的动漫，剧情挺好，我们的国漫有出息了哈！
三部现看哪部，，，，，，
画面、故事很美…一口气看完！中国的动漫可以哦…非常好看、大爷我喜欢
那个是第一部啊！！！！！！
感觉公主就是单方面的爱恋，少城主对她应该不算是爱情。
什么玩意
喜欢看动漫的朋友们，推荐推荐♡
