哈哈哈哈头一次看见一个4000多播放量的
这个版本不错啊，特别是这个歌😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
这是哪个山旮旯里的东北话？ 这调调是要上天咋的
做为一个东北人，我听这完全是普通话啊……
东北话自此番起，有了辽宁口音版、黑龙江口音版、吉林口音版以及通灵妃口音版（稍魔性，有点意思）
这是辽宁话😂😂😂
心中只有一句，有毒吧😂️
竟扯犊子，这是哪旮瘩滴东北话～～
这个东北话不正宗，有点刻意模仿.....
看起还是得劲啊。为撒子没有人看呢？
我撤了，受不了这方言😂
这主题曲也太魔性了！
还有什么版本全都亮出来吧，真实厉害了我的导演，你可真皮。真好。
有毒，哈哈哈哈哈(ಡωಡ)hiahiahia
为什么这个星期没更新
刚从普通话来的我，，发现这版本可真带感呢🌚🌚
看了原版觉得没意思，看到了东北话版，觉得好有意思，决定追番哈哈哈
来个大重庆方言，，静等更新
东北 东北 真是好一个东北话😂😂
我要听锦州口音的，锦州话最逗比
干哈玩意儿啊 。。。。
天~这是什么
看漫画吧，漫画都更了100多集了。
几时更新啊太好看了，，更新的也太慢了
被op拯救的动漫😊
这个是东北话，可听着为什么有点不对劲呢？
我听着像吉林白山的口音，那儿都不分平翘舌
哈哈哈，突然好想笑😂😂
呀！这歌咋真好听呀~
好搞笑啊这个说话方式
哎呀兄弟啊咋哪有才😂
这部好看！非常的精彩！
这王爷说的话，哈哈哈~……够我笑几年了！啊哈哈哈哈哈……
魔性的OP吸引了我！
还有希望作者更新快点。
居然不是动态漫画，可这配音我算是醉了
有没有粤语版的？？？？？
有四川话的版本吗？期待！
这口音好有喜感，我是在看喜剧吗😂😂😂
这是东北哪疙瘩的方言啊？？？
乐死我了，东北话都寻思的出来
这话这音跑偏了吧？我可能是个假东北人
我来看一下东北话版的
丘比特。你1⃣️？在家？在
感觉说的是东北话，但是好像味道不太对😂
嘴都对不上，有点，但是嘴里说的和字都不一样。但是我吗？不在意那些细节。
东北是这样？啊？？？？？
如果人物画的再完美点就更好了。还有声音在改一下。
我滴妈呀！！！！还是普通话好听
感觉我大东北被埋汰了
这说话的方式真心幽默
没有山东省的口音版
这配音真是醉了，还以为能听到正宗的东北话，🙄🙄🙄🙄🙄🙄
棋子的发音就不对，棋子er，然后那也行可以叫那也中
导演真是脑洞大开呀，牛。！！！！！！！
为什么一个星期就知有更新丨季呀！
这口音不是很纯正，感觉有点像话剧
这个东北话不正宗啊！🤔🤔🤔🤔
怎么配音变味了，感觉很不好听啊
不是老家话还不看呢。。。。。。
我太开心了，各个版本看一遍
东北话太强了哈哈哈哈哈哈哈
好看，就是更新太太太慢😝
这是辽宁话版………………
太好看了。我都看了五遍
要笑死我吗😂😂😂😂
大兄弟 这口音不太像啊
喝喝，真是太可笑了。
这是那疙瘩的东北口音
还是好的，我觉得还行
"666哈哈哈
逗4了"
同意你的话。
歌好评 喜庆
这是啥子玩意啊，东北口音不对吧，这怎么听着像辽宁那嘎子的
哪里像东北话了？跟我们江苏宿迁说话一模一样
这尼玛是和一人之下是一个音乐制作团队的吧
配你奶奶个腿！我东北说话可不是这个样！
鞍山话
我们说话也不大舌头 我们吐字还是清楚的
更新的太慢，我马上都不知道追剧了
东北银不是这么说话的 谢谢🤣🤣
这歌是认真的吗？😂😂😂😂😂
这个东北话怎么一点都不像
这个op，哪位舞见翻跳一下?
我怎么听着这么像普通话?
少了很多情节，没有人。
主题曲也真是醉了😂😂
我对辽宁话有误解？🌚
"很好看,更新太慢了！"
这口音 😂😂😂
这事在搞笑吗？
"变出一片小清凉吧。。。 　 ∧＿∧ （｡•ω•｡)つ━☆.. ・*。 ⊂　　 ノ 　 　　・゜+.
　しーＪ　 　　°。+ *´¨)
　　　 　　.· ´¸.·*´¨) ¸.·*¨) 　　　　　　 　 　(¸.·´ (¸.·’*"
夜王妃为什😘么会里来这里
真好
雷死我了
这歌，，，，。😄😄😄😄😄
这是东北话没错，可我觉不同意这是东北口音
哎妈呀 太逗了
这歌好听
说辽宁的，你告诉我是辽宁哪儿来，反正我们大连不是这么说话的
