更新啦！更新啦！更新啦！重要的事情说三遍！
"王陆，变丑了。
支持的请点赞"
习惯了看，秦时明月，天行九歌，武庚纪，斗罗大陆
支持出第三季的请按赞
第三季什么时候更新，还有第二季第七季去哪了。
真心好看!第2季，结尾很棒，彻底被感动。坐等第三季!
第三季什么时候出？都快两年了。
那么久了还不出第三季啊？
为什么不更新第三季了！！！怎么这么多动漫不更新！！哎！！！！！
日本他们自己做的，前面还合作。现在都不合作了
请速度更新，广大人民都在等着更新希望导演，更新，
这么好看动漫怎么还不更新快点快点要不要收视率啊？
第三部多久出呀，谁能告诉我。
人之初，性本善作者不更是坏蛋，你不更，我不赞，看你以后怎么办。
这个今年9月第3记开始
什么时候出第3季啊？
人物全变了没第一季好
第2季制片数学不好么？第6集就到第8集了 第7集被制片吃了？？
感觉王陆好像突然长大了，，我还是喜欢以前的那个正太模样啊
第八集也看不了 什么鬼
第三季什么时候出啊？第二季把世界观做大了，不再是单纯的搞笑与修仙，而更与现实相贴切，乾元燃血功的使用是否与为人民服务的宗旨是否相矛盾其实更是我们应该思考的问题，其实在现实生活中也有很多这样的情况，我觉得一部动漫不仅要有它的经济价值，更能够让观众在看的过程当中体会到它的文化价值和社会价值，我一直认为动漫也是一种需要继承与创新的文化。漫漫修仙路，实践出真知。
我觉得还是动漫一人之下好看
人之初，性本善作者不更是坏蛋，你不更，我不赞，看你以后怎么办。
有第三季吗，这部国漫很好啊，赞
求从前有座灵剑山更新
不喜欢第二季画风，不喜欢这剧情风格，不搞笑了
好久了，赶紧更新啊…
"“老，老前辈，这里到底是什么地方？”
那人正待起身离开，听到这个问题，驻足答道：“现在是什么地方，我已经说不清楚了，但是从前……这里有座灵剑山。”最后结局有点狗血"
没有第三季吗？？？？我还挺喜欢看的！！！
谁玩王者
你变了 你以前不是这样的 你那一本正经的搞笑 那无处不在的方言 哦你在哪
真慢，第三部第四部还没到
坐等第三季，话说都这么久了怎么还不出？
什么时候更新第三部啊？
王陆这是吃了一圈回来的吗
第三，第三，第三季呢？
第三季什么时候出？！？
第三季跪求，跪求啊！！！！
赶紧出第三季啊啊很好看的噢
垃圾画质，完全比不上第一部
第三季才是真正的开始。 好想看
第二季确实不如第一季
返回去看第一季
我想说的是希望在我有生之年，能看到第三季
使滑头增加正义感，使正直的圆滑些。不错的作品。呵呵
"好看吗？
没有第一季好看"
总觉得越到后面越不好看
我还真的服了2年没更新了？？？？？
第二部主角好丑。。。。
还我第七集，还我第七集
好丑不如第一季I哎！
国漫等的好揪心，出到一半就不出了
这个配音，少了人情味，也不亲近，搞笑了
很期待第三季
第三季啊 第三季啊 在哪里
不更新了吗？烦烦烦烦
还我王陆
不如第一季好看了。！！！
我认为第二季的画风全部毁了，我美好的第一季的帅气的王陆啊|
第三季啥时候出来啊！
我去国漫难得有一个好看的。，这就让日本给改毁了。
导演什么时候才更新第三季啊？ 都已经快一年了。
比较喜欢第一季，第二季的画风个人表示不是那么喜欢
还是喜欢第一季的逗比画风，第二季画风突变
这动漫在误导我们。啊啊啊啊啊啊啊
第三季什么时候更新，不如看漫画
很想看，第三季不知道什么时候才出
有第三季没有啊.…有没有有第三季
什么时候出第三季，我好想看
半年前看完第二季，现在怎么还没更新啊
不知道是自己的境界低，还是什么原用，反着觉得和第一部差的远。
人物比第一季丑了，不好看
估计缺钱了...哎挺好的剧就这么没了
第三季啊 坐等第三季
第一季是日本的 别喷了 第二部是是中国的好就是好不好就是不好。哪来那么多歧视。动漫还分国界。还一帮人说看日漫就不会是中国人。承认别人好就那么难么。道德狗
这连第一季的毛都比不上，连画风差距也那么大。
没了吗？要像守墓人一样？。
王权富贵的儿子啊！厉害了
什么情况？有没有第三季啊？
什么时候出第三季呀，等的好着急啊
说句实话，这是最成功的邪教传播
都一年没有更新了，什么时候更新啊？好慢
希望来第三季的小伙伴们点个赞
第三季什么时候出
说真的第二部王舞就是走个过场！尼玛 把王舞还给我！
看到这里，我噗嗤的笑了出来，大半夜的隔壁母亲怒吼干嘛
第三部什么时候出，快点出想看期待
第二季没有第一季好看
第三季啊，这就结束了，和那个画江湖一丘之貉，
等等，这个……不是好人吗？怎么……变魔教的教主了！
第七集呢？看第8集看不起呢？
第三季什么时候出啊？
什么鬼都半年多了还不出第三季
挺好看的，希望快点出第三部
这画风，……抽了吗？
感不感觉现在很多国漫动画中间都缺少了一集。
若非你是主角，你早已经成为渣渣
是不是换画家了，人画的都不一样，声音也变了，长大了的原因吗
没人求着你们看，不喜欢的不看不得了？总在那刷屏烦不烦？
第2季还没有第一季的人设好看
