好厉害《主公在哪儿》我以经看了很多遍了匕。
比书的好看多了同意的顶个
天哪!人物都是Q版的，好可爱啊！好好看，好好笑!
感觉还挺不错，给不爱学习的熊孩看正合适。
我喜欢郭嘉，周瑜和小乔还有吕布，张飞，我也挺喜欢的
我初中了都是觉得比真人好看
我喜欢大小乔，还有貂蝉
好好看，很经典！
刘备太逗了
看三国不如看主公在哪
刘备真萌
谁知道司马懿的头是怎么转的
我真是越来越喜欢这个人了
好看死了！！！6666666666666太好看了
演戏也演的太假了
貂蝉和吕布是怎么搞好关系的
好看看看看看！
郭嘉，我三国的偶像
王者荣耀路过
阿满好圷拉
佳佳，在第几集死的？
梦想三国看过吗?
感觉自己看了一遍巜唐伯虎点秋香》
郭嘉好帅啊！男神啊！
赵云最强
很好看哦！
我喜欢诸葛亮和郭嘉和赵云
有钱的日子
刘备善良到搞笑
小乔真美呀，大乔也很美呢。
我是你的粉丝你我签个名么
我一年前就看完了
动漫好搞笑
刚从口水三国过来！！！
封面就看到了孙尚香[呲牙][呲牙]王者本命孙尚香
好看哦
再重新看一遍，好像已经看过三四遍自己也记不
赵云帅死了
没钱的日子
爱曹操
搞笑
我喜欢关羽，张飞，赵云，马超，黄忠，刘备，诸葛亮嘻嘻嘻
诸葛亮好聪明啊！
好看
郭嘉的嘴巴好可爱
我家孩子喜欢诸葛亮和赵云
大乔，小乔，貂蝉，谁漂亮？
我的诸葛怎么不帅
是真人就好了
有人玩王者荣耀的
那个小戏骨放开那三国好看
佳佳好帅呀我好受呀我
太卡了[发怒][发怒]
呵呵
好看
非常好看
你们认为赵云是不是最帅气的
虽然幼稚，但我还是喜欢
搞笑
诸葛亮几天没来，是在写锦囊吗？
60岁女儿！
马超郭嘉周瑜是最帅的
我说那里就此开始做魔王娶亲……
点个赞
周瑜是很帅，但太自恋了。
三国杀造型啊？
小乔和周瑜什么时候结婚？
草船借鉴和空城计在哪一级呀
好看，66666666
人人人
喜欢周瑜，郭嘉，甄姬，曹植and赵云
我特喜欢三国，建议大家去看看萌三国。我正式了解三国也是因为他，很萌，很可爱，一点都不无聊。我看这个是妹妹推荐，但看了一下，好像没萌三国清楚，好看。人物也没萌三国好看。（萌三国是漫画）
~(&gt;_&lt;。)＼
我喜欢刘备、关羽、张飞、赵云、吕布。
"一个九岁的小娃娃
孙权"
吕布犹如孙悟空赤兔犹如筋斗云
刘备为什么没有穿盔甲
李白登上黄鹤楼，o
真是好看极了！！！喜欢
好好看
华南比安71元平方米
我最喜欢貂蝉。
你几年级的？
关羽好可爱。
有病！！！！！！！二
有的地方演的太夸张了吧[发呆][发呆]
太好看了
这是三国杀，不是什么农药
歌曲好听！
96666666666
还是假的吗？
郭嘉几集死的
看王者农药
赵云好帅
好听!
子富
哥哥哥哥哥哥们
真好看
张飞狮吼功太厉害1号
我是才子
