这本漫画挺好的…若做成动漫就太棒了
虽说不是动画，但是不得不说的是配音真的很走心诶，配音好评
直接动画得了很纠。。。
剧情这么好做成动画能火啊！！！！！
"夜王爷怎么这样对云兮呀！真是败类，对女孩子这么残忍！简直不是人，那个南晴婉不过是脸蛋好看些，卑气温柔些,有什么好的。人家喜欢的又不是你，你还非要人家做夜王妃，我们家云兮才不稀罕夜王妃这个名分呢！"
这动漫我醉了，就是漫画，欺骗我感情
这也叫动漫？忽悠我智商不高嘛？？？
看得我默默打开了原漫画...
""
是我对动漫有误解么！这不是漫画么！不过是加了声音罢了
剧情，人物等都好，可惜只是漫画版。后期做成动漫更有意思
为什么还没更新呢，。。。。已经一年了，粉丝等着更新啊
想看14集吗？ 点赞
真的不是我说这是直接把漫画剪下来，配的音吧。
通灵妃怎么不出第二部？
声音听着那么怪还不如我看漫画习惯
糙糙，第一次看到的时候还以为我卡了，尼玛这特码是动漫？简直是把漫画配上什么破音，特码就是过了一下漫画流程啊 忽悠人啊（尼玛就是截了漫画的图，动一下画面嗷嗷）(╯‵□′)╯︵┻━┻
………完成任务
音配的不错。。。。其它吗
认为这不是动漫的点个赞
WTM: 感觉智商收到了前所未有的侮辱
就当是听声音吧，学会知足
妈的，这叫动漫吗，动都不动
这比直接动漫好多了，既符合原著画风，又能听到声音，关键不用动手翻
这个叫动漫？吓死。不就是漫画+配音？我的天。。。侮辱了原作。
这配音可以啊 为什么没人夸
同感，就是被骗了，这动漫是听声音啊
我觉得把，还是直接看漫画吧＠(￣-￣)＠
你们看到第几集了？我看到第14集了
那啥你确定这是动漫?还我漫画版的
感觉我的智商被侮辱了呢
这拍成电视剧就好看了
假如拍成电视剧应该好看。
好喜欢这个动漫啊！不过我感觉只是加了配音而已！
额，这就比漫画多了配音，，，然而男主配音真不咋样
挺不错的漫画。。配音也不错 可惜不是动漫
这分明和漫画没啥区别！就只有配音和背景音乐。
我知道这是漫画，但我以为被弄成动漫了
如果这是电视剧就好了 肯定很多人有这种想法。希望能把它做成电视剧。
"我想说这不就是漫画截图变成动态。连嘴都不动
同意点赞"
"我看过这个的漫画！
谁看过点个赞！"
如果把她改成真的动漫就更好了。嘻嘻我只是建议
看到这么多人吐槽了，心满意足
漫画我都看过了，就是一张一张照片拍上去的吧
为什么是动漫。如果不是动漫就好看了。
what
我还以为是动漫，结果就配个音……
这……动漫啊？只是加了语音和音乐其他没什么特别的。看这个真的还不如看漫画
无法了无法了漫画做不成就来做动漫了，然而并没有什么软用
这明明就是漫画吗？不是动漫
。。。。通灵妃出动漫?
谁看过漫画版的？？？
这也算动漫吗，坑货，不就是漫画拼凑在一起的吧
啥时候更新呢，好好看，不会动也好看
编剧不换男主，我给编剧寄刀片
看到片面满怀期待进来看看，感觉我的智商受到侮辱
结尾歌曲： 断章
如果是动漫就好了，哎
要是会动我会更喜欢的
更新太慢了，有喜爱古代言情小说的可以给我介绍一下吧！
真想知道后面的，
这本来就是有声漫画不是动漫……
我就当自己没有点进来过
成功的解释了‘动漫’二字，对你来说就是会动的漫画被！！！！
我知道第8集到14集
谁看过这之类的动漫小说？告诉我一声。
侮辱智商，还不如自己看漫画呢
尼玛！这是幻灯片吧！这也就免了自己手滑屏幕看漫画
被封面骗过来的，来来来，举个爪爪
能不能来个真人版的啊
妈的，这还叫动漫，不就是把漫画配上声音放吗？天呐，太好意思拿出来播，简直了，把这个拿出来播的人太厚脸皮了吧？同意的，请点赞。
这种？ 我的天在我看的第一眼就失望了 这完全是pia戏配音情节
人之初，性本善，作者不更是坏蛋。你不更，我不看，看你以后怎么办！
讨厌南晴碗同意点赞
动漫的意思就是在动的漫画
哇，这是忽悠人呐，太让我伤心了
长见识了，所谓动漫，其实就是会动的漫画吧！
我给你们推荐一个漫画灵契。
，
名副其实的＂动＂＂漫＂
虽然自己不是特别的喜欢有声漫画，觉得还是动漫看的爽，但是我不想看见有人说这是什么破动漫之类的话，有！声！漫！画！ 漫！！！画！！！跟动漫不同的，名字上就写着呢
不能再多编几集吗？感觉没有结局似的
就个配音就算是动漫了？
这是动漫，不就是图片展。。。。
这是漫画 不是动画 要是动画多好看呀
真不知道这是啥，国漫好垃圾
南晴碗算什么东西
666 这是拿相机照的然后发上来的吧
为什么不去看漫画，非要看动漫，猫妖的诱惑也挺好看的啊。
厉害了，制片人我欣赏你省钱。不过还可以的(•̀⌄•́)
真是毁了我们心目中的男女主，声音一点都不好听。
去年就出来7集，为什么今年还是7集，不更新了么……不开森
这是一个被恶魔缠住的“小滑稽”真令人想笑，哈哈哈哈，恶魔
""
女配音是朔小兔吗？？？？？
逗呢，好假，能不能有点技术
这跟漫画有区别吗，不就是加了一个配音？
不如看漫画，不对，这就是漫画
这五毛钱的特效，真是亮瞎了我的眼
什么时候更新呀，我快等不及要看呀！
