做个调查，你们希望谁和封夕修成正果？苏九儿还是郭双？？
三年了 和小狐娘一起等了三年，如今已高三却还是忍不住看这个国漫
第二季的第二集来了，妖怪名单的粉丝们怎么还那么少呢？
第三季什么时候出啊？😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭
想让妖怪名单，更新快的请点赞谢谢！
"我觉得封夕知道记忆后特别关心郭双、三元、我就想对封夕说:心家苏九儿跟了你几生几世了,帮过你多少次,你虽然记起来了，可你只记得几世前的爱人，你不喜欢九儿，你就对九儿说声对不起啊(本人知道是小说，只是说出了想法，不喜勿喷)"
怎么第二集的第一集不见了😭
唱得真好听，第二季(妖怪名单)第三集
要是苏九儿没和男主在一起，我会非常讨厌这部剧的，凭什么啊
希望苏九儿和封夕在一起
。。。。怎么感觉跟第一部差远了，是不是换作者了，画蹦了都。😡😡
你们不知道龙三元也是封夕前世的爱人吗？
第一集给吃了嘛 你们有没有啊
第一季不是和苏九儿在一起了吗…咋第二季不承认了
九儿和郭双抢，谁会赢？
想跟苏九儿结婚的点赞，想跟龙女结婚的点赞
我希望男主和苏九儿在一起，有同感的吗？
酒儿的爱太伟大了，可是爱得却是那么的愚蠢那么的悲情。
其实苏九儿和封夕在一起好，毕竟为他守了千年了啊！
唉，这结局不好，心疼九儿，她们是对不起九儿😞
我就想知道到底有多少个女的喜欢封夕
大家好，我这有沙发，一起来坐坐吧！聊聊妖怪名单第二季吧！
你们去看漫画，漫画已经演完了
这个主角是白月初。
她是苏山红红。
感觉苏九儿好惨，追了封夕几生几世了，可是都没能修成正果..
可以可以很喜欢苏九儿
怎么开始是第二集，第一集被封杀了吗？
美女那么多，帅哥那么少，男女比例很不平衡啊！
怎么不更新？快更新更新啊更新
这个动漫真的很虐心。一边是等待了你几千年了一边是每一世都会替你死的。还有一个人也是一直等着你的这怎么选嘛爱与不爱之间寸步难行进退两难。
其实九儿三元郭双都很苦，最少的郭双也保护了封夕好多世
怎么还没有第三季啊等了好久
我觉得封夕和妲己第一次见面绝对是在商朝，没准当时封夕是纣王呢。
王小二，你做服务员了，小心老板娘来抓你 哦
说实话，我更想看，酒儿的那一世
为什么总是卡，总是一卡一卡的
妲己为他付出了那么多，宁愿自己孤独，轮回几世也只愿他能够快乐就好。
"其实吧...我压根没看懂女主到底是谁😂不过我个人偏向于九二....😂😂
我就想说男主太爽了吧！九儿等了他那么多世，郭双又对他死心塌地的.....我就想问封夕你TM到底喜欢谁啊！！！！"
第二季咋没有第一集呢？
我就想问一下第一集哪去了
不同的动漫造就不同的主角不同的时代造就不同的天才。
同情苏九儿，陪过阳眼每一世，可每一世都是失望😞
为什么没有第一集[白眼]
开头曲好听，女主有多少个。那学长一定喜欢郭双。
怎么妲己从王者荣耀里面跑出来了，好看这部作品非常棒。
这是封夕的前世之一，这一世是龙三公主的，这个狐妖是苏妲已妲己
2018.9.12.0:55看完
都是什么鬼，一直以为狐狸是女主
😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭
原来美女都是这样消失的，草他妈的，呜呜呜呜呜
还没更新！等了太久！
感觉好棒啊！o(≧v≦)o超级喜欢苏九儿~原谅我是个兽耳控~
心疼酒儿。希望 下一季他们能在一起。
好看的动漫很多 就是喜欢看妖怪名单
这是第一个把我看哭的动漫
导演啊，能不能一起给做完啊，一集一集看好心烦啊，支撑的点赞
几世轮回绕不出缘浅情深
如果主角有一世前世是纣王的话，现在这几个女主角好像算少了
第一集被什么吃掉了？被妖怪吃了，大概。
不好看啊，比漫画正经太多
第一次爆粗口
我觉得可能要等到新闻联播大结局第三季才开播吧。
天啊！不愧是10万～5万一颗的龙之泪，这么万能
所以最后封夕和谁在一起了
"君生我未生，我生君已老 君恨我生迟，我恨君生早
君生我未生，我生君已老 恨不生同时，日日与君好
我生君未生，君生我已老 我离君天涯，君隔我海角
我生君未生，君生我已老 化蝶去寻花，夜夜栖芳草”"
第二季的第一集去哪里啦
感觉九儿好可怜，每一世都不能和男主在一起，每一世都只能眼睁睁的看着男主爱上别人，而男主每一世喜欢的都不会是九儿，希望这一世她们能在一起。
请问第一集
""
还要多久才更新啊，得了好久了
你们是喜欢郭双还是苏九儿
好想知道开头曲啊？谁能告诉我啊😭😭😭
特别期待三。。。。。。。
第三季什么时候出啊真希望第三季快一点，我都看几次了。
为什么没有第一集？？？
我突然心血来潮，想到新的名字叫《菜鸟的成长日记》。
还要等多久啊为啥第三部还不出？
看完一个男人哭了好感动结尾希望有第三季
希望九儿和封夕在一起
还不出第三期我把你家拆了
