其实，龙太子和剑侠客是心心相印
玩了那么久梦幻终于等到出动画了 可是当年带我入梦幻的那个人却物是人非了 一直觉得剑侠客和骨精灵是天生的一对 看到开头想起自己 悲哀～无奈
真的非常喜欢，算下来几乎每个月都会看一遍每看一遍就会哭一次，太感动.这部动漫真的真的非常好！每个人物都喜欢，最后一集哭的不要不要的..会永远支持！希望作者大大出个番外，哪怕一集也好.嗯就这样，蟹蟹♥
现在是2018年，正在看的人举个爪。
支持骨精灵和剑侠客的请举手
看到这集，忽然之间发现眼泪已经不由自主的掉了下来，剑侠客你要振作啊
我超级喜欢这部动画片的，真的希望他们露出第五季。我每看一次就哭一次记得在它更新的时候我看见剑侠客被那头猪遍体鳞伤的时候，那个时候我真的很想哭
飞燕女喜欢那个龙太子
唱歌太好听了，我点个赞。
结局太悲催了，希望剑侠客他们回归，一起干掉蚩尤。
骨精灵和剑侠客是天生的一对。
就我一个人想起了TFboys的恋西游吗？
大结局真的好悲伤，如果可以我希望15位天命之人都活着。
人物要是能做的更高大些，就会更好看的。
从第一季追到第五季，太好看了，只是最后结局好悲惨。
喜欢逍遥生和狐美人的点赞
谁玩梦幻西游，我玩，喜欢的点赞，谢谢大家
龙太子被打之前和被打之后脸挺可爱啊
骨精灵和剑侠客是天生的一对
不愧是网易，做的动画也算是好的，至少比喜羊羊好多了
希望他们能负活！！！
这个说实话真的是一部很好的动画，刚开始认为不怎么样，后来嗯改变了看法，这应该是我看过最好的动画了！
长得好看可声音也太吓人了吧非常难听，难怪是妖精
开头主题曲骨精灵绕过同伴飞到剑侠客身旁，喜欢❤
龙太子和飞燕女就是在那个时候喜欢上对方的吧。
[流泪][流泪][流泪]勾起往年的好多回忆，以前在一起共同通宵的举手
神天兵，羽灵神，杀破狼.
怎么感觉地藏王是把骨精灵嫁出去，给剑侠客，当媳妇
喜欢剑侠客的举起你们的爪子
期待更新的顶我
看到大结局的时候我哭了
好讨厌广告
梦幻西游歌词太好听了大巨人太大了吓死人
照片是挺帥的，可惜結果太可憐了。
为什么在大结局的时候剑侠客为什么要哭？还有骨精灵，为什么会死？
我希望骨精灵永远和剑侠客在一起。
希望能来个梦幻西游的电影
全季我两年前就看完了，可惜没有后续了。
天兵你们抓错人了，
王俊凯是剑侠客，王源是逍遥生。易烊千玺是东河太子和骨精灵、飞燕女？
不好看吧，好看的话就点赞
骨精灵和剑侠客是一对
这游戏我都不会玩了69魔王我还有呢，5魔魔王！
结局好悲催，我都看哭过好几回
""
我追过第一季
嗯，我也等了好久这个动画片了
好看的人，请帮忙点个赞。谢谢你们
为什么天命之战之后不更了，我等一年了！
怎么样，她漂亮吗？
它们都是为三界而死，直
骨精灵棒棒哒，喜欢骨精灵的举起大拇指。
地府骨精灵根本就不是输出啊喂
哎，大结局为什么这么想哭，就不能15个人一起活着吗？emmm...蓝瘦香菇
剑侠客和骨精灵是天生的一对
为什么结局会那么悲惨
重温，正在看的点个赞！
梦幻西游的主题歌好听[流泪][流泪][流泪][流泪][流泪][流泪][流泪]
我喜欢飞燕女因为飞燕女很好看。
我太喜欢龙太子
这是我这辈子最好看的动画了
我最喜欢古头了，他是我最喜欢的了。
蚩尤和吃油好像哇，
大家请问这个视频好看吗？
你们觉得梦幻西游好看吗？我觉得很好看。
最喜欢肖遥生，，，，，，
飞燕女和龙太子，剑侠和骨精灵，娥子和虎头怪，英女侠和羽林神。
我喜欢英女侠喜欢她的人点赞！
我在想杀破狼，下次就不能一次性把宝盒的使用说明讲完吗？
梦幻西游之天命之路 第1集 人仙魔三界混战
我的爱早就是骨精灵了，永生不变的
骨精灵和剑侠客，飞燕女和龙太子，消遥生和狐女，
剑侠客好可爱
我又来回忆了一次梦幻西游
最后一点也差不多和这里差不多
天命之战后面如果再来一部！那可能是复活之战吧？
没想到最后剑侠客和骨精灵都死了，还拆了好几对情侣，最后只有逍遥生和那个狐女还有龙太子和飞燕女没有分开，简直悲伤逆流成河。
剑侠客和骨精灵在一起了啊
我已经看了有几遍了，但还是好看
说好的恋西游呢 坑我们四叶草吧！
好帅，好好看！！骨精灵萌萌哒
又来重新看一遍了
好喜欢古精灵哦！她的性子很特别。
照他们这种说法西游记都不用拍了
好看希望有第五季
我喜欢天命之人和各位师父。
巫蛮儿的这几张照片，时在太靓了
天命之战和天命之路是同一部吗？
不好看！去666666
都是一样的牛
剑侠客飞升后功力强了许多
不错，只是广告太长了
第二季第八集超级感动，都看不下去了，边看边哭。他们竟然很多人都……
有没有感觉骨精灵和剑侠客很配。
咋还不出十四集呀！都这么久了。
恋西游好好听 同意点赞
有没有发现剑侠客很像王俊凯？
为啥子骨精灵是蚩尤的人
我觉的巫蛮儿只会冰川怒
牛逼了，这神呀！六6六！
