每集3分48秒，全集6集。哇。。史无前例的大巨作😱😱
😒😒😒直接不想说你 tm辣鸡点就算了 还这么短 主编你也不会是4分钟左右的人吧？ 可伶了你。
强烈要求下架强烈要求下架同意的举手点赞
不好意思哈 你是我见过最短的 我怕会传染给我 在下告辞
这是动漫吗？明明是静漫片，在那里看到是动漫片？说个话连个嘴都懒得动真是服了，编导在这里放小人书啊
国漫有始无终，不知道是经验太少，还是怎么了，日漫虽也有短，但麻雀虽小 ，五脏俱全，有始有终，这一点中国漫画还得向日本学习。我并不是说日本怎么样，怎么样，事实就是这样，我只是实事求是的说出了自己的想法。国漫也不是一无是处，真的好看，融入了中国文化，保守而带有气节，沉稳而带有阳刚，不失国体，而日本二战，战败，又加有明治维新，深受欧美等，西式文化的影响，其动漫绝大部份含有过于开放成分，对孩子的影响很大，使少年早熟，尤其是对中国少年，影响极大，虽然其中也有一些好的日漫，如未闻花名，海贼王，名侦探柯南，火影忍者，等等..........深入人心，所以中国也得学习学习这种成分。
导演时间短，没办法所以动漫也短，把我顶上去让导游看
怎么感觉在看漫画，而不是动漫
看看这个，梦塔。雪迷城
作者大大你好牛逼史上最短漫画👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
恭喜恭喜一根烟看完一部动漫前无古人后无来者，这种博眼球的方法还是不错的。
这是动态漫画，不是动漫，请不要什么都往国漫上推！
有的看就行。有本事你也写个，都会在这瞎比比能。我看挺好的！
这他妈，是动画片啊吗，两分钟就没了，我也是醉了，
国漫都在比谁的短么？你短的天地可鉴。真是首屈一指，别更新了。
不错就是太短
4分钟太长时间了能不能来个1分钟的
这个动漫早就被网易抛弃了，三个月没更新了
妈的，导演是不是脑子被驴踢了，这是预告吧，*********
该像小破孩一样 搞个一分钟不是更好
就是就是，太短了吧！
也是真牛逼啊一个星期就3分钟呵呵了
一共六集，还只有四分钟？而且为啥还是漫画形式的？这是出来闹着玩的吧
没人觉得这就是斗破苍穹的山寨版么
这么短的时间。 阿……妈的想打人。 制片人 厉害
这种垃圾不要再放了，一分钟两分钟，国漫的高度拉下来了好不容易顶上去的，就是被你们这种人搞坏的
就这么一点点，还有一个星期才更新一集，唉。
一动态漫画才4分钟？去头去尾能有两分钟吗？
这是模仿斗破苍穹的我想吐看看斗破苍穹看看这个基本上一模一样
