😏中国，动漫越来越好，就特么时间短的要命
一人之下和武庚纪我感觉最好看，太特么社会了。
有这种好事?得到一身修为，还白捡个老婆。
"想让国漫崛起的方法只有一个那就是………………
把时间延长一点"
有第二部么？我也是醉了，还有什么动漫好看？
国漫的画质和画风越来越好了，国漫崛起指日可待了，力挺国漫。
更新太慢！老铁们说对不对，双击评论666
人工呼吸有抱起来做的？男主摆明了要吃豆腐，还有的地方有些违和，
突然看见一个人在天上飞居然一点都不害怕 能不能来点正常反应
第二季是不能出的了，有生之年都不可能出第二季的了。
推荐中国动漫给大家（双月之城，武庚纪，纳米核心，莽荒纪，黑白无双，勇者大冒险，时空使徒，生死回放，通职者，绝地十日，戒魔人，英雄别闹，雏蜂，爱神巧克力，狠西游，疯味英雄，绝对领域，死灵编码，半面人，从前有坐剑灵山，中国惊奇先生，王牌御史，一人之下，领域，我的天劫女，友，理想禁区，画江湖，银之守墓人，红妖小红娘，全职法师，神契奇幻漳，妖神记，奇游迹，机甲大师，星游记，阿拉德，秦时明月，天行九歌，超神游戏，全职高手 尸兄
这第六集我看了多少遍来着，咋想不起来了
9月20更新第二季 大家不要着急 我们肯定会更新的
哭的我[流泪][流泪]
帅哥美女们已经点赞丑八怪还在犹豫
人之初性本善，作者不更是坏蛋，你不更，我不赞，看你以后怎么办
中国动漫，就是那么坑，一集就几十分钟刨去口头，刨去结尾在刨去口水片段不到20分钟就没了，而且一周一集，放放停停一生你也看不完
没有第二季了，因为男主都说了不会再让沐子受伤害了，所以不用等了
女娲大人好美，不知道是日本漫画家画的还是国内。
还不错，只是有这么傻的男主吗。。。
我给你们介绍几个动漫看看
如果神与人类相爱了，结局往往是一生一灭，在其中一位人快死时，对话是这样的――人:“对不起，我不能陪在你身边了，我要走了，”神:“不，不要离开我，我会救你的，哪怕今生不能，我愿等，等你的下一世，与你相遇，并一直守在你身边，”人:“谢谢”。若那个神是你，你会怎么说？
这部漫画可以😊，希望快出第二季
我一直有个疑惑。三年后混天珠没了？灵儿不是也没了？😂😂😂😂😂
还有爱神巧克力动漫，国产最好看的校园爱情故事
人之初性本善，作者不更是坏蛋，你不更，我不赞，看你以后怎么办
这个傀儡起码秒杀结丹期吧？
从遇见你那一刻起你就主定是我这一生的天劫
马英雄?这名字起的不要太随意
美女诱惑，1集
谁能推荐一个动漫请告诉我好？
更新太慢很容易失去看的耐心，建议更新快点。
好色，我也想吻沐子的胸。
女主好漂亮，真希望我是男主
蛇妖本身不坏之时每当月圆之夜就会漏出本性而已
第二季，快。我们顶上去。
就是，好想看第二集呀
我爱你
难道是3年后再更新下1季
难道国漫就这样了 除去剧头剧尾十多集加起来 还不如一部电影时间长 那么还不如以电影形势出现
什么时候第二季才更新啊，等的花儿都谢了
作者带着他的小姨子跑了，很难有第二季了
天王盖地虎！
狐妖小红娘最好看了，就是更新有点久
好好看，点我上去吧！
老妖怪嘴上那白毛，是鼻毛吗？
各位再见👋 我要去应聘保安了😏
有第二部就好了。你们希望吗？
推荐 我的逆天神器
动漫就是个青年人看的。这样的动漫真的是哎。
有看过漫画的没
感觉好像听到了端木熙的声音了
第二季快点出来，不然小心各位观众小生气，我都快疯了。
马英雄？这名字666
不错，好看呢。值得一看，应该有第二季吧。
尼玛？看正带劲没了？
😍️美女不要太多 太好看了 还有下一季吗？支持哟
喜欢英雄、沐子、如月、灵儿的人就为咱点赞
期待第二季的到来 制作组加油
哈哈😄😄😄为了完成我一直以来一个梦想，实现一次完美耍酷……砰😅
男主角真正夺回是的，iPhone 7。初吻
"喜欢女主的赞一下
😝😝😝"
短小(剧情短)早泄(过早完结)中国动漫通病，哈……哈哈哈哈
第二季需要到2022年才出来的啊。你们能等吗。
人之初性本善，作者不更是坏蛋，你不更，我不赞，看你以后怎么办
求更新出第二部求你了
国漫剧情比现在很多电视剧都要好看几倍，同意我的观点国漫好友顶起。
妈的，这屌丝从一集就直接逆袭了
画质好 但 剧情不好
好想看第二季，，，，，，，，，
搞事情
讨厌那个老大叔，太让人觉得厌恶了
要第二季的赞我
挺好看的，希望第二季可以快点上映
我来推荐一个动漫 《我是江小白》 很好看 看哭了我好几次
😌太夸张了动漫片的人物昨个个都是胸大，男主人有点好色
挺好看的，希望导演出第二季
我看过漫画，我记得好像是男主突然发飙，突破了
""
看过国产结局很好的一部动漫，即使还有第二季😊😊
无论怎样，国漫还是国漫，支持国漫！加油
第六集我太喜欢了……
刚进来久看到&quot;史上最长预告五分钟&quot;这是骗人还是我看错了😂😂😂
太好看了，好喜欢啊，
你们没有看过爱神巧克力的点赞
啧啧啧，字都是错的！
歌名叫My songs know what you Did ln the Dark( Light Em Up) fall out boy
女主什么修为就有心敢渡天劫？难道不知道现代天地灵气都少的可怜？真气？到修真渡劫的时期了吗？还几年修为？几千年修为都不敢说渡劫？幼稚吗？
漫画是我的双修道侣
应该还有第二季，因为，三年之约，还有一句（师兄会为我报仇的）
"又他么骗我当保安
。"
什么时候可以再看到，第二季，第三季……
不错啊，真好，期待第二部
背景音乐是什么歌？求告诉
第二季什么时候出这有半年了吧
第二季会出吗？真的很好看。
""
完结撒花感觉这波狗粮可以有
下季什么时候才播 我好喜欢看啊
还是东方月初好看
