我觉得很好，至少比日漫强，日漫千篇一律都要看吐了
前面两集把后面的都剧透了，后面又来慢慢播回忆录，还一周更新一集。关键一集还没播出个啥，拉进度拉得不要不要的，像老太婆的裹脚布，又臭又长。不看了，不看了
？？？到底谁是主角？到底说的是谁。
论画质超神国漫第一，灵笼第二。
为什么大部分国漫的剧情和逻辑像狗啃了一样——惨目忍睹！！！
那个叫弱鸡的？真恶心，丢下队友逃跑，还有何铭老是救人，末世适者生存，他能丢下队友一次，就能有无数次，这样的人为什么要救，浪费子弹
这几集是不是都是回忆的啊
看到评论，好多没串联起剧情，现给大家整理下现有的剧情。马三可以看到未来，不多做描述。前三集可以放到10集之后观看就明了了。据我推测，第十集后就该正式开始剧情了。这10集主要讲了战斗小队的来源和成立。在末世，马三和何铭是疯狗镇的两名电厂员工，马三应该是被命运选中的人，但他不愿意面对，只到被人陷害被逼迫到这条路上，去抢夺进入安全区的资格卡，但是在资格卡到手之后验证失败...........目前剧情就这么多，有不同理解的可以留言
玩逆战的兄弟 你们看到Z博士了么？
多久回忆完，回到之前剧情多久看，不喜欢拖拖拉拉的剧情
编剧你是没脑子蛮 人物一个个的智商感人
回忆太太太太太长了，到底谁是主角，到底哪条才是主线，倒叙是这么用的吗？
这女的 AK 充了钱 无限子弹
桑吉后面的妹子确定不是冯提莫？
敢去城市，真牛，严肃点不行吗？
我很好奇，这样的片都有7.7分？ 难道是我手机坏了？
这动漫干脆叫末日之回忆录好了多简单啊
其实手指陀螺就是真正的身份卡
蛮喜欢丧尸类的电影或者动漫的，像白小飞一直加强主角就不好了
虽然这么多集都是演马三，但始终感觉小海才是主角，这里面到底谁是主角啊
演的太假，拿金表的那个怎么不死啊，这么多追他怎么没追死啊太假啦。一看到他就烦都什么跟什么，还用金表干嘛。他拿金表卖给谁啊？
真正好看的也就是前三集，小海当男主，本来期待着先围绕着安全区扩展剧情，蓝发妹子在内，小海在外，某天重逢，然后开始丧尸末日求生，结果这什么玩意儿。。。全快进看的，麻烦下次男主年轻一点，看个大叔转来转去。
抢金表那块的情节设计完全不能理解，停车熄火？就算再傻的人，在这种环境下你下车前不得保证车辆是启动状态！就这种智商的人设不应该是出场就挂掉！
加油呀！好看到爆了，加油更新，国漫越来越好看了。
我希望开车的是主角，女主是蓝发小姐姐
啥？我看到了啥？～丧尸为啥不是吃人？为啥搞得这么玄幻，还吸人精气，这个你确定是美国的丧尸，而不是中国的僵尸？哈哈～中国给改良了，但是也不像中国的僵尸呀！
哈哈哈，我哥公司制作的，我来凑个热闹
主角是谁是马三点赞是小海打1
很不明白搞几个外国人角色干啥，明明是在中国，看着好反感
突然觉得这个动漫蛮好看的，国漫的崛起之路?
这种 如果出这样的生存游戏 保证火！
主角可以再帅一丢丢的，
目测特效画质是国内最好的动漫作品之一了
你们看这个男孩还是女孩呀？我是女的.回我一下呗
又停更了真是看一个停一个
回忆就算了，还回忆个十来集，凑集数的吧
说是回忆的，你们真的认真看了么?前面马三就说了我梦到你死了.懂么，这不是回忆，前面几集演的只是马三的梦，现在才是开始，马三是拥有预知未来的能力这后面还用我说?
如果我把这部动画写成小说会不会侵犯版权？
我也觉的自己也有马三的功能
你门觉得平时你遇到危险，会跑得慢得要死要死得吗
中国动漫就是在一群无脑喷子的叫嚣中艰难前行的
好评都是刷的吧，这部片完全是把观众的智商按在地上摩擦
人类的平均智商被这动画片拉低了百分之十
导演，末世二十六集的剧情，一半多都算是回忆了！你给我们看的就是他们之前的回忆？难道你在现实中危险的情况下能把回忆说这么长时间？那我估计你要被干的渣渣都不剩了！这样的先吊人胃口再从头倒叙可真佩服。
？？？到底谁是主角？到底说的是谁。
国产的不管什么剧，啥都愿意认真就是对剧情人物的智商不认真
什么时候国漫播放时间有半个钟以上那就是一个突破，唉
看不懂，这剧本！！我就看到了两个字，黑暗，混乱，绝望
唉，现在的动漫，电视剧。一集分成好几集，想💰想疯了吧！如果以前的西游记，三国也一集分解掉，一天一集也得演个几年
末世觉醒之马三回忆录😂
你这一个人以前故事讲了一大半，我气的跳过，你快点更新不要他以前故事了讲现在的现在的
怪不得评分这么低，原来好多人看不懂啊。我觉得这个是神剧啊。你们不懂动画制作人的辛苦，这个效果配音细节不逊色于生化危机。
更新的太慢了。能不能快点更新啊
你们要的小老婆 我给你们截下来了😂
主角到底是马三还是小海啊？看了这么久没看懂啊！
画面做的不错。第一集看了一点就看不下去了。末世法则:谨慎 粗心大意的第一波就死了。看画面末世都发生好久了。看了开头就关了，我不知道你们是怎么看到后面去的。
整体效果上还不错，就是剧情上还有些bug，逻辑太弱，剧情有些牵强
你们不觉得拿金表被追的一段好尴尬吗，这状态的能活到现在？
太假了，遇到丧尸，三上车关个车门要几秒
智力超高的主角呢，等了一集又一集都没出现
为啥一群中国人做的动漫场景啥的也是中国风 哪里冒出来的一群外国面孔？
让我猜一下，这集应该是被和谐过了所以短了几分钟，可能就是铁渣被刀割脸那一段，就跟之前僵尸吃人被改为吸人精气一样，不和谐放不出来
动漫虽然好，但是走了国漫的老路，一集10几20分钟掐头去尾唉没法说
废话多就算了，以这种废话加更新，估计真的可以更到世界末日了
那么话说回来，主角到底是那个小伙子还是这个马三
动漫做的很好，题材也不错，CG技术棒棒的，我很喜欢。
给这部片子的工作人员点赞 。国产动漫进步了
小海呢 这不是回忆断吗？ 怎么那么多集还不完
谁家的丧尸是走去咬人的
现在出来了七八集，从整个节奏看，编剧能力不止在线，而且还下了盘大棋，没看懂的人，沉下来，这个社会快消品快节奏已经让快你失去思考的能力了，这么十几分钟你还要图快？
主角是谁？是马三还是那个开车的
弹幕里有些人我也是服了，这不是回忆，这是倒叙好吧
开场动画手枪慢镜头退一次壳出现3次火光，军盲。
做这动画的肯定心里有毛病，把人物眼神画的跟个死人眼是的
人物丑到 就算剧情很好 但是真的丑到我了 see go by
作者是不是嗝屁了，所有没有更新
真的，一个4天前，演你妈6集
感觉都少了根筋，反应迟钝，没脑子
以为铁渣是个王者 结果是个青铜 开局送一血
特效还不如游戏宣传视频
挺好看的，画质配音都不错，情节也很连贯，说不好的人一定是没看过国产丧尸神剧
意外的剧情超好看啊，就是更新太慢了，有没有小说？漫画之类的？？
感觉好恶心的动漫，夸张的没边没际的肢体表现，语言表达的挺有军事专业的，表现起来不如普通人，笑了
这么几集 看什么 没搞头 吊胃口 制作人想圈钱想疯了吧 弄好在发啊 搞得丢人现眼的
什么情况，2周了，不更新，说一声哈
说是第一集假的。你能不能看的时候用点心。那么大的字写着。四天前。还假的 不要装的自己很懂
被抢了！！沙发😂😂😂
不愧是国产动漫开始耽误两分结尾耽误两分
国产动漫编不下去就大结局，看的一些动漫没头没尾的
一个礼拜只能看几分钟？等你结局了 我孙子都60岁了吧
跟尸兄完全不是一个量级的
最近国产都很不错，又是丧尸题材，结果这剧情。。。。还是给小孩子看吧
国产动漫牛逼了。。。。
刚开始出现四天前的时候还以为后来的是回忆 但后来马三的说他总是看见和鸣死了 这也印证了开始出现的 我感觉后续剧情就是 马三有预知的能力了 从而避免各种事情的发生 而这也从马三和铁渣在电厂打架预感到铁渣怎么出拳从而避免了
三个月也没讲出啥东西
拍的啥也不是 也不知道咋想的
可以说就看前面几集就可以了！从飞机那就没必要再看了！
"还有这到底是丧尸还是鬼，或者是灵魂呐。
导演到底是怎么做的？这根本就不太相信时吧。
感染者应该是被咬的，怎么是吸灵魂的感觉呢？"
翎可能是女主啊，小海为男主！
服了，能不放回忆吗，更新时间又短，都没啥兴趣看
