是不是该出一个怦然心动呀，出了之后我保证你播放率暴涨
他们俩不是亲生的吗？？感觉有爱情故事
靠，我想问哪些说国语配音难听的什么意思？不喜欢别听啊，有必要一直刷吗？配音演员们辛辛苦苦配你们就这样喷人家，有本事你来配啊？虽然我不是这里面配音演员的粉丝，但是还是看不惯没素质的人这样说人家，有毒吧，能不能设身处地替别人想想吗？
我告诉你们一个好玩的东西，右上角那个小手特别好玩，按一下变红色，再按一下变灰色
大家好，我是快把我哥带走总导演，幽灵。感谢大家支持，谢谢。如果赞超过一万，将每星期出两集。
还是动漫版看的舒服一些，剧场版总会联想实际，就觉得有些场景太浮夸！
这个哥哥好像是个受，嘎嘎
果然真人版的就是没有动漫版的好看！！！
哼，看这校服就知道是国漫了ಥ_ಥ
谁跟我一样早就看过，出电视剧又来看的
妈呀，边江大大让十分变帅了
这个哥哥也是够了，这妹妹能活这么大也是不容易
配音很不错，特别是男主配音，不知是谁配的？
还是动漫的好看。真人版的演员没有选好就就毁了金典的漫画。
一集不到4分钟，开头46秒末尾6秒总共还有3分钟。一共36集总共108分钟等于一个小时多点，二个小时不到。我居然要等九个月将近一年。
妹妹把饭卡借给哥哥，哥哥把饭卡借给激友，激友又拿借来的饭卡请妹妹吃饭，妹妹又稀饭上了哥哥的激友，最后发现自己的梦中情人居然是哥哥的梦中情人，瞬间觉得生无可恋有木有
动漫好看，还是电视剧好看。
这里是一枚原著党！加油加油加油！超喜欢漫画的嘿嘿。
跪求万幸的配音演员，啊啊啊啊声优都是怪物！糟糕啊，是心动的感觉！！
这动漫真厉害，感觉跟灌南高手差不多
喜欢中文的某些翻译。只能说中国文学博大精深。到配音还是觉得要加油
超级喜欢妹妹，太可爱啦
我真的觉得动画版的比真人的好看，要搞笑一些而且我真的不喜欢真人版的女主啊！不是针对她的人，是角色，真的喜欢不起来
爱看斗罗大陆，点个赞
我小的时候就经常想要一个妹妹的！但是看了这个后就不想要了！如果温柔一点还是可以的！但像这样子的妹妹不敢要了！是男人就给个赞！
觉得突然十万个冷笑话弱爆了。
就爱边江大大的配音，喜欢
觉得哥哥在这个漫画里最帅的。举爪
不知道真人版的怎么样
还是动漫的好看 耶耶耶
是不是也应该弄一个《甜美的咬痕》和《恋是樱草色》呀
开心哥的初吻下线了，时秒估计会把时分叠起来吧
所以。。。。。为什么有些人才一直在说中文配音配得不好。。。而且还要在一直强调说中文听着不习惯，中文配得不好什么什么的。。。听日语听习惯了就去看日本动漫。。走好不送
看了好几遍了。太搞笑了。。。。
更新啦，我是会员我骄傲！就是为了看国漫才充的，值得！
刚刚我正在看这个然后我哥过来说这个叫什么，然后我就说了这个名字，我哥说你就这么嫌弃我吗？。。。当时我也就勉为其难的嗯了一句
这是我看过的时间最短的动漫。。。。
边大在一个几分钟的泡面番里说的话比魔道祖师这么多集都多
边江的声音真的好听
希望真人版长一点，30分钟就行。
什么时候出怦然心动的啊！好期待
和电视剧一模一样
没真人版好看。。。。
真的好想知道是谁给时分时秒配的音啊！！！ 好好听的声音啊！！！！
你们有没有一种感觉？哥哥被妹妹打的时候超级开心
呵呵！还可以比电视剧好看多了。
电视剧版的出来了，感觉不咋地
三 三 三分钟。 好吧这么好看的份上！三分钟。 也行。吧....
每周一集，一集正片不到两分钟，，，，
搞笑那，一分的开头一分的结尾，就剩一分钟内容了
我还是期待电影毕竟档次不一样那个电视看了一两集就不想看了可能对男女主不熟感觉演的尴尬
我发现了一个bug，时分把辣条油溅到老师的右眼镜上，而老师擦的是左眼（注意老师擦的时候是翻过来的）
初吻。 哇塞。时分好暴力 夺走开心初吻。这要是让时秒知道。不得揍死
觉得比电视剧好看多了…
时分就是边江大大配音啊啊
我懂了，万岁喜欢时秒，时秒喜欢开心
话说这动漫一集也太少了吧，去掉片头片尾曲，就没啦
我以为7分钟是最短的，没想到这
"边江大大配音哦
，边大大的声音超好听"
时分的配音是边江大大，就是魔道祖师里的蓝忘机
这个动漫是日本的还是中国的？
我要笑死在这里，辣条，，虾条，泡面，上课偷偷摸摸干过的举手！！
红润的脸，荡漾的眼，这台词没谁了
看了好多次～感觉和我哥一样……感觉在看我和我哥的生活回放的绝版……
原来不分季啊，我一直在找第二季
对了！你们知道吗？刚刚我正在看这个然后我哥过来说这个叫什么，然后我就说了这个名字，我哥说你就这么嫌弃我吗？。。。当时我也就勉为其难的嗯了一句
这个比真人版的好看多了，虽然几分钟但是会让人笑一整天
我本以为妖神记，万界仙踪就算短的了，没想到这更短。才3分钟
不是我吹，这个进度条出一千集我能都一晚上看完
跟我一样看过漫画又来看动漫的有多少
这哥哥有点贱啊，哈哈哈
你是不是也和我一样，孤独的看着评论，看到我这个评论，就好比外俩现在是朋友一般，未曾见面，却一样孤独，为我们的友谊干杯。
这导演有坑吧，时秒喜欢那个“小混混”
时分真是厉害了…这吃零食也是棒棒的…和开心…你们就在一起吧……都怎么逗死人不偿命
这为啥会有日语版？因为看动漫听日语有感觉吗
哇塞塞 万岁谢谢你 这个APP好好用啊 多亏了这个 真好 （噗嗤哈哈哈哈哈哈哈哈）
他妹电风扇往那吹
要是我妹妹还在就好了！好想她！好想每天惹怒她然后又哄开心她，好想每天和她抢好吃的，好想每天和她吵个不停！哎。
我想请问哈，漫画在哪里看的
"东方月初配音阿杰
白月初配音杨天翔
颜如玉配音边江
时分配音边江！！！"
还是漫画和动漫好看，就算有真人版也赶不上
不小心往前划了一下就。。。就进入广告了
动漫真人换着看，哈哈哈哈
突然发现时秒的武术和小兰的空手道有的一拼，至于双方的受害者吗嘿嘿嘿
万岁今天也仍在普通人的道路上努力着≧▽≦
中文版的妹妹配音是谁？求告知
看过动漫版的，情节很好看，特别是小的时候兄妹为了让离异的妈妈回来，两兄妹合意让妈妈最喜欢的时秒感冒生病。那一节真的好感动！
"时秒:哥，你落东西了！
时分:没啊！我书包在这呢！
时秒:你落下我了，你把我落下了！"
啊 我居然觉得电视剧版的比较好看！
不是骨科，是兄妹情！
根本不够看呀 呜呜呜呜在多出点嘛。第一部喜欢的动漫 以前从来都不看的
谁喜欢航海王的，点赞！
刚看了真人版的，差点吐了。
这是国漫还是日漫？？？
其实这个哥哥死过很多次了每次都复活
一集3分钟 中国动漫 我也只能呵呵了
我2个小时就把更新的22集看完了，可知这一集有多短啊。。。。
我想他们的妈妈应该叫时钟
电视剧和动漫没什么可比性吧，两种形式都各有优点阿，动漫就是没有改人设，一如既往的搞笑，电视剧的重点是在一个个故事里揭示某些道理，然后再掺一些搞笑的成分进去。如果照评论里某些人一直在比较动漫和电视剧的搞笑程度，那么请问，为什么要在漫画过后再出一个动漫，然后再出一个电视剧呢？不同的形式都能给观众不同的体会，就像我看电视剧下面的评论，大家也会说很赞同电视剧中揭示的道理。两种表现形式实在没什么可比性。
。。万岁和开心就该被砍死，FFF团报个到
