重温的有木有 举个爪子
人称菊花信，拿长枪捅屁股
我坑到队友叫我在早丛里当视眼用了。
我记得我就是因为这部动画开始玩lol的
表情真僵硬 ！！！配音真恶心
回来回忆一下，感慨万千！多少个版本变迁
又是一段回忆 哎 时间过得真快
这三个是来搞笑的吧！哈哈哈哈哈哈，同意的请点赞
个人感觉不错，也希望大家也来观看[微笑][微笑][微笑]，大家点个赞
重温一遍原版英雄联盟动画，时间过得很快
2018年4月30日来到这里怀念青春。。现在快上高中都没空玩了，抱歉联盟
现在回头看。突然觉得以前开黑好快乐。
女警和游戏里不一样
雷瑟守备有没有一起玩的
有人看斗罗大陆或者是爱神巧克力
值得重温，比超神学院好看多了
这个比超神学院好看太多了
你是要做一辈子的懦夫，还是只有五秒的真男人，这就是我的英雄之道。
好好看，阿狸和悟空分开差点看哭了
时间过得真快 ，以前快乐的时光不会回来了
多久更新三十一集啊求赞
还是这个看的经典比雄兵连经典多了
重温一遍
哈哈哈，再看一遍吧！今天弃坑
回头看，不曾走远～今生无悔入英雄
马德 这一集把我看哭了
时隔四年，我又来了，啦啦啦德玛西亚！
说配音和画质的麻烦看看这是多少年出的了？
好感动。谁玩王者荣耀
什么垃圾分这么高
20180510好久没玩了来回味回味
满满的回忆啊……想当年的雷电法王可是神一般的存在
周杰伦好屌
纪念曾经的AP剑圣，英雄联盟
这跟雄兵连差的可不是一两条街的事啊！
看谁评论的晚，从头看
唉 回忆啊 很久没看过了 好怀恋
很好看，支持啦啦啦德玛西亚
玩了5年了撸啊撸，好几年前就看了，回头来看下
哎，满满的都是回忆，当年的撸友们都各奔东西了
""
告诉我的兄弟，我，不回去了
以前的简单，好玩，现在超神学院脑洞太大，
我也记不清是好多年前看过这个了，我记得是英雄联盟才火的时候！那时候那时候开黑很快乐！
我都看了多少年了，，，，
与斗战神有一拼
这片子我看了好几遍了，今天又来看了，哈哈
号无缘无故疯了三年回不去了
我追超神学院已经有几年了
封面的那个女的好污
啦啦啦德玛西亚的电影雄兵连我看了
这三哥们好丢好牛好傻
阿狸真性感同意的赞一下
永远支持啦啦啦德玛西亚
2019年有没有来重温的，有的举个手
瑞文不是诺克萨斯的吗，则么是艾欧尼亚的
葛薇永恒
追了好多年了，表示系列全看过，很怀念
"Ojii’gckhgdytk,iggkyuvmjgu"
哭了
封面是黑甲，黑甲，黑甲
最后看到猴子和狐狸分别时，居然哭了。
银河以北吾彦最美。。。。
喜欢里面的女生
又是一段回忆回不去了
垔箅带一黄梅安衔戏剧院 安徾戏剧院．，
"希望能
出第四季 很好看不错"
有一集是js跟天兵天将对骂是那一部？
大家好，我来自安徽宿州今年38岁。想在这寻找，有缘人。
再一次从头开始看，，，，，
哈哈。我的小耗子
5秒真男人
怎么看都看不腻
第一次看，高中我是好孩子！
2013年出来的小动漫那时的我还在读初中 每周都等他更新和去网吧玩游戏。
百看不厌
317强势入驻德玛西亚
这几个都比真搞笑，太好晓
载着我满满的记忆啊，想起刚玩的时候坑的……
盖伦特么挺牛逼的，爱赵信
话说，这动漫关吴京什么2事？为什么2要说吴京？求解
真不容易啊
我也是哈哈哈太好看了
我追了超神学院5年了
"想知道
封面是哪一集"
表白封面凉薇！表白女王大人的表白
真的很怀念AP剑圣，可惜回不去了
这尼玛多少年前都看过了
空调房子里呢我要回家
一点寒芒先到，随后枪出如龙
还是喜欢英雄联盟的人
看了好几遍了，看一次就想哭，就是哭不出来
7和8是一样的吗？
最后我居然看到了琴女？。。
太搞笑了吧
为毛蛮王只有五秒真男人
这部作品也是没毛病了。
好看 没有更好看的了
这配音和我看的别版本真是绝了。
肖家宴，？？！！？？！
