现在在看茶啊二中的你，你的同桌你的老友还好吗？
支持茶啊二中拍大电影！顶我上去
今天我生日啊 没人陪我💔
6月1号也是我的生日，和猴哥一天，希望大家能祝我生日快乐！
喜欢王强和刘若琳在一起，被他俩猝不及防虐了一嘴狗粮
我感觉沈思琪确实有血轮眼，因为头发遮住一只眼睛，就是怕杀死人
第四季眼看要播完了。请问还有下一季吗？
支持茶啊二中！
王强唱的歌好好听，什么名？
这个英语老师虽然很严格，但是她对自己的学生很好，这个老师和我的英语老师一样很严，严到晚自习过吧还在教我们，我的英语成绩很不好从就没及格过是我的英语老师让我从不及格提升到130多，老师暑假分加强班你有可能在也教不了我，老师“谢谢你我们班每个学生你都很用心的教而我们还埋怨你”老师谢谢你，英语我们班都是第一这都是你的努力，暑假过后希望你还能教我
不能人家的孩子优秀就跑去给别人家孩子当爸妈，这一句真是看哭了😐
看久了我有点受不了，最后的歌，有点伤感
不知不觉已经过去了四年了，当年一起追梦的少年，你们还好吗……🤗
好感人我都哭了。我觉得王强他们也不是有意的史老师也是为他们好
突然觉得王强好帅！！！
刘若琳到底是喜欢强还是猴。。
这季水平很高，点赞！！
今年我也要上初三了，上面再也没有人了，我们变成校园里的老大了，不知道为什么，挺伤感的，我们中有一部分人去技校了，然后我玩了两年，成绩不怎么样了，突然好后悔，为什么前两年没好好学，我想祝我们七十四中2018年9年6班的都有好前途，都别忘了大家，走了也要常回学校看看！
我们终究没有变成梦想成为的人，却渐渐变成曾经讨厌的人
永远爱茶啊二中希望出第五季。
哈哈，那个人好搞笑！
美好的时光总是短暂的，时光一去不复反，好想念以前老同学，还有老师，😧好想再回到以前，可是……😧😧现在我以经上初二了，回不到以前了。
老师是大连王博文老湿
喜欢，这个动画片的顶我，我看看有多少人和我一样
"我是班长，我带头扔纸条。那时候真的欢乐。
老同学们，你们都还好吗"
一季比一季好，一集比一集好看
喜欢王强的举个手！！！！！
你们觉得是计量帅，还是王强帅，还是高伟帅，还是马泽平帅，还是贾淳帅
一直知道要走 才不敢有羁绊
王强写的歌叫啥？哈哈哈，这小子太有才了
说实话越来越牛逼了。一部一部看过来感触很大！加油！
第四集王强的歌，《青涩的青春》
这我喜欢玩，可惜现在没人一起玩了
这又让我想起了那年高中时候，一帮学长砸食堂的场面
我的喜欢这部动画片，愿他越来越好，好多回忆
真心喜欢这个动漫。越来越好看了，从第一季一直在追。
半夜看这集，有点怕😂😂😂
最感动的一集😭我一男的都感动的不要不要的
金建华，真贱，娘娘腔。
现在回头看看这些动漫还挺感人的，都有点精神
感觉这一季比前3级故事内容都好
这好看吗？好看点亮红❤️
希望茶啊二中，永远也不会有剧终的那天，时光不老，我们不散
江应怜❤狄淇儿
告诉你们一个秘密，你们有没有发现右下角有一个大姆指，如果你很丑的话，他就是白色的，如果你很帅的话，他就会害羞变成红色喔[坏笑]
希望你们能出大电影 支持
从第一季追追到现在，，希望你们永远不要完结，我们永远支持你们，加油
挺好看的就是不知道为什么火不起来
给妈妈打电话时，感动了，我也想我的妈妈了，
知道后来才知道，你和我并不顺路
主创大兄弟们。 你们敢不敢画一辈子 跪谢了
王强和刘若琳是一对儿的点赞
这一季应该是最后一季了。可惜
好看，为什么人这么少？
很喜欢茶啊二中，我喜欢
国漫良心制作。搞笑而不低俗。每一集的都没槽点。又正能量满满。
我感觉这一集很好看啊
有第五季的给我点个赞
任务点个赞呗
支持茶啊二中拍大电影！顶我上去
王强唱的什么歌，很好听
觉得刘若琳漂亮的就点赞
王强唱的好好听啊！
"我哭了 让我看到了多年前自己的的身影
感谢茶啊二中"
国漫觉醒，茶啊二中各种细节做的很好。剧情更好
你们都是几年级？ 来说一下
马泽平这孩是不是有肠炎
讨厌茶啊二中 每次都弄得一直打大男人泪眼婆娑
差评！必须差评！你让我回想起当初叛逆时期的日子！必须差评！
最后一首歌是啥？是啥是啥？
初中是人生最懵懂无知的时候。欢乐的时候，致青春
2018级 初三要毕业了
能不能让高伟回来！！！！
妈哟 最后假人一转头吓死我了
唱歌特别好听。
有点羡慕王强和刘若琳的爱情💏
茶啊二中太好看了，希望能一直做下去，我们会支持你们的
加油，很好看，二中一定会火的
求官方在第五季把高伟召回，有情人终成眷属
更新太慢了，要是每晚更新一集就好了
粗话连篇，少儿不宜。
我也叫王强，而且这个王强和我性格差不多啊😄
哎，校园时光啊！希望一直播下去
就有金建军这种人真特么烦人
看完最后一集心里难受了很久，我曾是里面的沉思琪，可惜当初我错过的高伟再也没有回来过，心里木木的，真部动漫真的很好
我们学校还好，老师也跟我们一起打饭，校长也经常在食堂吃。
对了谁知道王强唱的啥歌
这一幕直到结束都没看见 下一季希望高伟沈思琪的戏份多一点
王强太帅了
这才叫好动画片，电视上播的都是什么玩意
我也是在初二三班不过下半年我就辍学了，现在感觉好后悔。彰武
特此喜欢看，永远支持
第三集黑体育老师的太狠了点
第四集中，王强唱的那首歌的名字是什么？
曾经的表格，大大的零分，就为了报复一下！这是真的！
每集必追国漫雄起。。。
为什么第一集不让看了
来个大电影吧……一次看个够
认为好看的点个赞 谢谢啦^_^
艾斯坦的配音咋这声音呢
