韩国有个真人版的，一共七集，一集一个帅哥
抱着周棋洛吃着薯片躺在床上看kis kis 我的男友是薄荷糖 表示不服憋着
有种恋与制作人的感觉
难道只有我一个人觉得这像恋与制作人吗
这部动画太好看了
真的很甜啊，这杯狗粮老夫先干为敬了！
我买了一个西瓜口味的
我貌似明白了，这个类似动漫的动漫是来推销产品的。。。呃就是这些糖。。感觉自己真相了。。。
又想骗我买薄荷糖
边江大大，阿杰大大(◦˙▽˙◦)
看了配音表，杰大原来有配啊，我就知道，有边大在杰大肯定也在
为什么没有人，很不错的国漫，崛起了
为什么有种看到周棋洛的感觉Ծ‸Ծ
喜欢水蜜桃系男孩纸 😍😍😍
女主到底被亲了多少次了？还是葡萄夺走了她的初吻？吻不是真身了！
我估计这个动漫一共只有四集
动画版的恋与制作人!
这个kiss kiss还更新不更新了？我都等了好长时间了，都过去了一共就四级吧
。。。这是我和四个野男人的翻版吗？可怕
喜欢柠檬味欸 表白小哥哥
最喜欢薄荷糖的小哥哥
我喜欢这个音乐，这个片演的非常好看。
一个女的，四个男的喜欢。都是男神。
感觉我在皇宫当巨巨很好看，这个人物还不够很帅
太短了，看不够，如果一个故事翻译成一本小说效果可能会更好
我都买了那么多糖了啥时候给我发对象！
梦醒了，什么也都没有了又回到了原点，最后，还是一个人
感觉这个粉毛的声音很像……杰大
这是不是单纯的薄荷糖的推广啊，我完全没看懂啊，这故事和薄荷糖有什么关系啊，为什么她亲完后薄荷糖就不见了啊，这设计有问题吧
好像有恋与制作人的感觉
这个蒙斯特有我家洛洛一半可爱了，必须粉！
你们难道不觉得这4个男主似曾相识吗？恋与制作人里面的
这简直就是恋与制作人
"恋与制作人第一个应该是李泽言吧
第二个是周琪洛"
集数好少呀！真想多看几集！
我也好想这样的爱情，可是喜欢的人是六年级的彭煜。
这么短的吗，我还以为我看了一个宣传片……
最后一集，女主吃了全部.....然后就这样，那样了
这个音乐搜不到，好想听 😭
5分钟 你确定 来搞笑的
喜欢第二集的柠檬，看起来好暖哦⊙∀⊙！
却实有些像恋与制作人，可那群野男人还没有这么神经过吧？(≖_≖ )或许这就是部动漫的特点吧╮(︶﹏︶)╭
各位，有看懂的吗？各位，又看懂的吗？为了凑字数😂
最关键的是有杰大，跟边大
这女主绿了一片男主~
边江大大应该配音蒙斯特(虽然叮当也配的很好😝)
好好看，一下子想到恋与制作人，希望能多点时间
我记得超市里有卖这种糖的
黑加仑味
为了推广产品做的动漫吧？
第一集配音是边江大大!!!
可可糖了解一下，我游戏外号也是糖糖，甜到忧殇
动漫是广告吗哈哈哈哈哈
超市里有卖KisKis的
薄荷糖成精的故事吧😂
这不就是恋与制作人的吗？，
太少了，能长点吧！我支持国漫
有点像《恋与制作人》的画风，甜暖
不敢相信居然是国漫，画风好像日漫，不过也太短了才5分钟
主题曲好听！！！喜欢柠檬那个男孩
不是说男友是薄荷糖吗？为没出来？这个有点像恋与制作人
模仿恋与制作人，真的
一脸懵的进来，一脸懵的出去。
表示来听边江和阿杰大大的
原谅我把四个男的想成三攻一受了，嘻嘻
有才啊，薄荷糖都出动漫了，先别谈几集啊
为了杰大！！！！为了边江！！！！
这个简直就是一款游戏的翻版
赛伦配音是边江大大，阿杰大大没配音
看不够，不够看，好糟心，糟心啊！
表示家里有个荔枝味的.....
這真的不是戀與制作人嗎😂
有钱人的世界我不懂，去游乐园，只顾着有没有人陪自己玩，却完全不顾及自己的钱包有没有准备好
柠檬🍋口味的敲鸡好次，小哥哥也很帅！！
都没看懂，那个女的最后跟谁在一起了
啊，感觉每集之间的剧情都衔接不上呢？每个男主都出现的莫名其妙，但画风和主题曲很棒呢！
好看，但是好少。。。，，，
"声优阵容
这么厉害的嘛"
我们小区楼下的超市里好像有买这种糖的
喜欢，就是太短了。。
就一集啊天！为啥天呐！
这配音好熟悉啊！是边江大大吗？
拜托这也太短了吧，说几句话就完了
是一个女孩儿超幸运的。一次四个帅哥
小连杀，边江🌚嗯，合口味
就是推广那个糖的，嗯，让人们想买
完啦，怎么那么短啊？刚看就完事了
虽然有点少，不过作者大大辛苦啦，加油(ง •̀_•́)ง
求歌名🙏🙏哪位好心人知道，请评论一下。
好看，每个男主都很帅呢
完美男神我不挑随便给我一只就行有一点不要消失
同是一个制作公司，帝王攻略和这个一比就有差别了，这个看这比帝王好啊
我以为她男友叫薄荷糖，原来真的是薄荷糖
推荐大家去看，兄弟战争！比这好看喔！
阿！边江大大阿！！！打call
希望有更多集，每集都有25分钟以上
好像恋与制作人呀！
这个真的治愈/可爱哎!
可怜的我连糖都吃不起
好莫明其妙的看了四集哦😂
