是我喜欢的那种可爱风，😂蹦跶蹦跶，萌屎我了，就这种小小的最可爱不过了
这就意味着我们吃了红豆豆沙冰剩下的红豆被回收了然后又加到红豆奶茶里的意思？所以这是一部反应食品安全卫生，暗讽无良商家为了利益枉顾顾客的健康的一部片子了！（完了，快来个人阻止一下我野马脱缰一般的思维！(&quot;▔□▔)）
可能是因为小红豆太活泼了，所以别人都不舍得吃掉它
辛苦课屁
为什么重刷时就看不到自己之前的弹幕了……
好可爱呀，好萌，这么乐观是为哪般，上班就为了被吃掉，好有使命感
太萌了，追定了！嘘，上班不要讲话！
"所以说,你们是喜欢声音超级好听，一听就酥的但长相一般的，还是声音超级难听，变音都拯救不了但长得帅或者漂亮的咧？！"
小小的这种，可爱风，超级喜欢这种的😂少女心
这个真的可爱炸了啊，红小豆的配音炒鸡可爱*^o^*
这只小红豆也太可爱了
第八集最后一点那个长得特别好看的红豆君 声音超级好听！！！！
好可爱呀，好萌，这么乐观是为哪般，上班就为了被吃掉，好有使命感
被吃掉，好痛苦啊！它们怎么怎么这么向往😨😨怕怕ing
其实我很想问这个尾声的时候那些字是什么字体
自从给崽看了以后，现在每天都要哼着看小红豆，边看边学配音
会火，请把封面换好看点。点进来看了就会喜欢类型
超阔耐啊啊啊啊啊啊啊啊啊！！ 都舍不得再次红豆啦！ ☆*:.｡. o(≧▽≦)o .｡.:*☆
豆是浮云！！！赞我！！666
搞得我看一次就想喝一次珍珠红豆奶茶✌✌
哈哈哈哈哈，每天上班的理想就是被吃掉。好搞笑，声音挺萌的。蛮好的
大家好，我是空间来的朋友。红小豆好可爱啊啊啊啊啊啊啊啊啊据说配音是男孩子???
小孩子看了还敢吃红豆吗 😂️😂️
总算更新了，这部片子都萌死我了。
萌…超级萌。觉得萌的点赞👍
这个定会火，先占个楼
莫名感觉好治愈呐～卡哇伊
这么可爱的小红豆为什么不火，不科学！真的超喜欢，助攻999+
很萌，但感觉被吃掉又很心凉
那个像青瓜一样的调酒师说的是潮汕话么？还是客家话?
好可爱啊！不过好短😂
小红豆居然吃红豆？👿
哈哈哈哈😂，不是说没钱做下去了吗？制造缺钱了吗？
正在吃红豆雪糕的我表示……emmm……红小豆，你的愿望我替你实现
表示听不懂一些语言啊啊
这个也太好看了吧 萌翻
哈哈哈哈哈哈 这个动漫真的炒鸡可爱啊啊啊啊啊啊啊啊啊啊
小小的，表情也太萌了“今天也努力要被吃掉”哈哈，声音也好可爱
能活不好吗？
好可爱！第一次这么喜欢国漫！以前都是看日漫的，哇超级可爱啊好喜欢
这个电视很好看没看过的可以看
我居然看完了，，，，我的天
你长的这么可爱，我怎么舍得吃你呢？
完了，红豆又涨价了。
感觉和（刺客五六七）一样搞笑〜(￣▽￣〜) 连配音说的方言都一样😄
好可爱啊，萌死了好吧
好萌☺️
支持，，，，，，，，，
可以的，挺萌的配音。。
居然在评论看到我和男朋友用过的头像不止一个人😂
第八话的那颗红豆配音好好听诶
天寿啊，红豆吃红豆了
呵呵呵人之初性本善红小豆呀好可爱
哈哈小屁屁好有弹性
真的真的真的超级可爱哎！好甜💝
太特么可爱了。哈哈哈，评分居然 没上8！
你们这群人都不用回复吗？
最后的二毛是小哥哥的声音哎
第一次看，太可爱了吧，作者什么时候更啊！太q了
哈哈哈哈，很搞笑，这泡面番应该要火的
日常签到，加油！等你下周更新
沙发算什么，快把朕的龙椅搬来。
红小豆太可爱了，所以舍不得吃它
这不是动画片吗，怎么在动漫
我要跟朱恒学表白，为你打call ，猥琐大叔的外表却有温柔磁性的嗓音，苏到我了哈哈😄！
萌的老夫口吐鲜血……
估计我的前女友可能会喜欢看
怎么就没了！嘤嘤嘤(ಥ_ಥ)等刺客伍六七途中发现的，要是有几百集就好了
好看，超级萌，爱死小红豆了，而且声音更萌萌哒
为啥这红豆儿每次都能完美的躲避被吃啊？😂😂😂😂
片头音乐是什么啊 好喜欢
超级好看的超可爱就是太短小了
好可爱，好喜欢，支持你们。
红包雨爸红的众人拾柴火焰高久没办法啊我吃饭吧我暂定要去的人拾柴火焰高爸妈妈咪，
还是一样可爱啊！！！好评！
好可爱啊……老夫的少女心爆棚
"也不是很好看嘛
我才看了300遍"
好看，希望继续跟很好看
这告诉我们喝奶茶时不要搅拌，红豆会累😂😂😂
女孩子一定不会忘记我们之间发生地震灾区人民广场地铁站A出口所发生地震发生地震灾区
妈耶哇呀呀呀😄童真吗？
萌到犯规呀 创意也不错 还是一颗努力向上积极的红豆
很有意思啊 怎么没人
好看好看好看唉00000
那个大叔的声音好苏啊～～
"有类似这样的动画片吗？求推荐。
可爱风的🦄"
好喜欢好喜欢好喜欢，太可爱啦！那么可爱不能被吃掉啦！哼╯^╰
潮汕话，我喜欢，呵呵哈哈哈
超级治愈，终于更新了。我都不舍得快进，哇啊啊啊啊啊啊！！！！！！
特别喜欢 希望能一直做下去
好可爱☺圆圆的红红的
可爱惹～
这么可爱的剧居然不火
我说我一楼应该没人反对
老夫的少女心啊~😂
这么可爱 都不好意思跳过片头了
我很喜欢小红的小红豆很可爱我非长喜欢你
超级可爱的声音，喜欢😍
猝不及防的土拨鼠2333
被萌到了，少女心要炸了
