一种日漫的即视感，很开心国产动漫能有这个水平的作品
成功被封面骗进来了呢
"厉害了,之前就喜欢神契,现在居然动画化了,希望能有更多惊喜!!"
每次碰到好的作品，我都不会吝啬我的赞，为这部作品打call，加油哦！
你们觉得这部动漫好看吗，好看的话，给我一个赞
人之初，性本善，作者不更是坏蛋，你不更，我不赞，看你以后怎么办
新月领盒饭了，我要给编剧寄刀片
主题曲真是欣赏不来
"圣子华炼 圣女夏凌
简称华夏"
期待第二部的各位都点个赞 挺起来
吕布貂蝉😂
圣女赶紧灵魂回来，后面超好看，觉得说的有理由点赞。
太短了，能不能长一点
我儿子非要跟我抢手机来看这种没有意义的动画片
一集太短了，10分钟左右，希望后面更新的可以加长些。同意的点赞
我觉得圣子华炼和圣女夏绫简直是绝配。
第一集夏凌那首歌叫啥啊 挺好听的
有没有人跟我一样感觉这个圣子 想吕布
我分享一个东画狐狸小狐娘看过的点个赞
不知不觉已经过去七年多了啊，终于动画化啦！
这歌叫什么名字
真希望出第二季，希望出第二季的点个赞，不希望出第二季的滚蛋。
被一个不是神的人秒了两个最高神力的人导演你真是醉了
一集太短了，10分钟左右，希望后面更新的可以加长些。同意的点赞
觉得神契好看的点个赞。
这是什么歌？？？
最后的结局是夏绫恢复了记忆，与华炼在一起了。同意的点赞
这动漫画质看个毛。。。。
从初中就开始追，一直到现在
什么歌
真的疯了 第二部有没有 结局都没有 怎么看 现在都快疯了
我今天最后悔的事就是看了这个鬼，动漫果然是要看日本的吗？
巨好看，华炼巨帅，夏凌也美，好想和华炼xxoo阿😳
好看，精彩人生，圣子和圣女永远在一起。
我的小月啊，才八岁就死了，这不公平啊，还我小月
好想真正的夏绫能回来啊！
看了两分钟果断弃剧……
好看是好看，每集时间太短了。
觉得我是傻叉的请点赞
唱歌要2分钟，结尾两分钟，播放10分钟？？
更新了，更新了，终于出来了
表示没看懂的兄弟赞一下😳😳😳😳
听说人设都是L大亲手画的，感觉好像稍稍幼了一丢丢，但总体来说挺好的
更新太慢 能快点更新吗
男主很痴情，女主也很漂亮
华炼的背影好像吕布。。
去年十月一号首播，距今都半年了，真是过的太快了
被封面騙來的請舉手。
听那个谁说小新月才8岁就这么死了，导演你真行
看见新月被杀我心好疼😭
新的一年的第一个梦 动漫追逐梦 又可以每个星期守着了
人之初，性本善，作者不更是坏蛋，你不更，我不赞，看你以后怎么办
有没有打王者得 微信区
挺好的漫画，拍成了一部低龄动画😑
华练帅帅极了同意点赞
7岁，有没有人性啊。
真希望出第二季，希望出第二季的点个赞，不希望出第二季的滚蛋。
希望女主复活的人请点赞
为什么日本动漫好看！！！
昊天塔能吸收人的灵魂❓这不无敌了还演什么
就是说夏凌并没有死，只是她的灵魂被圣主吸走了，是吗？
国产非常不容易啊，要受到诸多的限制。希望能再加强打斗场面。
怎么没人评论啊，我觉得挺好看的啊
挺好看的，感觉那个皇上就是个变态。
嗯嗯更新实在是太慢了
男主很痴情，女主也很漂亮
小凌这胸罩是不是买的大了不合适，
人之初，性本善，作者不更是坏蛋，你不更，我不赞，看你以后怎么办
上官严明真特么恶心。。。。
等了好久，我希望有一个好结局。谢谢。
人之初，性本善，作者不更是坏蛋，你不更，我不赞，看你以后怎么办
一星期更一集就6分钟就不好一星期俩更
可惜了，这么好看，却不是当前热门，都怎么了
不会是停更了吧，为什么好的国漫大多活不长，::&gt;_&lt;::
应该有第二季吧！也希望有。
国漫第一，当之无愧
唉╯﹏╰难受，还以为结局了
华炼 拥有混沌锁 钥匙 2大终极神器 无敌
我只想知道上官严明这变态什么时候被杀死
真是太好看了，华炼太帅了
一个星期就更新一集 太少了😭😭😭
人之初，性本善，作者不更是坏蛋，你不更，我不赞，看你以后怎么办
国漫挺好的！不管人物！场景！特效！很好！给个赞👍
那个拿着金剑的人到底是谁
男主也会太撩妹了吧！
这片有点尬。。。。。。。。
我选涂山红红😏😏😏😏
我觉得很多国漫的片头曲和片尾曲不好听，这是为什么呢😁😁
我就想知道最后女主复活了吗？还是说一直都是那只猫?
聚宝盆的初子死了吗。。。。
真正的夏绫，果然还是死了么？
被封面骗进来的我也是很无奈
讨厌广告的请点赞。把我点上去
神经病导演，这也能叫完结？没脑子吧
更新太慢了，麻烦快点更新
终于更新了，我等得花儿都谢了
这是夏玲真成了魔女了，清纯不在
怎么说呢，男主角帅！！！
更新太慢了而且也不怎么好看，没之前好看
制作组加油。一定会火的。
