雄兵连是不是没有了？我等了一年多了
这就没有了？一脸懵逼，另外表白蔷薇和莫甘娜
有没有人能告诉我，啦啦啦德玛西亚，超神学院，雄兵连，黑甲，乾坤片，到底有什么联系，顺序，哪个先后出的，我该怎么看，之前啦啦啦那会看的红火，越到后面越不懂了，是不是我顺序有问题了。
，我愿成为华烨的审判天使，杀他所爱，灭他所思，为他带来伤痛、制造灾难。无论贫寒富贵，无论卑贱或高贵，无论身处乱世还是神所不顾我都要把他大卸八块，卸下他的翅膀，永世折磨，直至我亡。
喜欢莫甘娜。。。。。
这话说得好
国产第一没人反对吧？
5｡◕‿◕｡各种
我喜欢看，比日漫那些幼稚货好多了，不喜欢看的自己离开
国产良心动漫啊！大赞！坚决支持！这比喜羊羊那些智障动画强百倍千倍！
话说蔷薇和彦你们喜欢谁？反正我喜欢彦和葛小伦在一起！！
女王若爱我，便不是我女王
尼玛蔷薇真的帅气美丽啊
乱呀看的，几部不知道
女王所爱即我所爱，喜欢莫甘娜
我倒希望潘震把能量丹给凉冰。彦有点充数头 很不喜欢她
点赞的人都好帅，
莫甘娜连彦都打不过？
感谢您
你确定这二维码被腾讯视频log挡住了还能扫出来？？？
看黑甲其实是只为天使彦
y b p p rflb
好看，蔷薇性格很高冷，很喜欢她这种类型的，，特别喜欢这一番，希望能不断更新
很好看，彦很美。还真好看
诸君我喜欢凉冰凉冰超有趣！！
这么多乱七八糟的，看不懂啊一共有多少了超神学院，一点都不接的上来
还是魔鬼 凉冰最漂亮 很有意思！
真的好喜欢彦，真希望快了出下部。能不能快点，都等不急了。
脸都张一个样啊，可见审美
彦回忆葛小伦那段BGM叫什么啊
我挺喜欢莫甘娜的，你们呢？
这，这就完了？不科学
我家凉冰最好看好吧！！！
有人跟我一样是看完了雄兵连再来的
你们都喜欢天使彦啊 我喜欢莫甘娜
好看吗？应该好看点赞吗？点赞我想应该好看
但噢句 ，考，。”，
段友出征寸草不生。。。。
我家彦呢在哪里，多少集
猴子和天使比谁厉害？
我希望官方应该改一下，把所有的几个弄一块吧。
那个啥，乾坤篇呢？还没有更新就不见了？
世界上真得有神吗？
看的好乱，谁能告诉我怎么从头看到尾呀。好多部了都看懵了
就我一个人喜欢莫甘娜吗？
剧情怎么不连贯，不是接第3部吗？
女的我好喜欢啊，性感冷艳又酷
说实话，我不喜欢彦，性格太高傲了，没啥感觉
我希望我是赵信能和彦一起
这一季蔷薇的屁股最好看，凉冰的大胸和大腿最好看
停更了吗，这都快两年了
银河以北，我彦最美。
18年才发现这么好看的呢
我凉冰姐姐最漂亮，喜欢喜欢
难道只有我感觉女王喜欢蔷薇
喜欢 
总觉得‘雄兵连’把学院弄的很恶心，依旧喜欢超神学院
一直以来最最喜欢莫甘娜
我怎么就没有看出日漫比中国动漫好呢？？
这个是第四季吗？啊啊啊啊
非常好看，给你们好评，继续努力(⊙o⊙)哦，想看到你们最新更新的。
莫甘娜变成凉冰是最漂亮了
为什么没人喜欢凉冰和蔷薇啊
说实话很讨厌蔷薇！！！！！
威武我彦神，神奇。。。。。
颜值即正义，蔷薇没杀你是看你天使的样子。凉冰
有方言才是中国才是华夏
我喜欢蔷薇，梦想中的自己就是这样子，高冷我行我素，
33集都看完了难道真的没有了吗
太喜欢凉冰了，莫甘娜，气质内涵，幽默
雄兵连2.暑假会更新吗？催更。。。
啦啦啦，德玛西亚
咱们把评分刷上 去让跟多的人看到国漫的崛起
银河之力不是永远不是的吗？那成神有什么用？
该死的v i p，看都看不了
唯有女神范，那只有女神彦最美。
为妹子来的 .
蔷薇和银河之力？不是卡特琳娜吗
这剧情乱七八糟的，第一季到以后一季，看着都乱套
冒冒泡
感觉以后都不要学外语了 外星人都说中国话了
我等更新等了这么久，结果来一看，啥都没有变，我也是醉啊
有人知道下一部是乾坤篇还是雄兵连吗？
良心动画，别喷，毕竟不收费。
求第一集开头3分钟音乐
一次就发这么点，对得起我们努力追集的观众吗？
我最爱魔鬼，魔鬼是最美最漂亮的，魔鬼和蔷薇应该在一起。
很强，要连起来看，才看得懂
最美我彦
淡淡的忧伤
愿久别的都重逢，愿有情的都相爱，愿孤独的不必再孤独。
良心国漫 你值得拥有 但官方大大能不能快点更新
重哪看起 ？怎么按顺序看啊？？
还是大电影好看啊，我看过了
彦最美，爱她一辈子520
看了这么久，终于晓得蔷薇就是卡特琳！
感觉黑甲是用来补充主线的(填充神与神到雄芯篇之间的空白)
有一天，小萌遇到上帝，上帝说：我可以帮你实现一个愿望，小萌说：能毁灭世界吗，上帝说：孩子，换一个愿望，小萌说：我要超神学院之雄兵连诸神降临快点更新，上帝说：呃…………呃……孩子，你还是想一想毁灭世界吧
为什么彦那么喜欢翘二郎腿？
莫甘娜和卡特才是真爱
