再不更第二季我就拿60厘米的大刀砍死编剧和导演
支持出第二季的点个赞
这作者，，，把方丈写那么无能，，，呵
很好看，不知道弹幕的那些人怎么那么嫌弃的
结局 好 心 塞
还有第二季不？小期待
看了那么多动漫，让我深深地明白了一个道理，斩草不除根，春风吹又生啊
去看漫画不就好了，真的是，一个一个抱怨个毛呐
这部动漫告诉我们，坏人杀了就要斩草除根，不然后患无穷。。。
那个红毛的配音有点像东方月初的，不知道是不是错觉
让我想起了薛洋，六岁断指从此断了善良，沐春阳何不是呢。。。
星游记的兔子的那句话挺对：地球人还真是会煽情呢，，，。呵呵
是不是双男主，现在喜欢看双男主的，很精彩，像《魔道祖师》《灵契》《帝王攻略》，都是双男主
这个有第二部没么？
没结局吧，如果这是结局的话，我决定我以后就不看这个了，太那个啥了
不是说每周三更新一集吗？我一直等到00:12，难道我被蒙了？好伤心
哎，等半年了！不见更新
作者欠揍啊！同意就点个赞
什么时候出动漫的第二季啊？第一季结局好虐哦！
有第二季嘛什么时候出
感动到了！特别期待第二季的到来，希望女主复活！
求第二季！ 求作者大大 快一点更新第二季 ，我们都很期待第二季的出版
有第二季
国漫，一人之下最牛逼，最好看，不服的来喷我！
"喜欢公主,好可怜 ,男主不喜欢公主又不说,往往悲剧就是这么酿成的。"
这就是男主变凤求凰李白的理由？？
这就是趟着也会中枪
左手拿板砖，右手拿皮鞭，坐等第二季！
有吓人又好看，觉得是的请点赞！
快点出第二季吧 等了好久地
国漫越来越好啦 最近都在看国漫 哈哈
某些人怕是腐癌仇女症吧，说什么讨厌女主，是男的就好了，这什么鬼，有病吧
哎！为什么国漫这么不给力刚完结不久的《灵契》又现在的《降灵师》太抄袭了啊！！灵契中端木熙是颜值并足武值强行契约杨敬华现有女降灵契约逗逼帅男灵。
竟然是这样的结局
悲剧啊悲剧，求第二部
什么
沐春阳一家都死有余辜，她母亲是最会祸首，
缓解一下悲伤的心情去看看灵契吧，爆笑的
这个结局太惨了。真的希望结局不是这样。
好看点个赞
这个故事告诉我们，好人都该死，明白了么！这世间只有恶人才能生存下去。
有没有弟二季啊，第一季没有什么结尾。
欸，我挺喜欢这这种画风的
靠，这什么结局啊，破坏我的心情
我等了几个月了……咋还没有更新…
爷从没看过哪个电视完了是主角死了的，涩会涩会
什么出第二季啊。。。。。。
男主角比女主角都要大
国产动漫就是垃圾 唉迟早的事
不会弃更的，因为这个结局我们拒绝接受，所以期待白发少年的归来期待手刃恶人的正义凯旋，希望作品继续更新♡
这就是结局！？有头没尾的国漫！敷衍了事吗？！
垃圾结局，作者我要灭你全家！！！！！！！
结局不因该，不要，看到这我的心碎。一定不可能。
这个剧情好虐狗啊
烂尾了，中国动漫总这样，第二部不一定有。
好喜欢七爷这样的男人啊，可惜我没找到。
怎么看着像，王者荣耀李白的凤求凰
打发无聊时间还可以，觉得有道理的点个赞吧
喜望有下一部这个太好看了
好看好看，降灵记是动漫中最好看的
说沐春阳是主角的都是傻子吧！女角才杀男二的爸，而他爸又杀了很多人，连老人孩子都不放过，现在男二他妈是她自己自杀的不怨女角，现在男二又继承杀人魔爸的性质杀了那么多无辜的人，又杀了女角那那些无辜的人白白死了，你现在也成了杀人犯
"真希望有第二季这样就可以看更多的看画
玖就是福，真的死了。"
结局也太悲伤了吧，有没有第二季呀？
看的我心好痛，妈的。
我想看第二季了，
这个女主的配音演员好像是给楚乔配音的
我以为男人和女人在一起，我以为只杀画玖，然后七爷伤心，我想俩个方法都没有对，沐春阳坏死，沐春阳坏死，沐春阳也是孤儿，沐春阳怎么会把孤儿忍心杀死了，如果报仇只画玖，为什么把无孤人被杀死了
下面那个。没看过就别瞎比比。这个明明很好看。
女主死了就可以和男主在一起了。
好看，不过隔着屏幕都闻到腐味
希望有生之年能等到第二季。
这配音好像东方月初啊，有没有这么觉得
这人物画风完全不行啊，比起灵契来差太多了吧
再不出第二季我就拿60厘米的大刀砍死编剧和导演
第二季呢！这么好看没第二季说不过去啊？ 女主能写死啊？男主怎么办？
帅哥美女们顶我上去 我要上天
给你5好评快点出第二季
结局也太狗血了吧，心痛，期待第2季
刚刚能看为毛现在不能了[心碎][心碎][心碎][心碎][心碎]
呜呜呜呜～第二季画玖一定会㓉过来的，一定会的
真的很好看啊， 怎么还没有下部？
我想知道，封面上的两个人是男是女！！
还等着画玖七爷在一起白头偕老，灭了沐春阳呢
画玖死了，慕容蓝一瞬间就白了头发，心疼⊙﹏⊙
这就没有第二季了？这结局，抱歉，我忍不住吐槽100遍
可以啊，我感觉比魔道更适合我3观
已经等了一年了，二怎么还不出来
上天保佑第二个季快点出
喜欢慕玖夫妇，七爷的复仇，画玖的归来
看过这个吗？
我感觉不错啊
感动到了！期待第二季等你复活
有没有弟二部啊 ，有谁可以告诉我吗？ 这个真的太好看了。
为什么会这样，期待第二部的点赞
看到结局实在忍不住来吐槽了，好心痛，跟女主什么仇什么怨居然写死了
听说要2018年八月一十六日，更新第二季。
什么时候出第二季呢？转发，超过1万次
啊啊啊啊啊。。。。这是什么破结局。5555555。要求第二季。哭瞎我啦
一人之下能够出了很多节很定很火
因为这个结局我哭了一晚上，，，，一定要出第2部！铜芳好像还没有转世，那只狐狸还拿着内丹，画奕生死不明，女主死了还有灵！结局绝对不行！所以请尽快除第2部！谢谢，安排！
