今天是我出生的第666天，能给我66个赞吗
吃鸡里面的亚洲人 应该是按照韩国人设定的
为啥不把压缩佬大更新完？那么多人喜欢看
人物动作好诡异， 模型从游戏文件里搬的么？
"广播通知：经阿香同学匿名举报……
然后我就笑了"
"。。。
里面刚见到阿香的时候有一句歌词 什么歌"
搞笑，有创意，，另类动画，，不错，支持一下，，
这是一个人做的动画很不容易了，作者是开挖掘机的，只有业余时间做做动画大家支持一下吧，做的不好也不要喷谢谢了。还有喜欢LOL的可以去看一下“亚索老大”也是他做的动画特别好看。加油！
这种动漫很难制作的兄弟你好好看吧积点口德
我觉得特别搞笑，特别是那个油漆大哥的眼神，你们觉得呢？
最早是5月8号的 的评论 到现在5月25号 还没更新 这个恐怕是黄了
我去。好出糙的动画片，我居然看完了。我的眼睛👀要中毒了😂😂😂😂
支持，相信以后会大火，我有钱绝对投给你们两千万。
我是第一人，哈哈哈
这七分钟感觉过了一个世纪。。。贼长
我觉得这个很有意思，期待更新
什么时候更第二集啊 ……
看来正在向剧情化发展，为什么不把 亚索哥那部重新完结一下
快点更新呀，等了这么久还没有
就一个人做这个电视吗，招点人来这个片会火的
玩吃鸡的大佬，赞点起
每个人都跟僵尸一样，烂片
总体还行吧，就是那小眼神哥们真心有点受不了😂😂
更新是不可能的，这一集已经是极限了。不会再更了。
真不知道，那播广播的是不是瓦特了？阿香匿名举报？匿名！什么鬼？
很不容易，这个作者一定很辛苦的
还可以这部电视你们觉得呢。
能不能更新了？不能更新就别发啊！太磨人了，这都多久了还不更新
我想说 等我老死了也未必更新完了、只有等下辈子了
可以可以，很六批，加油作者，先赞助五毛钱
期待下一集。。。。。
顶一个，我们都是天选之人
终于更新了，呢妹的，等得不容易，每天都看
其实工地工资200多一天，人家不穷。。。
有意思 希望作者加油 搞的像雄兵连一样好看
我爱吃鸡 吃鸡使我快乐 火了记得扶我上去
这你嘛，是什么渣剧？
这个眼神感觉藐视一切阿。。
玩绝地求生，刺激战场好玩的点一个赞。
油炸，你可以选这条路，但你同样可以得到被支持，并不是别人怎么样给你捐就是看不起，是因为我们心疼你自己靠着那么点资金做我们喜欢的东西，知道吗？一直关注了这么久，可以创建个粉丝群，人多力量大，不想在看你自己那么心酸了，不然没有出头日，要去找人营销自己的东西，你的脑袋不缺料。加油吧，油炸。
一个国外飞机 放中文歌 666
钢枪，阿香，这名字😂
这是要火的节奏啊。内容 插曲都挺好 就是人物能好看点么😀
这人物模型真心不好看，越看越别扭
还不错，可以期待一下，只要搞笑有意思，有创意，画质都无所谓啦
说吧，什么时候更新，等了那么长时间。
除了光头黑人其余的一个比一个丑……
有意思 支持 有点死板 内容很有意思 加油
up加油，等着你的亚索老大
真的不错，一个人做的，作者真牛逼。
看著好猥瑣這些角色。
广东爱情故事 666 新动漫 就是厉害
更新要快啊！速度点了别一集就几分钟没意思最好40分钟以上
这他吗两个星期都不更新
即已容颜倾天下，何必开口乱芳华
我讨厌那个阿香，阿刚是为了保护她，阿香竟然还告老师，还说脏话
第一次觉得一部7分钟的动漫，感觉时间好长！
多久更新啊，更新太慢啦。，
毁了吃鸡，说真的真不是一般的烂
爱玩吃鸡的必喜欢，这个好看
免费旅游笑死我了，我滴妈
多久更新一集啊，好像看下集
一年前，我不该上那架飞机
何时出下集啊？大神快快更新把！
哼哼的叫什么歌！帮下忙
加油，之前的亚索老大很好看，这次我们很期待
虽然很烂 可我还是挺你们 毕竟我个人特爱吃🐔
其实可以更新，前景很大
个人制作已经很强了 建议做好编剧去外包给专业的动漫公司
本来就没时间，还一起做了两集，不错哦
哇塞，伤感中遗漏着搞笑。最搞笑的就是男主角的名字叫刚枪
这个题材很好啊！我好喜欢，但是这动画能在美化一下
插曲叫什么名字。急
好猥琐的眼神啊，有共鸣的吗？
有种看恐怖片的既视感！！！！！
阿香这么像苍老师呢！
太有意思了，希望快点更新
人在广东已经嫖到十年！
挺好看的，就是主角有点丑
这背景音乐是老版的吃鸡背景音乐，好怀念啊坐等更新
加油up。喷子麻烦出门左转。
厉害了，6皮😂😂😂
估计做者，只在飞机就屎了
第二集了，好久出感觉看上去有点牛逼
小黑穿花衣好帅
这个我第1000甜能给我10咱吗
推荐大家去看一下油炸童年的亚索老大
就像我们现在的生活，别人只看你外表，
速度点 快快的😅太慢了
恶心死了，老表们我撤了
为啥这个不更新了呢？
希望你能给我们带来更多快乐！
阿香同学 匿名举报 ？？？！！！ 名都出来了 还匿名？？！！！
特别是看到阿刚离开学校打工的那首歌，太有感觉了。继续更新吧
阿香，等你下课我们去伏地吃鸡嘿嘿嘿吧
更新啊，我支持你啊！
加油兄弟我支持你挺好的作品，非常喜欢
颜值吓人 .
速度更新啊，很急啊！
还不更新，急死我了。
