真的不错，好看。不错的希望第三季赶集出来
作者是不是很喜欢花木兰
最后一季快递侠变成了。黄金快递侠
这种画风动漫还能这么好看，不错
都2018了才更新到3集
那个美女是他爸
太好看了我赞助
导演求多一季
哈哈哈哈！5年级还看！
这太恶心了你们那里冷吗？
有个故事是：有部电话，他走着走着就把自己给挂了，也蛮冷的。哈哈哈
有没有觉得第一季和第二季应该倒过来？
快递侠好牛哦
千万别有赞助，有赞助就有广告
非法非法拘禁将计就计解冻
最后一季变成了黄金快递侠。
胶带龙卷风
活这么短妈的搞这么长的前奏，你广告能在长点不
you could
我的天，三年了，整整三年，等了三年
太好了但是还是太少了
好看不。。。。。。。。。
快更吖！！！！！！……
原来是出第二季，我还以为又是一个要我孙子烧给我的动画片呢
好看
一集才七分钟 而且还不能下载 只能在线观看 无语………………
不错！不求两集，跟新能长一点就行，太短了[调皮]
可以视频太短了，希望改进
二郎虽然有干眼病，但还好帅
10分钟的视频我看了20分钟
一句话垃圾，下面看的都是幼稚小该。
第一季好看点
hyis
作者太牛了
66‘一一回复我是说
"1米大4你大
也
饿饿"
蛮好看的啊 为什么腾讯视频这么少的人看？
这个动画片还行。真的不错。
“快递侠”名字很独特！
第十二集什么时候更新？
会复发
有赞助才怪呢！那个希望你这三部哦哦！
这不是就是个送快递的吗？
画得太烂了
不知道这首歌是什么
额
大家都知
时间越来越短不会像之前那样慢慢的缩短到三分钟吧？
没槽点，没看点，没笑点
真的好好笑，快递侠的出生。下面我要问一句，谁是小迪粉丝请评论，留言，亲
哈哈哈哈哈好棒的动画啊！刚刚开始看！
承包我所有的笑点啊哈哈哈哈哈
确实好看[呲牙]
有点意思[发呆][发呆][发呆][发呆]
每集都太短了
出第二季了。
然而就要回学校了
装B，同意点赞
怎么感觉是顺丰的……有木有
死亡考场好牛哦
真是的，更新这么慢。
更新慢的要死[发怒]
额狗血啊
第二集什么时候演？
好像是老村长配的音，上来赞个么么哒[爱心]
sbasb
""
嗯
屁
这一
变身好帅
xffhhhghjghh
好看
但是发放给他发回天乏术个神人
身上贴那多贴纸不痛吗。
为什么送个快递都能成侠
什么时候出第二季啊？
我一拳就能弄死他
好看点赞
太好看了
还没有第一季的好 这是啥啊
‍可憐的‍怪獸
快更新
前排
看不了[难过][难过]
跟第一季不一样
"什么时候更新
"
由
擦累，盼好久了
画质也太蔡鸡了
还不错，蛮好看的
好看[强]
有没有发现，马丢变身快递侠时，举手子初中子米奇
老王是啥？！
快跟
帅呆了酷毙了
求跟
第一季是个老鼠屎，一点也不好看
我们你爸爸
第二季怎么变热血了
