有谁是2018年看这个的？我是。别人是的点个赞或评论都行
西游有没有孙悟空呀？这个问题太爆料了记得点赞哟。
"500年前，上古邪神蚩尤欲撕裂天之痕，引入化外混沌吞噬人仙魔三界。经过战神山一战，15位英雄终于把蚩尤封印于武神坛，随后，大家把毕生的功力转化为15块命魂之玉，留给后世，以防500年后蚩尤再次破封。沧海桑田弹指一挥间，三界平安度过了差不多500年，蚩尤即将破封重现。剑侠客乃轮回再生的天命之人，他踏上再封蚩尤之路，一路上降魔服妖，也重遇其余14名天命之人。蚩尤为阻止众人，派得力部下九头精怪沿路阻击，后来更成功击杀其中4人。为救这4人，15名天命之人聚首与阴曹地府，为4人进行复活的飞升仪式，却不料这正是蚩尤奸计。蚩尤派九头精怪带兵进攻阴曹地府，誓要将15名天命之人一举歼灭。结果，飞升仪式及时完成，15人合力击退了九头精怪。
剑侠客
霜刃露锋芒，飒沓如流星。率情任性，狂放不羁。一生淡泊名利，嗜武如痴，英雄意，儿女情，独闯江湖半生醉，举杯邀月最销魂。
骨精灵	逍眉黛春山秀，横波剪秋水。骨精灵娇妍俏皮，顾盼神飞，机敏聪慧，好打不平，对世间万物充满好奇。
擅使兵器：爪刺
门派：阴曹地府（魔）
法术：修罗隐身,判官令,阎罗令
cp：剑侠客
师傅：地藏王
逍遥生
快意恩仇事，把酒踏歌行。一袭白衫，一纸折扇，逍遥生风流倜傥，潇洒自如，行事光明磊落，是世人乐于结交的谦谦君子。
擅使兵器：扇
门派：化生寺（人）
法术：推气过宫，金刚护体，金刚护法
cp：狐美人
师傅：空度禅师
虎头怪
戏谑顽劣犹可爱，虽有神力不欺人。虎头怪弯弧五百步，长戟八十斤，勇武过人。生性耿直豁达，对朋友忠肝义胆，是顶天立地的大丈夫。
擅使兵器：斧钺
门派：狮驼岭（魔）
法术：鹰击,狮搏
cp：玄彩娥
龙太子
龙太孑，乘风破浪翔碧海，腾云驾雾上青天。禀承龙族之血统，桀骜不驯。凭借天生的优势领悟仙法精髓，是当之无愧的龙族骄子。
擅使兵器：枪
门派：东海龙宫（仙）
法术：龙腾，龙卷雨击
cp：飞燕女
师傅：东海龙王
师傅：大大王青狮
狐美人
修眉连娟，深山险谷中修炼的灵狐，得到大自然的灵气而幻化成人。眉似青山秀，身带百花香，擅用利爪，并使得一手好鞭法。
擅使兵器：鞭
门派：盘丝洞（魔）
法术：含情脉脉，天罗地网
cp：逍遥生
师傅：白晶晶
巨魔王
一怒震乾坤，杀气凝如山。巨魔王力拔山兮气盖世，肩负魔族的神秘使命，叱咤风云，威风凛凛。
擅使武器：刀
门派：魔王寨（魔）
法术：三昧真火，飞砂走石
cp：无
师傅：牛魔王"
老头子，不对，是龙太子，他和风雨你，不是，飞燕女是亲情人，前世
他们什么关系？
觉得为爱追寻好听的点赞
我喜欢逍遥生和狐美人结婚
主题曲好难听，还不露恋西游呢！但是最好听的还是为爱追寻
侠客真的喜欢骨精灵他们两个本身就是一对
十年一梦。一梦十年。 梦幻早已不是当初那个梦幻了
看这个都是00后的吧 就我一个90后的
6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666ｂ
喜欢这一部动漫的点赞！！！
尴尬了
最爱逍狐和杀破狼和巫蛮儿了，和我一样的，下方评论
杀破狼是喜欢巫蛮儿吧
我觉得，佛珠喜欢
大家最喜欢《梦幻西游》的哪些人物吧。个人喜欢。剑侠客 和 骨精灵。
逍遥生好好玩
你们不觉得骨精灵和剑侠客是真正的主角，但是他们最后还是死去了。
剑侠客和骨精灵，龙太子和飞燕女，逍遥生和狐美人，神天兵和舞天姬，虎头怪和彩蛾，羽灵神和英女侠，杀破狼和巫蛮儿，巨魔王狗一个真可怜！看着别人撒狗粮。顺便说一下：彩蛾，蛾子，儿子，她不是女的吗？哈哈！
为什么没有第五季，剑侠客他们都复活呢？悲惨的结局很伤人心
出第五季呗
喜欢逍遥生和狐美人 
我女的比较喜欢巫蛮儿，男的喜欢剑侠客
"我喜欢骨精灵
！！！！！！"
剑侠客，龙太子，逍遥生。好帅期其中巨帅的是剑侠客
狐美人有那么可怕吗，虎头怪和逍遥生急忙躲闪
巫蛮儿用的是哪个门派的技能?
杀破狼太帅了！
为什么她们每次打架都要摆姿势
五百年前的剑侠客勇敢爷们霸气而五百年后的剑侠客胆小连个娘们都斗不过
更新 更新 更新 出下部，大家都复活
他们两个好配
有谁知道怎么看呀先看哪个一点头绪都没有
都等啦两年啦，终于出来啦。
看偷看狐美人洗澡
为什么巫蛮儿不穿靴呢？
""
我感觉杀破狼很帅 应该说是超帅
剑侠客长的太帅了我最喜欢他的剑
他们这完全属于小两口吵架行为
喜欢龙太子的点赞
这个真的很好看吗，我听到朋友们一说的
飞燕女和龙太子撒糖最甜
既然有那么强大的神，为何还要折磨小辈么？感觉无聊
感觉神天兵和舞天姬站在一起毫无违和感，真希望他们能。。。。。
看背影很配
龙太子飞燕女啊巫蛮儿杀破狼啊支持
我爱飞燕女神节日快乐
为什么没有第五季，剑侠客他们都复活呢？悲惨的结局很伤人心
巫蛮儿跟杀破狼穿的是情侣装吗？
小打小闹，显现出了他们的恩爱
为啥事黄帝而不是皇帝
龙太子和飞燕女就是天生一对
梦幻西游手游真的渣 同意点赞
历害了我的哥，好看极了。
找到童年的感觉了！好像又回到了十年前
绿色头发的也太要脸了，还想折散剑侠客和骨精灵，真不要脸。
这动漫我都等的黄瓜菜都凉了，老喜欢了，同的话给赞噢[呲牙][呲牙]
""
妈呀
逍遥生和虎头怪怕狐美人的事是哪集？
佛家弟子扇子上为何有道家八卦
支持剑侠客和骨精灵在一起的点赞并评论哦
感觉杀破狼喜欢巫蛮儿
"超喜欢剑骨CP，狼蛮CP，我的最爱，铁粉
"
喜欢杀破狼和巫蛮儿！
逍遥生佛家弟子，扇子图片是道家的八卦
唉，雨灵神树上泡妞失败啊
希望有第五季
舞天姬既漂亮又聪明。
我喜欢狐美人！
喜欢骨精灵，她为了剑侠客可以傻到放弃一切
这里面都是情侣，我最喜欢龙太孑和飞燕女
永爱逍遥生
谁知道还有第五季吗？
只求五个赞
百看不厌，你们说呢？
羽灵神应该算是梦幻的第二主角了
我永远爱逍遥生☺☺。
好喜欢剑侠客啊，挺帅的
神天兵杀破狼羽灵神剑侠客
结局为什么会？5555
这几部的先后顺序是什么？
上集剑侠客被一个破血狂击就挂了，简直是醉了。。
尼玛雷怒都打不过，怎么打蚩尤啊泪奔
13集，完结了？那谁能告诉我片尾的下集预告什么鬼。。 
"梦幻西游主题曲“为爱追寻” 花絮有很大的剧透。
"
飞燕女喜欢龙太子吗?
好美！！！
小杨生太坏了，偷看女孩子洗澡。
你们有没有发现飞燕女的声音变了。
狐美人真漂亮
这里面有的都是一对，尤其是主角
我觉得为什么每一个男生都有自己喜欢的女生呢？
超级好看的哦，不管会不会出下一季都会一直的等
那只乌龟好任性啊！
回忆啊，之前还在玩呢？我的剑侠客，可惜结局不是那么美好
好看
