星期四有的看了，墓王之王，画江湖二
从秦时明月开始，然后不良人，然后我就看到墓王之王，国漫真的有进步，我只看国漫，以后还会更好的，多多支持自己的文化，自家的中国制作人。加油！
好喜欢水瑶和骆时秋这对cp啊！
这段背景音乐找不到呀(˶‾᷄ ⁻̫ ‾᷅˵)
我现在算是懂了 这是第一部 寒铁斗是第二部 悬棺寺是第三部 唉 总应该标明下啊 害我倒着看 
原来这十几集讲的是一晚上的事……
三部怎么排序？那个是第一部啊？
国产动画迟早会成为世界第一的觉得我说的对就点赞
我没看懂，怎么去开门的是楼满风呢？他的麒麟臂哪里的？
男主，男不男，女不女的。没一点阳刚之气！棒子影响太严重！
什么时候第四部，好看好看好看好看
"我说的话
有10个字了"
这部是第一季？？还是？？
国产漫画的良心啊
太好看了太好看了，第三部怎么不更新
好感人，我比较喜欢满风和千落。
我觉得千落肯定不会死的
配音和画面是不是有些不搭啊[冷汗][冷汗][冷汗]画面好美，
这部动漫真的好看，想要看更多
还好 不像某些正片只要两三分钟
垃圾视频，画风不好也就算了，字幕也不走心，垃圾终究是垃圾
看到满风伤心，看到时秋就是输出全靠吼
想问下这是第一部嘛？谁知道给说一下，谢谢！
还是这个好看，有头有尾，不像画江湖，出了几部部部烂尾
楼满风的配音很好，很喜欢
感动了，希望下辈子我也可以遇到像满风这样一个男人。
比那几个斗破 斗罗垃圾更新速度好
妈呀，我居然看哭了
看完大结局，又来从头看一遍，好久才一集，前面都忘了
好看给个赞\(≧▽≦)/
感觉比其他的动漫好看
我要点赞，点赞，点赞，点站，点站，点站，点菜，点菜，点菜。。。。
感觉很辣鸡，娘炮看的东西，恶心。
给大家安利一部国漫 少年锦衣卫。画风唯美 情节紧凑 声优也好听☺️
好看是好看，就是感觉怪怪的，结果看评论才知道第一部跟第二部看反了
很喜欢，看不腻，最喜欢满风。
千落和满风在一起了吗？真的超想知道
骆时秋好会撩妹呀 
真感人
麒麟决 寒铁斗 悬棺寺
三部都看完了，真的很好看！好喜欢楼满风和小和尚！
楼满风最帅，最美，最好看
国产动漫斗罗大陆超级好看
全集41 怎么21就没有了 悬棺寺都出了!
看得我感动到不行了，太煽情了
现在才发现这部好看的动漫啊
回来看看回忆回忆。。
所有的东西都是原版好，希望不要翻拍成电视剧，不然又毁了
兄弟，我就做做任务，点个赞，谢谢！
不得不说，编剧真是一位性情中人。
这是第一部吗？？？？
这部电视好感动，好看的不能再好看。希望这部电影能一直演下去
是不是有九部，九锁连环大墓，悬棺寺才第三个大墓，很期待后面几部
看了这个动画片，我还是觉得不良人比较好看
太喜欢满风了还有千落
这是第几部？是第一部吗？
这个好看，是我的菜啊！
不知道看动漫出的年份，就知道那部是第一部了！哈哈不用谢我
主人公都很帅 呵呵呵
超级好看，追到底。最喜欢啊风
美女多帅哥也多好看
那什么满楼太娘炮了
爱上了慕容烨和公主的爱情
感觉如果拍成电视剧会很好看
第二次看了
很好看 非常喜欢 希望不断更新
剧情比侠岚和不良人好些，剧情吸引
你们难道没发现就楼满风的麒麟臂是左手吗，骆时秋和独孤漠都是右手
谁能告诉我那个是第一部那个是第二部啊
再来一遍 没办法
三部我竟然是倒着看过来的
看的好感动，流泪……
别骂了额，我只想知道第四集呢
看了第三部，都不知道哪部是第一部
觉得中国的动漫做的越来越好了
两队情侣在一起秀恩爱
好久没看了，忘记看到那一集了
这三部顺序怎么排的啊求解答
艾玛呀！麒麟纹身，让我想到张起灵
又来重温一下剧情
水瑶还是穿绿衣服好看
楼满风这样的男子真的是绝世好男人
楼满风的头发怎么白的？
好看，真的很好看，想不到我七尺男儿也喜欢这种电影，
太古指刀是美甲贴吗
没有第二季了吗什么时候播
好好看哦！好看得不要不要的，你们也来看吧！
骆时秋！小哥哥！最帅！最萌！
接下来我看到了什么，笑得我喷了一手机口水！
个人认为其实女主们不应该存在，男主才是一对
墓王之王，果然很厉害，楼满凤才是最厉害
呀…！好看吗？
我好喜欢这个动画片！真好看！
黑这部动漫的人。赶紧滚
好喜欢满风千落CP啊！
只有我喜欢寒千落楼满风这对么？
我感觉现在的国漫真的超赞
看是好看，就是这个少主应该与那白发少年互换就好了
很好看。电视剧情感演得不错。赞
看了半天，这才是第一部啊！！！
