一集变得好长，作者真的很努力呢，支持茶啊二中
有一种暴躁叫石妙娜， 有一种严厉叫张岩， 有一温柔叫于甜甜，有一种自恋叫黄易斌 ， 有一种屁叫艾凤莲，有一种抠搜的叫孔祥德，有一种帅气叫王强，有一种漂亮叫刘若琳，有一种淘叫贾淳，有一种呆叫马泽平，有一种伪学霸叫徐小明，有一种绅士叫高伟，有一种喜欢沈思琪，有一种吃货叫奉翔，有一种队形叫“ZHY” 战队，有一个班级叫初二3班，有一种青春叫《茶啊二中。
我快要上初中了，我也是很内向的人。请前辈们告诉我一些经验。
那个我初一被一群混混盯上了什么办？快速回答！
他妈的不打广告你们资助啊，逼逼啥呢逼逼，
这种主任应该马上举报，让他滚蛋
喜欢主题曲，一听就让人热血沸腾
好萌
永远支持查啊二中
支持王强和若琳，我也喜欢一个女生，就不敢说
马上要出来电影了，2020年就出来了！！
王强和刘蓉琳有意思哈哈
我看到广告从此处飘过。
国产小清新良心作品 为啥不火 火的是那些做做的 可恶
这个动漫真的很好看
有谁跟我一样，看完第四季，来回忆第三季
特别好的动漫，青春的故事
学校里的王者荣耀
这集我真的看哭了，对于80后来说，真的太有感触了。
于老师和我们地理老师简直一模一样
原来茶阿二中是以我的母校做原型的啊！
觉得茶啊二中好看的点一下赞
能动手就别吵吵.挺喜欢王强.猴哥.刘若琳的
王强喜欢谁是不是刘若林
什么时候出第五季，希望每一集时间都能长十分钟左右，集数在多点！
能不能把小茗同学整走 啥啊
谢谢教过我的老师，看的很感动
王强喜欢刘若林❤❤❤❤❤❤
王强，刘若琳珍惜现在的时光
我初中也是三班 我们班主任就一点不枯燥哈哈
石老师骂学生 但从不打学生 是真心想学生好的
满满的回忆，大力支持。
希望茶啊2中能火6666
真的特别好，看的就是真心经历过的事情。加油……
希望王强和刘若林在一起
有谁是从抖音来的，反正我是
王强打架历害、学习历害，猴哥仗义，高伟仗义，马泽平太怂，徐小明太娘
我最喜欢石妙娜，石老师骂人功夫了得
靠，我一个大老爷们哭了
这讲的是哪个学校啊啊啊
王强和刘若林真的相爱了吗
青春何尝不是如此啊，老师，唉
王强刘若琳在一起，同意的点赞
茶啊二中是最好看的，希望能继续演下去。永远支持茶啊二中。
觉得好看的点一下赞，嗯
茶啊二中，永远支持你。
"好看
搞笑
爽吧王强和刘若琳，我很赞同。"
王强 的 战 斗 力 怎 么 这 么 强啊！
爱凤莲的屁我想笑
习惯性点双击，。。。。。
茶啊二中真的挺好看的，发自心里的，希望以后还有第四季。
大家发现了吗？三班拉手的都是一对一对的。
看的有点想哭，上学这么多年，能记住的老师没几个，惭愧
我觉得地理老师好漂亮啊！有人赞同吗？
人越长越大，心越过越小，回忆过去，感动
好看，我就在这个学校上。
希望王强和刘若琳能在一起呢！
喜欢王强和刘若琳，还挺好看的
强哥跟我一个性格。。
"那一天
那一年
我们挥洒着珍贵的青春
幻想着可能的未来"
茶啊二中永远是最棒的
这个老师温柔点就好了
支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支持支迟
希望第五部能尽快出来的伙伴给我点赞
还有两天第四季就开播了
像不像王强
谁知道有小茗同学是那集
第三季要付费真不要脸
王强和刘若琳长大后结婚了吗？
良心之作，有笑有泪，非常优秀的国产动漫。
棒棒哒。继续出噢。他们班主任和我们班主任很像尤其最后一集
没有石老师都没那么搞笑了
强哥好可爱哈。 
我们数学老师比这个里面的英语老师石老师凶多了！
最后一集给戳到泪点了
我喜欢徐伟杰。祝我99吧！
挺喜欢王强，任挺好！ ！ ！
同学：X＝贝塔、y＝舒克，老师：舒克舒克舒克舒克开飞机的舒克
我们一直都很淘气，没有想到老师的心情，现在我们懂了
主角是王强！是吧！观众！
不能憋着不拉，会出问题的，别教坏了小孩，家长一定注意一下啊
超喜欢茶啊二中，什么时候出第四季啊
茶啊不倒，陪你到老。
这才是教师！为人师表！
我现在才知道，老师真的没有骗我们：六年真的很短。
"真的很喜欢，茶啊二中。
茶啊二中最棒"
每次上课都是班主任说你们是全校最吵的
王强和刘若琳在干嘛？
马泽平怎么老是要上厕所，特别是上课的时候，每次看见他他都捂着肚子
这个要是拍成真人版肯定好看
王强太善良了，保护同学
虽然没读过初中，但蛮怀念小学的，怀念在学校的时光。
我要看第四季我希望你们出第四季
把小明同学的戏份去掉了
王强和刘若琳是不是一对儿？
真的让我回忆起初中的美好三年，继续拍下去，支持你茶啊二中
我敢站在世界巅峰告诉喃，茶啊二中，世界上最好看嘚。
以前看完两季，现在才发现第三季，不过不晚不晚
这个动画片好的评论点赞，谢谢你们
茶二中必须能火，火火火
