以前的侠岚每天早晨六点半在动画梦工厂播，一天一集，真怀念
再好也比不上秦时明月，晨月根本没高月好看，高月最美，耶
看完不良人又来看的侠岚 还是喜欢不良人呢 唉就是要等更新好闹心
感觉你们都看过，我第一次看，好看吗？
小时候再电视上看的回忆，那是就特喜欢，不知道为啥尤其喜欢千钧
小时候看在手上画过印记的来报个到
盛开你的左手，如果你有5根手指，你就是个普通人
我也是看了不良人过来的，大爱不良人！
如果故事是真的，如果我爸没有骗我，那么我就要去风里寻找答案。
我左手上有侠岚印怎么办
掉智商啊这，算了算了，不能认真
"两姐弟都是零？
。，。"
觉得侠岚好看的点赞
我去，实在看不下去了，这两兄弟毁了我继续看的心情
这个侠岚和画江湖之侠岚有什么不一样？这个不是若森的吗？
小学看的啊，最后少儿频道不放了
片尾曲好听。如果好的话，点个赞。
如果我有侠岚印，我会让世界没有作业
"谁跟我一样有侠岚印记
咱们一起去找玖宫岭
有的话告诉我"
怀念，上一次看是我还没上小学的时候，现在我都初一了
小时候的记忆，每天都等着7：30看这个，几个小伙伴堆在一起看，
记得当年被零吓得睡不着
这里是梦想开始的地方，
男主角好帅觉得师点个赞
我今年28岁了为什么现在喜欢看动画片了？
当年超喜欢看的！记得最深的就是片尾曲！超喜欢
这是若森的开山之作，只看过画江湖的小盆友们。
你们喜欢看吗？喜欢的，帮忙点个赞
喜欢“侠岚，不良人，秦时明月，中国惊奇先生”的点赞！
挺好看，编剧有编剧的理由
觉的好看的点个赞呗！
这也太虚出幻了点吧，一个普通人在手上画一个，都可以去参加侠岚选拔吧
"我是孙子的时候，爱好看动画片
我是儿子的时候，爱好看动画片
我有儿子的时候，爱好看动画片
我有孙子的时候，爱好看动画片
我进棺材的时候，他丫的结局是啥…"
好看吗？没有看过这个，我喜欢画江湖可是没有结局，伤心
"重零
霸零
五败
七魄
三魂
穷奇"
归海 游不动喜欢碧婷 碧婷喜欢千均 千均 辗迟喜欢辰月 辰月喜欢辗迟
不好is打扰了，这个印记我也有
好久前的动画了，现在很少人看，都看新出的动晕了
开头…童年的阴影，记得小时候一看到开头就把被子蒙在头上
这种动漫太好看了，我爸都快40岁的人了都喜欢看。
追了好久好久好久好久
山鬼谣最后是怎么被洗白的
就这个配的背景音乐我也是醉了，一点不协调，一会忽大忽小的！真别扭。
看了画江湖之侠岚，还是这个侠岚有感觉啊！
童年的回忆，今天再看，不知道为什么有点想哭
奇磊看着就想打
侠岚是我看过的动画片中最好看的动画
仿火影 人物没火影生动 说白了就是技术不到家
盛开你的左手，如果你有5根手指，你就是个普通人
侠岚是不是画江湖。。
现在连续看6季的有没有 哈哈
第五季终于出来了，我等他都长大了
现在的千钧并不太帅。
怀念的动漫
好看，点赞，给我赞几个
小学的时候就在看，现在初中了就来温故。呵呵！
从以前的7：00少儿卫视到网络，一直都再追剧，很美好的童年回忆
这部剧太好了，每次失眠一看它准睡着！
被画江湖将要毁了的动画片
哎，每次看到片尾就有种沧桑的感觉，记忆最深的就是片尾曲
唉，感觉第七季不咋好，决定从第一季重看
希望国产动漫越做越好的，点个赞支持下
哈哈，有多少人是从风雨咒过来的呢？
又来刷一遍侠岚喽，百看不厌啊
我小时候看过 18啦又来追一次
为什么《侠岚》的辗迟15岁还这么小，辰月也是《妖神记》的聂离13岁就这么大了还有肖凝儿和叶紫芸胸都这么大
追侠岚追了近七年了，很好看，祝大卖
小学四年级就开始看，六年了啊！
这个剧里的所有歌曲给这个动画片提升了一个档
看完画江湖来的，就是这动画太儿童化了吧，10岁以下看的吧。
谁来给我指明一下顺序 先看哪部？然后再看哪部？
希望辗迟可以和辰月在一起
别问我为什么来看动画片，因为现在的神剧不敢恭维了～
重温儿时的记忆，真不错
好看好看，好看的说1
出来很早了，我记得，小时候，每天晚上7点，动画频道，守着电视！
在看第二遍的点个赞。
我还说不良人不好看呢，各有各的喜好，不想看的就别看
原来最喜欢的一部动漫。
12岁开始看的现在18岁了慢慢的童年回忆
为了山鬼谣而来。
不能引人入胜，墨迹，不看了
动漫，不错好看以前少儿频道看
看了画江湖的侠岚，突然想看第一季重新再看一遍
头上画个圈就是零了？
虽然已经追到画江湖之侠岚了，但是还是想回来重温
伸出的左手，看看手心是否有着这样的印记，如果有，你就不是人
最喜欢的国漫了！搞不懂，为什么有的人不喜欢看还要喷，不看不就完了！
追了5年的动漫。今年26岁
6年前，我回来了。初心未变
主角就是废物
辗迟他什么身份，表示完全不懂
感觉辰月可爱的点个小❤
还和以前一样 一听到里面的音乐就想流泪
片尾曲不管什么时候听都那么好听
摇叔变好了在从头开始看有点不适应
辗迟厉害但是他每次开挂，同意点赞，谢谢
还是不良人好看。一天看不良人，一辈子看不良人。
回来了 上前天看画江湖侠岚看完就后悔了 还是回来从新看一遍
重温重温 ☺️☺️☺️☺️☺️
