啊啊啊啊啊，这个系列漫画追好久了最喜欢的是唐默
又一部动态漫画，和看漫画没什么两样，纯粹是看配了音漫画。
超喜欢路边张三大大的《感谢你是爱我的》系列。最喜欢桃子啊！！
为什么这种会动的图片越来越多？……
为什么穿那么多？几级几分钟，为什么变成现在四分钟？从七分钟到六分钟，为什么现在变成成了四分钟时间实在太短了？能不能再加长一点？找到12分钟后
"额，这动漫真假
哎呀"
配音是真难听，毁形象
路边张三大大的系列都好看
片尾曲 All day in bed- Bang Bang/Zyke
国漫这是怎么了，越来越短，看着心累
！&#039;！！！天呐！！公主病
挺好看也
我丢，我已经看到那个酒店女老板和哪个小说作家那篇
每集结束的BGM叫什么？有哪位伙伴知道？
超喜欢这个哇塞不敢置信
唐默唱的第一首歌叫蝉女
拜拜 。
烦人！！！！好看死了！！！超级喜欢！！！漫画都看好几遍 怎么就出动画了呢！！！！太开心了！！！！！
快看漫画里的动漫，超级好看
什么时候来一个怦然心动阿
这一系列都很喜欢，从胆小鬼和马大哈开始，到现在正在更的蜜糖陷阱，张三大大真的很棒，画风也是我喜欢的，可惜这一系列只有四部，蜜糖陷阱更完了就没了，希望大大可以继续画别的漫画。
最喜欢的动漫，反复看了好多遍，看不够
这个竟然改编成动漫了吗！！
你他妈也配叫动漫多学学师兄多学学魔法师，特别的无语
⊙∀⊙！但是还是有待提高耶
女歌手唱的第一首歌是什么啊。
啊啊啊啊 少喜欢路边张三的
你要做动漫，为什么屏幕这么小！！！
片尾曲all day in bed
喜欢系列四。白牧之的那个
刚发现啊！！！天哪！
后来男主逆袭成了大帅锅，女主喜欢男主科，但是男主还记仇
我觉得蛮好的动漫还可以这么看，更新慢了点，好像感觉有点短，不过还可以啦
"很好看呢 小编加油哦！！！！！！
想要这种男友！！！！！！！"
陶哥她都跟你道歉了，你就原谅她吧！
超级喜欢这一对的
咋回事，第一个，我一发
这系列漫画好看，推荐推荐
哇哇哇 这个系列出动漫了。可喜欢了！！！😄喜欢默默哦
快看漫画 哈哈哈哈哈哈哈哈哈
这漫画在哪里搜的到，求好心人告知
我在快看，看完了🤔
快看里面的啊！哇塞，之前看过的
我也有一个死对头也姓卓
你们俩都是臭脾气
是不是这一系列的都能拍成动漫
公主病克星《感谢你是我爱我的》系列2重磅来袭，感受...
啊啊啊啊居然出动画了，鸡冻，炒鸡喜欢这部漫画
有谁知道唐默唱的BGM是什么吗？？？！！
嗯嗯，很喜欢很喜欢😍，虽然漫画看过了，但是重温一下也很好，很喜欢桃子的配音～
最后结尾那个歌是什么?
女的好丑，也很有病。
中国出版的漫画就是&amp;lt;搞事情&amp;gt;主要是好看，剧情有意思
歌声真的经验到我了，
男主好苏的声音。。。。
是国漫啊
特别喜欢第三个
啊啊啊啊激动超喜欢的！！！
啊……只是动态漫画啊……还以为是动漫呢……不过这个漫画确实很好看的！！！！
漫画看完啦，桃子和研究生的故事是最喜欢的
"求片尾曲
谢谢各位大佬"
片尾音乐是什么？啊啊？
表明这个动漫已经看完了
真的是超喜欢这个系列，尤其是公主病！！
我只想说，这动图弄的不错诶，比其他同类的用心多了，虽然有点可惜，如果出成真的动漫就好了
报到🌸🍀🍁🍂🌺🌷🌻💐🌴🌵
为什么放禅女这首歌啊
我来了，盖楼，盖楼……
虽然动态漫画也不容易，但还是特别期待动漫，还有，一直很喜欢《感谢你是爱我的》系列!
声音不好听 还是看漫画有感觉
啊呀，居然有动漫！哈哈哈～今天才发现！超喜欢这个漫画的说～
还是亲爱的公主病好看
卓迅老是想他一卓-豪
支持路边张三，超喜欢感谢你是爱我的
每段感情线都有认真追，现在也在追
唐默唱得第一首什么歌曲？
真的挺好人物设定我挺喜欢的
唐默唱的不是蝉女广播剧的主题曲吗？
这是什么鬼😳😳😳😳😳
超喜欢的系列漫！！！
爱上迅哥了。怎么都会。全是优点。
我去居然动漫话了(;-_-)ᴇᴍᴍᴍ
唐默的第一首歌是什么。
卓迅做梦是哪一集😏
人才人才，还可以这样😂
哇哇哇，居然出配音了，跟电视剧一样，喜欢喜欢
系列最喜欢66666
唉，这也可以啊😱
666！这真的是666的
就15集，好少我还要看😭😭。
最喜欢的一步国漫，不错不错
我只想说 这壁纸 是我的
这也就是个有声漫😥😥
挺喜欢这个漫画的……
先看评论在看看是否要看这部动漫已经养成习惯。。
哇哦，什么时候第一个故事也能出一个？
啊啊啊，我最开始追的是那个唐模它们
点出去，看到第一个人画像，果断退出
一共多少集。
路边张三的漫画，每一部都无敌好看
