我记得是4年前还是什么时候，我就已经看完了，
其实国漫配音是个硬伤 怎么都改不过来
喜欢的动漫总是不更新，喜欢的人总是没能在一起，
制作团队不行啊，好几年了还没有第二季
"全
全12集了，才更新一集，肯定都没了。"
有谁是看完端脑来看死亡编码的？
不比日本动漫更新的快 还不比日本动漫好看
求更新，国产新的起点
一句话。支持国产动漫。
中国的动画永远也进步不了的。这是事实
都两年了啊！亏的我不是两年前看的……不然花都谢了
是不是被请去喝茶啊？都几年了，一出我就在追了(●_●)
推荐动漫《理想禁区》
国产新希望:秦时明月，侠岚，星游记，中国惊奇先生，尸兄
几年了预告片
哎，两年了，还不。。。。
我已经等了五年，，，，，，
更新了五年 也没更新出来，表示不看了
我都不知道我等了几年了
全12集更新到13集是真的异变了吗
哎，我又看了一遍，希望未来能更，我让我孙子在我坟前给我放来看
为什么不管什么样的漫画都一直不更新，哎，有什么难处吗？！
听说这个动漫团队解散了是真的都5年了
更新能不能快点啊大家顶我上去
有生之年怕是等不到第二季了
很喜欢，我支持你们，需要什么我可以帮忙，敬我微薄之力
太断了，一共五分钟，光听歌就2分钟，短的可以啊！比尸兄还要短
有生之年，终于等到更新，18年6月21日
什么时候更新啊？好期待啊
国产垃圾，已经停止更新了。
千万别向尸兄一样
初中看的，现在高中快毕业了
什么时候第二季啊我等了几年了
2014年等到现在我不想说话了
TMD没有第二季就别出第一季，吊人胃口，辣鸡动漫。
为啥不更新了，为啥为啥为啥，那么好看
怎么还不更新啊，等死了都
唉，还能更新吗？我很期待呢等了这么久
玛德，什么时候更新？？？
为了赚钱还没实力，只能搞短片维持下去，真是好笑
3年了还不出第二部……
咋不更新了，奇葩的国漫
快出吧，好几年，审核快过
国漫就是好看
刚来就有一个女的死了
支持国产 即使没日本的好看 但我还是喜欢
不会更新了，过不了审核，导演自己说的
这画风…………受不了啊
求更啊 等不起了 。
第二季等3年多了，还没出来么？剧情挺不错的，也挺期待的。
今年第五年了！这几年翻看多少次都记不清了！什么时候出第二季？？
一万年了 还没出第二步
2013年的作品，到现在才13集！有点
什么时候播第二季
别想了2013年才才更呢现在更不可能了
我都等了三年了，为什么还不更新
没记错的话，我等他更新怕是有四五年了
我要第二季 第二季什么时候出啊
2013 现在2018你们是想怎样啊
五分钟的动画片，好看是好看，就是太短了
好看 大家多赞一下，帮助导演嘛，就能快点更新了
他们好坏！
18年了。还不。更新
都2年了，还不更新啊
中国的也有好看的血腥的动漫
更片的不会死了吧！！！！！！
好看唉，能不能快点更新？拜托啦
看好几遍了，哎，支持国漫
我想问一句，小编是不是疯了。都三年了，还不更新
第一季那个是谁啊，同步作文
叶音一呢？，我怀疑他是个配角
555~，还没出。。。。
为什么现在不能启动死灵，后面的呢？？？这是个坑啊
我就想知道什么时候出第二季…太想看了
五年了 等了你五年但 始终没有消息 死灵
什么情况啊 一直不更新 破产了么
我从毕业等到现在，还没出第二季啊
国产真是服了，作者被动漫吃了？
这个动漫，12年还是13年就出来了，放心吧，不会更新了。
总是这样，更新到一半就不更新了。害得我去漫画上去找结局。
第二季什么时候出来啊？
好短啊
厉害了，5年了，才更新这些吗
"五年了，哈哈。
会一直等下去的"
快出第二部，我都等了很久了
大学都毕业两年了还没更新
自己创做的游戏都没作者权限吗
额。。。。
可以呀，但是有点太多了
几年前就更到13集，现在还是。。。。
这个团队。。。不会没有第二部了吧！都不知道等多久了
很好看的国漫 新高
"好久继续更新啊
。。。"
什么时候出第二季啊……
大太阳太阳一样完美收获自己
这女的，胸也太大了吧
第二季什么时候可以看啊？
我什么都不求只求更新快一点
看见五分钟我就进来说句话就走，直接提不起兴趣看
什么时候更新第二季？？
