结局是小节死了，少帝做了和尚，大哥在雪峰等小节到老
，我觉得最好看的只有狐妖小红娘，支持狐妖的点个赞。
求赞5次！做任务[可怜][可怜][可怜]
艾玛，我感觉结局不好啊。为什么？
为什么结局是小节牺牲了，结局一点都不好！
这就结局。那没后续了。
国产动漫就没有长的吗？ 哎
很好看期待第二季看好你们
大家看过《狐妖小红娘》吗少帝长的像东方月初唉！
好看吗？这是我第一次看
结局看得好想哭这么感动，还不给多一点剧情。
少帝太勇敢了
貌似小结死了，少帝还活着
"东郭小节明明长这样的
果然动漫毁漫画啊"
什么时候出第二季？？
女主和绿人上天成仙了？
东郭小节 第10集 东郭小节：英雄大会
谁是男主啊？，求告知
只有我是为了杰大来的吗？
每部动漫都是皱正宇出品
看就好好看，最讨厌看了以后又瞎折腾的，有能耐自己去画啊！嫌懂嫌西的
草，卡死了，一直卡在同一个地方，好想摔手机
太次了，垃圾玩意 。什么破玩意
太好看啦吧太66666
漫画挺不错的，漫荒的时候可以看一下
少帝好色啊！
很好看
妙，妙极！善，大善！
结局有点迷糊，东郭小节和少帝是回天宫了吗？还是一起成了神仙。
国漫都是漫改的漫画都比动漫快，但漫画一般都要花钱的我。
什么时候出的啊，都不知道
东郭小杰居然有动画！！！
好看吗？我觉得不好看
为什么和妖神记里面一样都有妖神宗呢。
国漫都是漫改的漫画都比动漫快，但漫画一般都要花钱的我。
和狐妖比真的好垃……
大结局应该大哥和小节。在一起
希望大结局小节和少帝在一起
这样她老妈不会饿死吗
谁能告诉我一下八苦都有哪八苦?
"毁原漫系列
……………………"
结局说什么好呢，草了特么了
这部算不算一次把屁放完了，还有个结局
好看，一开始还不觉得，后面感动哭了
这个好不好看
可以的，非常好看，，，
冲着阿杰老师来的
？？？？？？？？？？不堇
第一
第四集带上项圈就烂了
绘梦出来的，期待呀。
有猫腻吗？，，，，，，，，
女主好丑啊，恶心。。。。。。。。
尼玛讲真心话，国漫我就没看过有一部结尾的，而且更新还TM特别慢
，，
这个很好看的女主很漂亮而且也是我喜欢的古风动画。
绘梦真心良心做啊
画质不错，但剧情不丰富
不喜欢女主，太做作了！感情一点都不真实真自私自利～心疼少帝和子轩
主角是女的，有点接受不了
什么乱七八糟的这么容易就挂了？？逗我呢
少帝是僵尸吗？
太难看了，故事情节杂乱，难看的动漫
挺好看的就是没有结局
最后那个是甲虫人吧！
两种颜色混合在一起的时候，像不像鸡蛋清和黄？
最后结局没看懂是什么？
师尊好像白子画
真他妈好看，什么时候出第二季。
骚安勿躁。。。。。。。
出第二季哥好不好，我喜欢看，漫画有点看不懂，所以期待动漫了
有第二季吗？真好看
这个特效是真的菜。我也是醉了。好看是好看。就是特效给零分
阿杰和边江配的音诶！
正片和pv差别好大。
象的有可多了
女主的声音像《叶罗丽精灵梦》中陈思思的声音
"好看吗大家
评论一下"
我想看镇魂街。想看的。赞起来！！！
为什么主角总是那么废而且爱出风头，不顾别人自私
兄弟出来，说说，有没有第二季，可否
女主好漂亮
小节的母亲比她好看多了
难道病人不需要吃喝嘛
接受不了
没男主？。。。。。。。。
""
还看
第一季不可能就大投资，就像狐妖第一季一样
唉╯﹏╰，我还是去看漫画吧
8苦才3苦，结尾也太烂了吧
第二季好久更新上来？
好看不？？？？？？？
？555666523
少帝他的功力什么时候能还给他
谁发个视频照顾我们下这些穷人
有人推荐好看的动漫片吗？
发换个风格换个风格解决方法哥几个
边江大大的声音真好听呀
这个画风其实也不错，期待。就是更新慢
