中国的东西日本造，连tm的嘴型都是日语的嘴型
一看全是日本人画的，就没看的心情了！
你们注意下衣服，是日服，而不是汉服，让日本来做画的后果!
一看全是日本人画的，就没看的心情了！
来来来寄刀片1/1000组队。
希望明年的这个时候我能看到第三部
为什么不更新，以前不是说今年更新？不讲信用？
11集？什么鬼太慢了。我真想打死作者
王忠是男的女的？怎么看着半男半女呢？
为什么还不更新啊？什么时候更新
爸爸妈妈们可以给我赞吗
终于看到动漫24分钟有20分钟的动漫了
期盼第二季，感觉比大部分十月新番强好多。希望良心依旧！
王陆的弟弟叫王也，将来是个道长。
不好啦，不好啦老爷，导演死了
为什么不更新了，，，，等到花谢了
还没有更新 好失望
提示更新，我还以为第三季出了。。。
要开学了，还没有写完作业。
有怎么好看了动漫说一下
一年没更新了啊啊啊啊啊啊啊
这一季的画风和第一季差好多，剧情也不好看，怎么回事啊
我推荐几部 《夏目友人帐》 《一人之下》 《灵契》
怎么还不更新都快好几个月了
什么时候出第3记啊，这电视剧我等了很久了。
谁顶我过年发大财 身体健康百岁！
快更第三季，求，作者快更
王富贵？（没看过狐妖小红娘的请忽略这条评论）王权富贵的转世？王府的少爷？富家子弟？蜘蛛精清瞳的情人？白月初的“监视人”？是他吗？就是他吗？他怎么变得这么老？（各位注意，我要开始胡扯了）哦，我知道了，他最后和清瞳结婚了，还生下了一个名叫王贵的男孩，因为遗传的因素，他头上也有一个红色的标记，他后来创建了灵剑派，后来加入长老会的长老们除了王舞都因崇拜掌门王贵而纷纷在自己的额头上印上了不同的印记。后来的剧情我就不详述了，总的来说就是灵剑派慢慢扩大，甚至还加入了异族修士的过程。后来，王富贵和清瞳一起在彗星陨落之时生下了王陆---那个转世的灵魂所寄托的肉体。他额头上的标记就不知是从何而来了。因为这个印记有可能是遗传清瞳，也有可能是灵魂自带。后面才有了《从前有座灵剑山》这部动漫。狗血的是，最后王陆还拜入了灵剑派，成为了王舞的徒弟。更有趣的是，她们的
我看到了国产动漫的希望咯
我都看完了这两季
什么时候出第三版我都等了3年了
快点什么时候可以改时间成一天一集
非常好看，希望快点更第三季，很期待
期待第三季！！画风已经不是我要追这个番的重点了，剧情很棒。
第一部很好看，第二部就不太可观咯！
我的帖子就像未成年的少女，从来都没有人顶过。
我第三季怎么还没出？是被作者吃了吗？
哈哈，笑翻了，助于小孩子早熟！！！
已经大结局了吗？还是作者死掉了？
更新太慢了，赞同的点一个赞
顶我上去。第三季还出不出啊，
我就想问下，，，第三季什么时候出来
18年了可以更新了吧
搞笑的小说～
所以这是鸣人之后还是之前啊
从前有座剑灵山没有第三季？
谁是女主呀？我都看迷糊了！
仙侠类的故事，却不是仙侠类的画风，这一点就很失败
我还以为是第三季呢，就跑进来了
等了这么久了，怕是没有第三季啦！烦躁
希望有生之年能看到第三部部。
所有人都变丑了？？？这什么画风，男主不是一半的丑了
女主是谁呢？哈哈，求解！
挺期待第三季耶，男主不是一般的帅哦。
这都等了半年了，怎么还没出 难道没有第三季了吗？哎
什么时候更新呀，我们都等不及了，同意点赞
这个不是国漫吗，怎么有人说是日漫啊………
到了第二季是换导演了吗？为什么画风和剧情完全不一样了？？？
18年该更新下一部了吧，导演
不行了(▼皿▼#)，第一季跟第二季相差太大了，还我帅气的王陆啊！
什么时候才出第三季啊
感觉王陆小时候比较可爱
第三季什么时候出来啊？
五长老去哪了。好喜欢她的骚骚的
第二季怎么没有第七集？
这是第三季么？求解！！！！！！！！！！！！！！
第二部画风完全崩了是什么鬼？难道不是同一个制作团队吗？
(►˛◄’!)
女主是谁？？？？？？？
发现一个严重的问题，第二季，我居然认不出王陆了。
""
从前有座灵剑山第三季才是真正的开始
女主竟然是王舞，哪里配了？？？？
第二季。。。这也。。。哎。。
女主是谁呀，王陆最后和谁在一起了
狐妖小红娘王富贵跟王陆长挺像的，少了一个眼镜。都是金色头发
！好他妈想李白的衣服
期待第三季 真的很不错
勉强可以
第三季什么时候更新
杨敬华端木熙还有叶修还有东方月初
坑爹啊一级都不出了这是什么鬼啊！！！
不要说不好看，看久了就习惯
想要更新3季的请按赞
第三四季呢 什么情况吖
这部电视还有现实世界的语言啊？
这部剧告诉了我们论配音的重要性
第三季 能不能出了
王陆的衣服上的红边变化了，没那么细致了
感觉和第一季内容脱节的太严重了
第一第二，风格不一样。
有没有人是为了不看广告来刷评论的
哈哈，太搞笑了这部动漫。
为什么不更新快点啊！
王舞都没有第一季那么漂亮了，希望第三季可以变得漂亮一些 加油吧
惊奇先生赶紧出第二部还有第三部。狐妖小红娘新篇章给我出来，灵剑山也是，全职高手也是
我都等一年多了 大家别等了
我喜欢看黄色，同意的点赞
呦呦呦呦。师徒恋。。。。
这？？？？不是早就有了吗，第二集都完结了啊！！！这为什么又从更了
