好想看第三部啊，穆炎太帅了，要是有个吸血鬼宝宝就好玩了
还是喜欢第一季的女主
真不明白这季的女主是怎么当上的，明明第一季的时候还是同桌
爱穆炎和凌弃，希望能出第三季
喜欢穆炎，喜欢的点个赞
为什么楚离不是楚漪菡和子煜生的啊
大爷，你太敬业了。。。
希望第三季男主还是青桑，女主换人
哇，我家小梦怎么那么帅啊。
要我说，这一部是吸血鬼里最好看的一部
"满月夜，狼人之牙和结界更配哦~
"
女主是第一季寻的同桌，同意的顶一个
成都拍的。。。。支持
为什么最后炎出现了呢！难道他没死
如果如果没有小梦，那这部剧的收视率……
美好
第一季女主比第二季好看
好帅啊
黑天工作室的各位大大，辛苦了！大爱你们
我喜欢小梦和百里星夜？好像是叫百里星夜
里面的都好帅 演技很好 结局 有点遗憾吧 集数太少了
第二部跟第一部怎么没有联系了？
小小白呢，难到我脸盲症范了。话说小梦好帅，也美
这胡子拉碴的男的，第一季里好帅的
喜欢小梦喜欢小梦喜欢小梦喜欢小梦
"好喜欢小梦，太妖孽了，演技也不错,有多少人是为了小梦来的啊？"
男主角和司徒穆炎好帅
真的是什么都知道
比第一部的好看多了。
好好看啦！太喜欢凌弃了
剧情不错，就是不能下载后再看
帅
这是我看过的最好看的一部吸血鬼电影
我已经看了N遍了，可就是看不腻，喜欢公子青桑和小梦
对呀！我们很想看第三季导演什么时候去播呀？
好难受啊
有没有第三季啊？希望有第三季而且还是原班人马
都好帅呀，真的太帅了，
还希望穆炎不死第三季播出
这个表白 我的小心脏啊，受不了
喔这一季的女主跟男主都好看比上一季好看
被凌弃圈粉了，太帅了
有木有发现女主好像是第一季里寻的同桌
这个公子青桑好帅，这个男人真的好帅，真的，真的，真的，真的好帅
太帅了
我更喜欢第一季的女主！
穆炎好帅，喜欢的点赞哦(⊙o⊙)哦
为什么在动漫分类！！
10集结尾 应该是托维把慕炎救了
表白山爸，特意来看山爸的，结果戏…真少。
吸血鬼的唾液能催情。。。
好好看，如果有第三季就好了
已经看两遍极夜物语了 小梦和青桑都很帅 希望看到更多你们更好的作品
我看了半天，我以为主角是凌弃，我最后才知道是子煜
为了看小梦和山爸，而来
演技太差，不容直视，女主演技真的是，演技都太差
凌弃好(✪▽✪)帅！！！！
这里好有范，帅，迷倒千万少女
希望有第三季！会一直支持！
他们两个人终于在一起了
哇塞，有木有感觉男主(凌弃)很像张艺兴~
穆炎不要死T_TT_T
好看的，希望能有第三季
再来个第三部吧第三部第三部
帅
喜欢男主角，喜欢炎。
想看吸血鬼片啊？橘子果酱这部电视剧挺不错的
女主真丑
好喜欢公子青桑啊！好帅啊，
女主不是接受初拥了吗为什么没有变成吸血鬼
还不错，不过更喜欢第二部
公子青桑，大爱，帅帅
吸血鬼好帅，演员点赞
女主也在第一季出现过
已经看了一遍了 为了男主又来看了
超喜欢凌弃和炎，凌弃超帅的
为青桑而来
跟第一季的女主不是一个人，喜欢第一季的女主
吸血鬼男友最适合杨洋演
为小梦而来，小梦太帅了
我希望第二季还是楚漪菡
男主好帅
不知道你们有没有发现第一季有第二季的女主出现
男主长的好像张艺兴希望他们有情人终成眷属。
第九集表白超虐！！！
非常好看，有没有第三季
这个女主角是第一季第一集司徒寻的同座
穆炎好帅呀呀呀呀。&gt;_&lt;
有，第二季的女主是楚漪涵的女儿
其实我只想知道这个主题曲是什么，为什么找不到阿
这部片子还行ლ(╹◡╹ლ)
我是来看我家小梦的，我家小梦最帅了。
司徒穆炎最帅。
好可怜的大叔啊。。。。你可以换目标啊比如她的女儿，反正你也不会老
""
第一季中 寻 的同桌，竟然是第二季的女主角，楚离。是人手不够吗？
好配
这电视剧挺好看的，赞
这个是动漫吗？不然怎么在动漫频道里，还是顺我对动漫有什么误解？
还是第一季的女主角好看
