说句公道话，大家有没有在等广告的时候看评论打发时间，有的话↗
鲁一雪你每次说不会告诉别人，可还是告诉了我们。
我也是深深地被此剧折服了，佩服一雪啊啊啊
谁能告诉我为啥没有第二集
無？中国队！、！！！！！！！？！、！雷霆这、、、、秧歌剧、、重大事项和减：，
把广告删了吧
这部动画片我都追追了，两年了，为什么还没更新呀？
""
不错，挺搞笑
大神经病了
知识改变命运。
哈哈。好好玩
你们一天看几集呀！看十集以上的点赞，看四集的评论，谢谢！
怎么直接第三集了？什么鬼？
我同学有一段，糟糕的回忆。有一次她不小心摔倒了，被一个男同学扶起来，然后他又一次摔倒了，又亲上了。
广告比剧情还长的感觉，
好变态的感觉，真的超级变态
我去，逗死我了，真的
诶，有谁知道一二级都跑哪去了？
怎么没有1.2集呢？
太搞笑了还很好看
好黄好污
一雪的表妹是认真的吗？
现在是2018年10月3日。未更新
挺喜欢这个的
这就是一个爱装B女孩的故事！
"不好笶，不好笑,一万个不好笑"
她有很多第一次
……不更新了嘛？？？？？？
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
21集呢？
送第五皮肤，金皮，喜欢的加我第五，小仙女离墨
看第二遍的赞起
傻逼
就看不了多少。有没有郁闷
太能装了，看的我丢想钻地缝
一雪❄️有过很多的第一
好几年没更新了吧。。
真逗，导演我挺你
我二星期更新一集
这是要被笑死，
你们一天看几
广告看得好好的，蹦出个正片
导演我佩服你，，，第一次进男厕所，恶心。。
都是演的尴尬的事情
还第一次呢！怎么不说你第一次见红呢！
多久呢个月经验证码n帮他说过去除了你的切没有那勇气
我信了
更新太慢了
梦见你们的爱旅行者相册密码&#039;
学生发放幸福的人多烦人多色儿
希望你改长一点。。。。
羞羞又嘿嘿的礼物
每一集都很牵强，
哈哈我要打包
我第一次看到好好看
太坑了吧
一雪真的太美了
为什么还不更新，我都等好久啦小编在哪，
为什么没有1279
最烦吸吸冰的广告了
好看吗？[抓狂][抓狂][抓狂]
儿童健康生活
好看[憨笑]
说好的一周双更呢？真是欺骗感情啊！
笑死人了
一雪出糗
装尼玛逼，sb女
沙发
不错的一部片子，可惜时间太短了，还有更新速度也很慢，一周只有两集[流泪][流泪][流泪]
大爱一雪
这么好的视频在内涵段子里居然没有赞
一般般吧
呵呵
可爱
内阁府
这什么狗屎东西
好好好[呲牙][呲牙][呲牙][呲牙][呲牙][呲牙][呲牙]
看了两集实在是看不下去了
什么时候出第二季呀？好好看呐，我还想再看呢
"快更新啊，，！
"
哈哈:-)
好装逼
呃呃
装什么装
真大的鸡
"木有图片的吗
西餐中餐都是有图片的啊[流汗]"
为啥只有57集？
""
[吓][吓]
我也是醉了
帅了！
第二啊
大小星星少多力还有少毛
我也觉得，一雪太可爱
""
Hbibin 
真是太可笑了
嘿嘿
哈哈
