还有客串演员啊。有看头。就是太短了。能否长点？姐喜欢长点的。嘿嘿
😳竟然是他，怎么想也没想到，哎妈呀这剧情
叛境侠岚才是真正的侠岚，玖宫岭的侠岚都是被假叶控制的
弱弱地一句，辗迟还是不是男主角，辰月还是不是女主角
好喜欢这个混沌
混沌太强大了，一下就把裴左种在地下了，哈哈！
这部侠岚就像制片人的JJ一样短
内奸应该是颜如婴。没毛病
挺喜欢混沌的口头禅就是弱鸡，哈哈希望混沌镜头多点
必须是魔道祖师！道友们在哪
斩 迟很喜欢晨 月在死亡之前还想 的 晨月支持的请点赞
想看看，不看拉倒，七八分钟怎么了，你们只会喷国漫，那些日漫不见得又多长啊！而且还有三分钟不到的，你们这些喷子去喷啊，去催啊，不都是一星期一集吗就你们这些没得脑袋的人会无脑要求国漫，喷国漫，你们是国人，就请不要黑国漫，谢谢！
一集下去有10分钟？说来说去不知道要播什么，这一集的内容辗迟救了他姐姐。不想说了，以前的侠岚，那叫一个回忆，那叫一个经典
刚看完风雨咒过来，好看吗？这个…
真的是醉了，从最开始的7月13号推到7月20号，又从7月20号推到8月3号，这样真的有意思吗？既然后续工作还没处理好就别瞎报日子啊！说白了你就是对观众不负责对粉丝不负责，而且现在正片占的时间不足整集时间的百分之四十，还有意思吗？若森你变了，这样做你只会掉粉。好自为之吧
我只想说一集21分，2分回放，3分片头曲，5分片尾，看个毛线
竟是游刃万万没想到。
一集22分钟，去除片头曲和片尾曲，现在又加上中间等我游戏广告和开头电影预告和片尾预告，还剩多少正剧？真是够懒！
真的是重磅惊喜啊！侠岚！我等了你好久了！来来来，快到碗里来～
你们知道混沌厉害呢还是穹奇厉害啊？？？
侠岚1到7季全看完了的小伙伴冒个泡
果然是混沌
山鬼谣太帅了！大爱！喜欢山鬼谣的赞起来
混沌那傲娇的小 表情，太萌了！这说话的语气太有意思了 ！我越来越喜欢它了。。。太让我受不了了！有么有人喜欢那么傲娇的混沌呢？！简直萌翻了
同意楼上的是猪的，戳我
一级差不多12分钟，你怎么说不更新了？为了个游戏强行给角色安装武器，你他娘牛啊。我都不知道怎么喷你。。辗迟还需要美化，丑妹不能恢复以前穿的整整齐齐干干净净吗？你若森以前是我最喜欢的现在你跟玄机的差距越来越大。
辰月越长越漂亮了诶。
展翅：不行 不能给千钧😂😂
看了风语咒来的，还有人吗
凶兽出来就是不一样 不是上古无极都是弱鸡
没什么看的了，6分钟的广告，中间还穿插一些 10分钟剧情。若森真的越搞越令人失望 以前的侠岚，回不去了
求你们先把换世门生第二季出了吧
颜如婴就是辰月？。。。。
看了预告弋痕夕应该是卧底他的手上的印记是画的
我想说辗迟能跟穷奇和混沌打的人，现在怎么变成弱鸡呢？
有喜欢山鬼谣的吗，有的话都来赞一下呗
侠岚变了，主角换了变成丑妹了。如果是辗迟的话都第四集了还不出现
好想好想养一只来玩玩 好可爱呀 受不了啦
