什么狗屁动画片，毁三观，真恶心，大家看看疯狂动物城之类的动画片吧
希望我孩子出生前可以看第二部，毕竟我现在还没有男朋友
堂堂泱泱大国的神话让一部动画搞到崩塌也是棒棒哒。。。
伏羲是男主吗？最后一集才出现不到3分钟还男主个屁，支持二哥是男主
感觉日本动漫的味道，到底是哪国拍的
什么时候出第二季啊 好想看
好美
什么狗屁结局啊！一上来就抢老二的女人不服啊！
希望杨哥与小小最后在一起，同意的点赞。
去掉开头和片尾，谁能告诉我，两集加起来有10分钟没？！
伏羲牵女娲手是的表情意味深长啊，他应该喜欢风小小吧
第二季设计的时候能不能把现代的伏羲改一改妆容。。。。毕竟是男主
以前看的不用vip的 为什么现在要vip啊
二哥无论声音还是长相都比伏羲好！喜欢二哥！！
二郎神那一脸不舍，吃醋的样子
女主就这么随便的被出场十几秒的男配抢跑了，可怜二哥
cp我站的二哥跟女娲……这个结局什么鬼???
确定伏羲男主？最后一集出来！还没我二郎神帅，哼哼哼╭(╯^╰)╮
这个是有小说的有结局哦
国漫加油！现在国漫已经进步了很多啦！大家多给国漫一些鼓励把！
我倒是觉得女娲和二郎神挺配的……
看见了二歌忧伤的眼神
她真是女娲吗？怎么还有尾巴。
有第二季吗？伏羲还没露面呐！
劳资喜欢二哥和女娲。
伏羲，华夏民族人文先始，三皇之一，亦是与女娲同为福佑社稷之正神。楚帛书记载其为创世神，是中国最早的有文献记载的创世神。风姓
小说说的是二哥和凤姐好了嘿嘿
同意女娲和二郎神在一起的举手
一个结尾崩坏了全部动漫
妹的，弄地我怀疑地看了看集数，，，呵呵
我喜欢这个，我不喜欢真人版，动画版好看，同意一的点个心！
男主好惨，刚初场就一整季就完，之露了个脸。
不出第二部啊，她跟谁在一起
太快了
来第二季啊拜托啦[流泪][流泪]
留个言，30集已看完
这什么鬼结局呀，女主被出场不到3分钟的伏羲拐跑了
这是动漫 不是动画片好吧 你想看动画片去看熊出没之类的吧 谢谢
求更新，都一年多了，为啥还不出第二部
我也希望有第二季，啊，怎么就没有了
刚刚出来的时候不是vip我都看完了
心疼二哥啊，太悲催了吧。。。
讨厌这狗屁结局！诶！明明二哥那么好，非要去跟伏羲。
还没看，问个问题，短发是男主还是长发是男主
这男主出来的可真真的早。。。。
什么时候出第二季
希望有第二部
小小还是和二哥配。这是现代又不是古代
作者你怎么不写下去呀！同意的点赞
全是日漫风格，中国的神话就不能做成中国风吗？
希望二郎神和女娲在一起
配音好烂。剧情无聊，，说完这句话肯定有一堆人骂死我
男主才刚刚出现就没有了，，，，
好好看呀，可惜没有VIP。
有第二季吗？第一季不完整，还想看伏羲和女娲后来怎么样了呢？
为什么不能和二哥在一起？
什么时候出第二部？还有伏羲什么时候可以看见真容
我要第三季，要第三季的给我点赞
为什么只有30集
伏羲也太帅了吧！希望有第2季
只有一集免费
就只有30集吗？就没了
我就问你还更不更新了，从初中等到现在
这结局看得劳资瞬间就懵逼了，导演是不是脑子瓦特了？
只有我喜欢二哥和小小吗
这衣服咋烂了又好了又烂老
我想二哥和女娲在一起
有人跟我说如果女娲跟上帝在一起要不要补天了，666666
一个小时不到就看完了，能不能长点
我感觉在这部动漫里女娲与二郎神更配
我擦，伏羲的脸都没露几次，希望出第二季
第二季还没出啊啊啊啊啊啊啊
李长，就是伏羲？我特？瓦特，瓦特？
什么时候出第二季？？
我是看过小说来的，这动漫应该有第二季吧
伏羲刚出来一集就结束了还是不是男主了
没有第二季吗？
希望有第二季，挺好看的，就是太快了
二哥好可怜，我想让他和小小在一起
可怜的曦哥，你只出现了那么点时间，还没作为配角的杨二哥出现的时间多
我只想问一件事谁是男主？是二哥还是风溪
有没有第二季呀，几月几日呀？
以前看过，现在居然要VlP了！
什么时候出第二季啊，等了好久了，动漫不错
伏羲身为主角，前25从未出境
第三季什么时候可以出来
这都第几个年头了，我已满头白发了。在我永生之年——导演啊！就出第二部吧！
想吐
我讨厌这个结局
唉！最后一集也不怎么样啊！唉！什么时候有第二季啊！
散发着泥土的芳香。。。。。这味口是有多重
伏羲拉走小小的时候，二哥一脸不情愿
女娲和伏羲好合适emmm星星眼哈哈哈
太短了，不过是我见过最美的女娲了，有没有同感
什么时候出第二季，太好看了
总是觉得女娲和二郎神很配
我去，我一直以为二郎神是男主呢
为什么我希望她跟二哥在一起，太有爱了。
噗哈哈哈哈这应该叫女娲传奇之寻老公 哈哈哈哈哈
国漫啊！为哈要vip
