人物皮肤就不能白一点吗问题还那么丑 跟个大妈一样
还是觉得不良人好看，人物画面都是很棒的。
故事画风都可以，但是人物设计师是未成年设计的吗？
人物太好看了 我的眼睛瞎了 求治疗 我应该找谁给我报医药费？？求解
有什么好看的动漫推荐吗？
为什么这部动画没有更新？
人家老早停更了，大家别黑了。
不是说好的星期五11点更新一集的吗？骗子！
你们不会不知道吧？这动漫已经被封了
求快更新呀！这也太慢了吧，能更新快点好看呀。
人物太死没有表情 制作也不是很好
几年了还是8集，各位，导演已归xi，大家别指望更新了
好吓人的动漫人物同意点赞
我得赶紧找个老婆然后生个儿子然后让我儿子赶紧要个老婆给我生个孙子然后让我孙子来替我看完这部动漫
什么时候更新啊都大半年没更新了，看着很烦的
"丑男配丑女
新手画的吧"
就是的啊？怎么还不更新啊？
觉得更新慢的给我点个赞
求快更新呀！这也太慢了吧，能更新快点好看呀。
这明明是黑蛇 ，还我们白蛇
都几年没更新了，公司是不是破产了？
国漫还在起步，已经不错了
我要跟你们说几遍了这个动漫不是不更新是被封了
啥玩意，到现在都没有更新完
这些人物就是现实中的美女，化妆也就这样。漂亮的是加了滤镜的
这都过了一年了吧，还每周五跟新，打不打脸啊
刚开始听音乐觉得挺好，但一看到男女主角，就妈妈呀，我点错了
人物好丑真心丑！！！
个个都像包头鱼的眼睛一样
人物丑的有些过分哈，下不为例额
星期五更新？？这点诚信都没有？
卧槽！！！古代还有高跟鞋！！看到的赞起……
大家都别指望导演更新了
几时更新，又tmd是不是骗人的？
啥时候能更新这也太慢了
怎么是千岛湖，怎么说淳安啊
毁经典啊？人物怎么会这么丑！丑啊！！！！
多长时间都没动静了。
丑哭了，还能再丑点么
没有一个漂亮的女人，哎╮(╯▽╰)╭没看头
是不是骗人的？tmd几时更新？
画风不好看，有待改进，主题曲不错很好听!
没有观海策制作好没看头
这是白蛇传吗…………
更新的人人是不是找不到路了
人物形象设计太丑了！
好奇心让我点进来，求胜欲让我退出去。
这个设计师脑子有问题人物又黑又丑
狗屁，更新呢？一点信用都没有吗
是不更新了上一年就了
这怎么到现在还不更新？
66666好看太好了
这男的真他妈的六
画风真烂明明一副老太太脸还说是本姑娘看了一分钟就看不下去了
人物画的不怎么漂亮m
不看看这都多久前的作品了，都是人的辛苦产物，这么杠
为什么那么多年都没更新
人物刻画的有点不符合，不够，男主女主都不好看，
三年之前我在这儿看的。到现在为止还没更新。
设计师真丑，咋个想的哦
断编了，各位，所以别看了
这公司倒闭了
两年不更新了。，已经死了这个动漫
和雷锋的故事同一个团队做的吧
我去，等几年了还是8集
这动漫不更新了，，，，，，挨
这么还没有更新啊？快点更新啦。
这不是白娘子许仙吗，……
导演走了都不通知下大家
太丑了吧，女主，动漫也不找个漂亮的
这千年寻N年前就已经挂了。！
丑是丑了点，不过一看就知道绝对没整过容
这不都是骗人吗，每周五更新，我等好几周了也没见更新
情节不错，可惜人物，，关凭这一点我给差评
就是，太老了。一点都无可看之心。
我被骗了，呜呜呜……还我白素贞
六年都不出一集，是不是不在了
一开始不好看到后面越来越好看
怎么不更新了 导演死哪里去了
为什么动漫都更新的那么慢
斗罗大陆比这个好看一点点
靠！这是谁选的人物啊，怎么是个老女人啊，第一集就让我失望
人物脸貌太失败，里面角色太丑
不更新了，还放放什么东西啊，不要放了
为什么不更新了，什么时候更新啊
这么差的画风敢拿出来播。
几百年不更新一集，我从两年前都开始看了
太TM丑了
太黑了吧！这个小白龙
斗罗大陆更新慢的很 第三部视觉效果不好
这脸跟声音不搭呀，声音萝莉，脸大姐
公司倒闭了吧
为什么不更新了，我要吐槽，哼哼
太丑了，又黑哦哦
支持不良人，千年寻。。。人物能不能画的精致点。好样衰
人物好丑，特别是女的
蛇整得像条龙一样；还把男女主角设计得那么丑。
任务皮肤变白些就好看了
顶我上去，国漫需要发展
真的画得有点儿丑啊
