为什么不出第二季啊！真的是一部好动漫，很好看非常喜欢。
导演，主边，第七集被你们吃了吗？
三年了，还没更新，作者死了吗
还有多久更新第二部啊
第七呢 被吃了？
更新更新更新更新更新更新
不得不问第七集去哪了
就这样？没有第二季吗？
一年了，等了一年多了，怎么还不更新？
才12集，什么时候更新
就我一个人发现没第七集？
一年多了，什么时候更第二季啊
我说你特么把第七集吃掉了是不是？想气死人是吧
第七集哪儿去了？我要看。呜呜~~
第七集去那了？
叶秋的配音
待我国漫崛起之时，定是日漫滚出中国之日。
动漫男人好帅吖，等了一年了还不更。作者死了
衣服的质量不是一般的好啊
为什么没有第7集啊啊啊
哎呀卧槽！第七集呢！！！！
配音像全职高手里面的叶球。
很喜欢这部漫画，不知道拍动漫会怎么样，千万别毁了啊
""
我就问问，什么时候出第二季
有什么好看的动漫？？？
啥时候出第二部啊，，
这个没有第七集吗？还有好看吗
渣渣不更新，有意思吗一年
这个叫陈峰的在11集插上刀都不流血
"第二季什么时候出说,快点"
国漫现在越来越好看了
怎么时候出第二记……
第二遍了 第二季什么时候出啊
没有第二部，等了好久没有看见
……哎，以为国漫成长起来呢，最后看到幕后制作的还是小日本……
这个也是，到现在一直没有更新，都不知道作者这是吊我们胃口还是死了
好看，第二部什么时候出来
第七集去哪了？很想知道
唉 什么时候才更新啊 都等了四年了
好好看，更何况男主角张得帅，希望有下一季
画风很好啊，我很喜欢，男主配音好熟，是叶神吗！！！！
我很佩服那些写漫画的人。
有第二部吗？…………
什么时候出第二季啊？快出吧
"其实动画本事并没有什么毛病，但为和要和食尸鬼比呢？就从画面效果来说，食尸鬼完暴这部动画好么？而且人物也没食尸鬼好看。剧情还待定。
不过为什么要说超越食尸鬼？感觉世界设定还和食尸鬼有一定相似处。为何要口出狂言？原本没什么嘈点，现在全是嘈点了好么？哗众取宠吗？"
女主的身材简直不是人。。。
好喜欢看，什么时候才出第二季啊，我等了好久了
智商低的人是看不懂的
感觉主角的能力太弱了
我感觉是叶修配的，我相信
好想看第二季
我好喜欢那个黄头发。55555
"怎么没有第7集
你们之前看过这集没有"
为什么没有7集???
第二部什么时候更新？
主角挺帅可别人难看死了
我没看过食尸鬼，所以我觉得这个动漫挺好
挺好看的，為什麼評分那麼低呢？好想看第二季
导演为毛没有第七集～～～✔✔✔，你出来偶肯定不爆你菊花残
国产动漫也就那样了，要不不更新，要不时间段，要不没结局！失望啊
怎么还不更新(｡･ˇ_ˇ･｡:)
更不更新了？。？。？。？。？
天来不了
我想问，第七集去哪了
以前看过来回故都忘了
第二季那么久了还没更新？
一年了，咋不更了？我去，搞什么飞机啊！
第二集很长时间都没出来了。不知道第二季什么时候出啊。
第二季什么时候出啊?
给我一天的赞，我去打导演！！
不是吧，就这样第一季完了
第7集藏了什么东西。。。
为什么没第七集
看过妖怪名单的有多少人呀？
男主的声音，像全职高手中的叶修。
这第二季是不一直没出
没有弟7集吗
男主好帅啊
有没有第二季？觉得有些不错，很期待
还有吗？还更新吗？(⋟﹏⋞)
主角怎么穿越了？为什么呀？
这女人好TM讨厌啊。。。。
这部动画片好看吗？，我回答很好看，很好看，喂喂，good。
日本好看，你可以死了，到日人肚里在来过，这是中国
怎么没有第七集呀谁能告诉我一下吗我从吉祥知道我
加油，，，，，，，，
漂亮姐姐妹妹点赞，帅气哥哥弟弟点赞，只有丑的人在犹豫…
666你牛逼，你厉害。
第七集被禁了
怎么想要吵架啊？大家都是中国人，支持国产啦[愉快][愉快][愉快]
就凭这是国漫，而且进度条还这么长，那必须给100个赞呐
这是中国版的，我一定要看， 小宇爱中国
第七集哪去了
这就完了？！有没有第二季
第七季在那里我的七季啊！
SJ饿不比较恩呗别人比特币
为什么我看不懂。。。是我智商不够么 。 。
没有第二季吗？没看够
沙发。。。。。。。。
