第一次看请大哥小姐们多多关照
本来就是一部电影的时间一下子分成了54集，无语了
动画再这么发展下去，恐怕一线的明星要转行了。
看了第一集的前半篇...忍不住先在这儿赞个~~！！
好看，如果拍真人版，绝对盖过古剑奇谭，最好是胡歌眼男一号。
感觉星云和小师妹在一起有打有闹有说有笑的好有爱啊！不过又喜欢白毛和小师妹怎么办？好纠结
还是斗罗大陆好看，赞不赞同
这动漫又胎死腹中了
我要第三季啊啊啊啊啊啊啊啊！好希望第三季依然有如雪
确实非常不错，人物美，画面美，还比较搞笑，有情节，非常好！！
现在骂马蓉还有人赞吗
为什么未成年不能看?原谅我
一天是不良人，一辈子都是不良人
尼瑪，是不是有病，写着94集全，只有40集，忽悠人
很好看 要是真人版多好 男主角和女主角还是李易峰和杨幂更好看呢
去头去尾再减去前期回顾 真正内容只有5-7分钟
画江湖太经典了！同感的赞
为了黑白无常而来，
我一直以为小师妹才是女主，可结果不是啊……
这不是诸葛的武陵仙君皮肤吗，帅
哎，国漫为要更新的这么慢！！！
第3季什么时候有？？？
"挺好看谁是主角
那个云星和准"
和萌学园一样 烂尾了
为什么不满十八岁不能看？
什么时候全完事，可别等我老了
说不出来，总有股别扭的感觉。想放弃呢，尼玛中国动漫刚起步也不容易。那咱就顶顶呗。
我想请问一下这个播放量是什么算的？14亿.3？
太好看了，一天我就看完了
想看第三季的举个手，点个赞！
十八岁以上谁还有时间去看
为什么成年人才能看。。。。。
"为什么十八岁以下的不能看呢？
十八岁以下的娃子们请举个手。"
还是斗破苍穹好好看。。。
黑白无常这两兄妹真恶心
一集电视剧只有8分钟左右，都特么看广告了。
一集五分鈡、片头一分钟广告，看着挺费劲。
能看就看不要老是说我们中国的动漫不好，反正我觉得挺好的
喜欢黑无常，常昊灵――
国漫敢不敢一集超过30分钟
""
和我一样是重新再看的有多少
我觉得，他小师妹不会和他师哥在一起，最后的女主肯定会出现
黑白无常是什么关系啊，是兄妹关系还是情侣啊？
人之初，性本善，作者大大是坏蛋，你不更，我不赞，看你怎么办。
咋滴18岁以下不许看，我偏不，我偏要逆天而行，气死你，气死你气死你
黑白无常好美，超级喜欢他们俩
大家来个赞吧啊啊啊啊
感觉人物模型有点像血战上海滩里面的样子
记得看不良人1是在高一的夏天，转眼间都大一了 ，不良人3还没出
画江湖真辣鸡。男主就跟啥比是的
为什么18以下不能看啊？
我就奇怪这黑白无常都打不死的
唐末时期，几个主角的悲喜轮回
终于看懂了 鬼王是李星云的哥哥
国产动漫啥都好，就是更新太慢，追的都没兴趣了
黑无常对白无常的保护快赶上我哥对我的保护了
你剪的好烂！真是要恶心死
我等了一年，花都要谢了，还没出三
刚看出黑白无常帽子写的恭喜发财
感觉还没看广告时间长
青莲剑歌，不是李白的大吗
"4.5集有剪吧
怎么接不上"
什么时候才有第三季啊？
不良人什么时候回来………………
尼玛，18岁以下还不能看，上18岁的人，根本不会看动画片坑人是不是？
第三季在2018.6.8上线
我擦，男主跟个傻子一样
人之初，性本善，作者大大是坏蛋，你不更，我不赞，看你怎么办。
喜欢的要一起吗？等你们
应该是吧，好看吧，哈哈哈
妈的b，你要是放几百集，他妈的等我200岁也看不完，兄弟们顶我
谁能告诉我画江湖怎么看
哦？封面是黑白无常？看来黑白无常才是男女猪脚
又回来了，哈哈哈哈哈哈
这部每晚就出杯莫停，被莫停没完就出换世生，再侠岚，真的服
为啥18以下不能看，我才16
真挺好看，国漫里数一数二的了吧。
觉得不良人好看的点个赞吧
这里面没分男女主角，都是一群朋友闯江湖。
唉…………………………
推荐下木墓中之王 画风超好的 双男女主
"坐等第三季,出来了记得找我"
人物表情动作太僵硬。
第四次看这个，感觉好好看
18以下不让看。。。。。
我想应该快更新了吧？
第三季 希望李星云 把女帝收入后宫
怒帝胸好大啊
自己叫加时长，特么不加就别在结尾哪里鬼叫，恶心人[吐][吐]
18岁以下谢绝观看，有18岁以下的吗？
Md，94全集？怎么才90
完了，我喜欢上这个白头发的小哥哥了
人之初，性本善，作者大大是坏蛋，你不更，我不赞，看你怎么办
你们看了这个电视，你们但中有没有喜欢的人呀！
我就问你们一个问题？画江湖系列，那一部完结了？都没有就更新别的？有没有一点B数？艹你母亲
好喜欢黑白无常，非常好看
真心觉得这个好看的点个赞呗
希望导演负责任点，比起听你啰啰嗦嗦，我更喜欢你把篇长改长一点，坐等第三季
谁有好看的动漫给我说说
